Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Agustín Rossi,ar ARG,GK,28.0,35.0,1202,951,245,58,0,4,0,0,0,0,0,0,949,6,0,Matches
Ayrton Lucas,br BRA,DF,26.0,26.6,1410,1194,212,19,1,6,82,187,6,1,3,1,1136,4,40,Matches
Gerson,br BRA,"MF,FW",26.0,27.3,1417,1353,60,26,4,10,35,20,14,2,1,1,1200,4,42,Matches
Fabrício Bruno,br BRA,DF,27.0,25.7,1582,1467,111,82,0,21,5,11,0,0,0,0,1437,4,9,Matches
Wesley,br BRA,DF,20.0,26.0,1382,1166,213,17,1,2,82,196,0,0,0,0,1175,3,20,Matches
Bruno Henrique,br BRA,"FW,MF",33.0,23.0,563,537,25,4,1,1,24,7,1,0,0,1,422,1,23,Matches
Léo Pereira,br BRA,DF,28.0,22.5,1407,1313,92,57,3,14,26,28,1,0,0,0,1170,2,19,Matches
Leo Ortiz,br BRA,"DF,MF",28.0,20.9,1111,1052,54,46,3,13,5,5,0,0,0,0,968,5,13,Matches
David Luiz,br BRA,DF,36.0,19.5,1065,989,75,57,2,3,6,3,1,1,0,0,931,1,5,Matches
Erick Pulgar,cl CHI,MF,30.0,19.4,1242,1204,38,28,3,0,10,4,6,4,1,0,1101,0,16,Matches
Pedro,br BRA,FW,26.0,18.4,295,267,26,0,7,2,2,0,0,0,0,0,221,2,8,Matches
Allan,br BRA,MF,26.0,15.7,869,848,20,16,2,5,4,3,0,0,0,0,764,1,9,Matches
Luiz Araújo,br BRA,"FW,MF",27.0,17.4,657,585,70,21,0,18,88,7,42,17,13,1,477,2,32,Matches
Guillermo Varela,uy URU,DF,30.0,11.5,598,508,88,7,0,1,29,81,0,0,0,0,496,2,11,Matches
Nicolás De La Cruz,uy URU,MF,26.0,11.2,800,708,90,38,1,2,40,6,44,17,10,1,656,2,7,Matches
Giorgian De Arrascaeta,uy URU,MF,29.0,11.2,640,556,83,35,6,1,63,2,37,16,9,3,496,1,10,Matches
Everton Soares,br BRA,FW,27.0,6.0,145,135,10,1,1,0,16,2,7,4,1,0,106,0,9,Matches
Evertton,br BRA,MF,20.0,8.9,520,519,1,1,0,1,3,0,0,0,0,0,468,0,8,Matches
Carlos Alcaraz,ar ARG,"MF,FW",21.0,8.3,426,388,36,10,1,3,30,3,22,11,11,0,335,2,3,Matches
Lorran,br BRA,"MF,FW",17.0,7.8,316,291,24,5,1,0,29,0,19,8,5,0,242,1,13,Matches
Gonzalo Plata,ec ECU,"FW,MF",23.0,7.6,296,281,13,2,1,1,10,5,5,3,0,0,241,2,15,Matches
Matheus Gonçalves,br BRA,"FW,MF",18.0,7.6,442,409,30,4,2,4,35,9,17,9,2,0,330,3,19,Matches
Gabriel Barbosa,br BRA,"FW,MF",27.0,8.4,195,176,19,1,1,0,11,1,1,0,0,0,166,0,3,Matches
Michael,br BRA,"FW,MF",27.0,7.3,220,216,1,0,0,0,16,1,0,0,0,0,160,3,11,Matches
Alex Sandro,br BRA,DF,33.0,5.7,389,344,44,2,0,2,17,42,0,0,0,0,336,1,6,Matches
Carlinhos,br BRA,FW,26.0,4.7,73,60,11,1,0,0,0,0,0,0,0,0,44,2,5,Matches
Matías Viña,uy URU,DF,26.0,4.7,226,178,48,3,0,0,16,45,0,0,0,0,178,0,8,Matches
Matheus Cunha,br BRA,GK,22.0,3.0,117,101,15,2,0,0,0,0,0,0,0,0,92,1,0,Matches
Igor,br BRA,MF,20.0,0.8,36,35,1,1,0,1,0,0,0,0,0,0,32,0,0,Matches
Victor Hugo,br BRA,"FW,MF",19.0,2.9,103,98,5,1,3,2,5,2,2,0,2,0,81,0,3,Matches
Cleiton,br BRA,DF,20.0,1.1,61,59,2,1,0,1,1,0,0,0,0,0,52,0,0,Matches
Werton,br BRA,"MF,FW",20.0,0.5,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1,Matches
Guilherme,br BRA,MF,17.0,0.4,11,8,3,0,0,0,2,1,2,2,0,0,7,0,0,Matches
Wallace,br BRA,"MF,FW",18.0,0.2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,Matches
Felipe Teresa,br BRA,"MF,FW",18.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
João Victor,br BRA,DF,17.0,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Ogundana Shola,ng NGA,MF,18.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Daniel Sales,br BRA,DF,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,38.0,19837,18017,1765,546,44,118,694,671,227,95,58,8,16485,55,368,
Opponent Total,,,27.7,38.0,15837,14090,1683,463,29,115,603,654,161,72,58,3,12586,64,315,
