Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Gustavo Scarpa,br BRA,"DF,FW",23.0,35.1,2,0,0,24,59,4,235,36,18,0,0,0,Matches
Henrique Dourado,br BRA,FW,27.0,30.8,9,0,0,88,66,14,17,9,12,1,0,0,Matches
Lucas Marques,br BRA,DF,28.0,30.5,11,0,0,60,26,10,89,39,30,0,0,0,Matches
Wendel,br BRA,MF,19.0,29.1,4,0,0,35,68,3,27,30,24,0,0,0,Matches
Henrique,br BRA,DF,30.0,28.7,4,0,0,28,31,1,3,56,28,0,0,0,Matches
Júlio César,br BRA,GK,30.0,22.0,0,0,0,0,12,0,0,1,0,0,0,0,Matches
Jefferson Orejuela,ec ECU,MF,23.0,20.2,2,1,0,25,23,0,4,24,17,0,0,0,Matches
Léo Pelé,br BRA,DF,20.0,18.4,4,0,0,44,8,5,63,38,21,0,0,0,Matches
Reginaldo,br BRA,DF,24.0,17.2,4,0,0,31,12,0,2,55,25,0,0,0,Matches
Diego Cavalieri,br BRA,GK,34.0,16.0,0,0,0,0,2,0,0,0,0,0,0,0,Matches
Marlon,br BRA,DF,19.0,14.6,5,1,1,23,8,0,85,30,18,0,0,0,Matches
Marlon Freitas,br BRA,MF,21.0,13.5,5,0,0,20,9,2,2,27,21,0,1,0,Matches
Renato Chaves,br BRA,DF,26.0,14.0,4,0,0,19,6,4,2,34,15,0,0,0,Matches
Richarlison,br BRA,"FW,MF",19.0,13.6,4,0,0,37,36,12,20,12,23,4,0,0,Matches
Douglas,br BRA,MF,20.0,12.5,5,0,0,25,10,1,4,19,29,0,0,0,Matches
Junior Sornoza,ec ECU,"FW,MF",23.0,11.8,3,0,0,7,7,0,50,11,14,0,0,0,Matches
Wellington Silva,br BRA,"FW,MF",24.0,11.5,0,0,0,7,28,7,33,4,11,1,0,0,Matches
Marcos Júnior,br BRA,"FW,MF",24.0,11.0,6,0,0,19,35,6,32,10,7,0,0,0,Matches
Marcos Calazans,br BRA,MF,20.0,7.6,4,0,0,21,18,3,16,20,28,0,0,0,Matches
Richard,br BRA,MF,22.0,6.6,0,0,0,12,8,0,3,15,12,0,0,0,Matches
Ygor Nogueira,br BRA,DF,21.0,7.2,2,0,0,7,7,0,0,18,6,0,0,0,Matches
Mateus Norton,br BRA,MF,20.0,7.0,3,0,0,15,6,0,7,23,10,0,0,0,Matches
Pedro,br BRA,FW,19.0,6.2,2,0,0,15,14,0,0,2,6,0,0,0,Matches
Frazan,br BRA,DF,20.0,5.8,3,0,0,16,2,0,0,13,3,0,0,0,Matches
Renato,br BRA,"DF,FW",27.0,5.5,3,0,0,12,11,0,13,9,7,0,0,0,Matches
Gum,br BRA,DF,31.0,4.4,1,0,0,4,5,1,0,7,3,0,0,0,Matches
Matheus Mascarenhas,br BRA,DF,18.0,3.5,1,0,0,5,5,0,13,6,7,0,0,0,Matches
Luiz Fernando,br BRA,MF,21.0,1.0,0,0,0,1,3,0,0,2,2,0,0,0,Matches
Matheus Alessandro,br BRA,FW,20.0,5.4,2,0,0,8,26,1,18,5,11,0,0,0,Matches
Robinho,br BRA,MF,22.0,1.4,0,1,0,3,3,0,2,1,1,1,0,0,Matches
Marquinho,br BRA,"DF,MF",30.0,1.1,1,0,0,4,0,0,3,3,0,0,0,0,Matches
Peu,br BRA,FW,23.0,1.5,0,0,0,4,3,0,0,0,3,0,0,0,Matches
Romarinho,br BRA,"FW,MF",22.0,1.0,1,0,0,2,5,0,2,1,2,0,0,0,Matches
Lucas Fernandes,br BRA,"FW,MF",22.0,0.8,0,0,0,1,1,0,2,1,1,0,0,0,Matches
Maranhão,br BRA,"FW,MF",26.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Luqinhas,br BRA,FW,23.0,0.2,0,0,0,0,3,0,0,0,0,0,0,0,Matches
Pierre,br BRA,MF,35.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Robert,br BRA,MF,20.0,0.1,0,0,0,0,1,0,0,0,1,0,0,0,Matches
Squad Total,,,24.6,38.0,95,3,1,623,567,74,747,561,416,7,1,0,
Opponent Total,,,27.0,38.0,100,3,2,600,597,71,834,535,420,2,11,3,
