Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Gustavo Scarpa,br BRA,"DF,FW",23.0,35.1,2,115,29,25.2,3.28,0.83,0.02,0.07,,0,0,Matches
Henrique Dourado,br BRA,FW,27.0,30.8,18,64,39,60.9,2.08,1.27,0.17,0.28,,7,7,Matches
Lucas Marques,br BRA,DF,28.0,30.5,0,14,4,28.6,0.46,0.13,0.0,0.0,,0,0,Matches
Wendel,br BRA,MF,19.0,29.1,5,41,16,39.0,1.41,0.55,0.12,0.31,,0,0,Matches
Henrique,br BRA,DF,30.0,28.7,1,13,5,38.5,0.45,0.17,0.08,0.2,,0,0,Matches
Júlio César,br BRA,GK,30.0,22.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Jefferson Orejuela,ec ECU,MF,23.0,20.2,0,2,1,50.0,0.1,0.05,0.0,0.0,,0,0,Matches
Léo Pelé,br BRA,DF,20.0,18.4,1,10,3,30.0,0.54,0.16,0.1,0.33,,0,0,Matches
Reginaldo,br BRA,DF,24.0,17.2,1,13,3,23.1,0.76,0.17,0.08,0.33,,0,0,Matches
Diego Cavalieri,br BRA,GK,34.0,16.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Marlon,br BRA,DF,19.0,14.6,0,7,3,42.9,0.48,0.21,0.0,0.0,,0,0,Matches
Marlon Freitas,br BRA,MF,21.0,13.5,0,11,3,27.3,0.82,0.22,0.0,0.0,,0,0,Matches
Renato Chaves,br BRA,DF,26.0,14.0,1,8,2,25.0,0.57,0.14,0.13,0.5,,0,0,Matches
Richarlison,br BRA,"FW,MF",19.0,13.6,5,32,12,37.5,2.35,0.88,0.13,0.33,,1,1,Matches
Douglas,br BRA,MF,20.0,12.5,1,15,7,46.7,1.2,0.56,0.07,0.14,,0,0,Matches
Junior Sornoza,ec ECU,"FW,MF",23.0,11.8,2,16,7,43.8,1.36,0.6,0.13,0.29,,0,0,Matches
Wellington Silva,br BRA,"FW,MF",24.0,11.5,2,14,5,35.7,1.22,0.44,0.14,0.4,,0,0,Matches
Marcos Júnior,br BRA,"FW,MF",24.0,11.0,3,20,9,45.0,1.83,0.82,0.15,0.33,,0,0,Matches
Marcos Calazans,br BRA,MF,20.0,7.6,0,9,3,33.3,1.18,0.39,0.0,0.0,,0,0,Matches
Richard,br BRA,MF,22.0,6.6,0,5,0,0.0,0.76,0.0,0.0,,,0,0,Matches
Ygor Nogueira,br BRA,DF,21.0,7.2,0,4,1,25.0,0.56,0.14,0.0,0.0,,0,0,Matches
Mateus Norton,br BRA,MF,20.0,7.0,0,2,1,50.0,0.29,0.14,0.0,0.0,,0,0,Matches
Pedro,br BRA,FW,19.0,6.2,2,12,6,50.0,1.94,0.97,0.17,0.33,,0,0,Matches
Frazan,br BRA,DF,20.0,5.8,0,0,0,,0.0,0.0,,,,0,0,Matches
Renato,br BRA,"DF,FW",27.0,5.5,0,15,2,13.3,2.74,0.37,0.0,0.0,,0,0,Matches
Gum,br BRA,DF,31.0,4.4,0,1,0,0.0,0.23,0.0,0.0,,,0,0,Matches
Matheus Mascarenhas,br BRA,DF,18.0,3.5,1,3,1,33.3,0.87,0.29,0.33,1.0,,0,0,Matches
Luiz Fernando,br BRA,MF,21.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,,0,0,Matches
Matheus Alessandro,br BRA,FW,20.0,5.4,1,7,3,42.9,1.3,0.56,0.14,0.33,,0,0,Matches
Robinho,br BRA,MF,22.0,1.4,1,1,1,100.0,0.73,0.73,0.0,0.0,,1,1,Matches
Marquinho,br BRA,"DF,MF",30.0,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Peu,br BRA,FW,23.0,1.5,0,8,2,25.0,5.26,1.31,0.0,0.0,,0,0,Matches
Romarinho,br BRA,"FW,MF",22.0,1.0,0,5,2,40.0,5.11,2.05,0.0,0.0,,0,0,Matches
Lucas Fernandes,br BRA,"FW,MF",22.0,0.8,0,2,0,0.0,2.5,0.0,0.0,,,0,0,Matches
Maranhão,br BRA,"FW,MF",26.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Luqinhas,br BRA,FW,23.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Pierre,br BRA,MF,35.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Robert,br BRA,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,24.6,38.0,47,470,171,36.4,12.37,4.5,0.08,0.22,,9,9,
Opponent Total,,,27.0,38.0,53,549,175,31.9,14.45,4.61,0.1,0.3,,0,1,
