Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gustavo Scarpa,br BRA,"DF,FW",23.0,38,37,3159.0,35.1,2.0,12.0,14.0,2.0,0.0,0.0,2.0,0.0,0.06,0.34,0.4,0.06,0.4,Matches
Henrique Dourado,br BRA,FW,27.0,32,32,2774.0,30.8,18.0,2.0,20.0,11.0,7.0,7.0,9.0,0.0,0.58,0.06,0.65,0.36,0.42,Matches
Lucas Marques,br BRA,DF,28.0,32,32,2748.0,30.5,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Wendel,br BRA,MF,19.0,33,29,2620.0,29.1,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.17,0.07,0.24,0.17,0.24,Matches
Henrique,br BRA,DF,30.0,29,29,2587.0,28.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Júlio César,br BRA,GK,30.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jefferson Orejuela,ec ECU,MF,23.0,21,21,1819.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Pelé,br BRA,DF,20.0,22,19,1659.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches
Reginaldo,br BRA,DF,24.0,18,18,1547.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Diego Cavalieri,br BRA,GK,34.0,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marlon,br BRA,DF,19.0,15,15,1315.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Marlon Freitas,br BRA,MF,21.0,16,15,1214.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato Chaves,br BRA,DF,26.0,14,14,1260.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Richarlison,br BRA,"FW,MF",19.0,14,14,1227.0,13.6,5.0,1.0,6.0,4.0,1.0,1.0,4.0,0.0,0.37,0.07,0.44,0.29,0.37,Matches
Douglas,br BRA,MF,20.0,14,13,1127.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Junior Sornoza,ec ECU,"FW,MF",23.0,15,13,1058.0,11.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Wellington Silva,br BRA,"FW,MF",24.0,18,11,1031.0,11.5,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.17,0.17,0.35,0.17,0.35,Matches
Marcos Júnior,br BRA,"FW,MF",24.0,25,11,986.0,11.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,0.27,0.09,0.37,0.27,0.37,Matches
Marcos Calazans,br BRA,MF,20.0,11,8,686.0,7.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Richard,br BRA,MF,22.0,8,7,593.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ygor Nogueira,br BRA,DF,21.0,11,6,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateus Norton,br BRA,MF,20.0,12,6,626.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro,br BRA,FW,19.0,15,6,557.0,6.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches
Frazan,br BRA,DF,20.0,6,5,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato,br BRA,"DF,FW",27.0,10,5,493.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gum,br BRA,DF,31.0,5,5,395.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Mascarenhas,br BRA,DF,18.0,4,4,311.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches
Luiz Fernando,br BRA,MF,21.0,3,2,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Alessandro,br BRA,FW,20.0,18,1,484.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.19,0.19,0.37,0.19,0.37,Matches
Robinho,br BRA,MF,22.0,5,1,124.0,1.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.73,0.0,0.73,0.0,0.0,Matches
Marquinho,br BRA,"DF,MF",30.0,4,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
