Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Nino,br BRA,DF,21.0,36.0,1793,1740,52,46,0,12,1,6,0,0,0,0,1596,1,12,Matches
Caio Henrique Oliveira Silva,br BRA,DF,21.0,35.0,2299,1966,327,60,3,4,119,260,7,2,4,0,1965,6,41,Matches
Yony González,co COL,"MF,FW",24.0,32.4,659,630,22,2,1,0,52,12,1,0,0,0,460,7,39,Matches
Gilberto,br BRA,DF,25.0,30.5,1532,1326,206,21,2,3,113,178,7,1,6,0,1227,0,39,Matches
Allan,br BRA,MF,21.0,27.7,2256,2205,50,44,3,25,19,5,1,0,0,0,2025,1,17,Matches
Danielzinho,br BRA,MF,23.0,25.8,1971,1832,135,63,12,6,99,13,58,28,21,0,1690,4,22,Matches
Ganso,br BRA,"MF,FW",29.0,24.9,1781,1664,113,65,2,6,29,26,18,11,2,0,1584,4,10,Matches
Muriel Becker,br BRA,GK,31.0,21.0,586,382,204,46,0,0,0,0,0,0,0,0,447,0,0,Matches
Yuri Oliveira Lima,br BRA,"MF,DF",24.0,20.1,1556,1530,24,19,0,7,1,5,0,0,0,0,1413,2,6,Matches
Digão,br BRA,DF,30.0,19.5,1216,1180,34,30,0,2,1,4,0,0,0,0,1118,2,3,Matches
Nenê,br BRA,"MF,FW",37.0,17.9,1005,824,176,72,1,20,163,17,83,30,43,0,709,5,14,Matches
João Pedro,br BRA,FW,17.0,18.8,450,414,36,1,1,6,17,3,0,0,0,0,342,0,11,Matches
Marcos Paulo,br BRA,"FW,MF",17.0,15.5,537,520,16,3,3,0,6,3,0,0,0,0,427,1,16,Matches
Igor Julião,br BRA,DF,24.0,8.8,394,326,68,7,0,1,28,61,0,0,0,0,311,0,17,Matches
Airton,br BRA,MF,28.0,5.1,373,353,20,20,1,1,1,0,0,0,0,0,345,0,2,Matches
Pedro,br BRA,FW,21.0,7.0,127,107,18,0,1,0,4,1,0,0,0,0,93,2,2,Matches
Matheus Ferraz,br BRA,DF,33.0,6.3,351,345,6,5,0,2,1,1,0,0,0,0,311,0,2,Matches
Wellington Nem,br BRA,"MF,FW",26.0,8.2,253,234,17,8,0,0,9,8,1,0,0,0,208,2,6,Matches
Marcos Felipe,br BRA,GK,22.0,6.0,172,104,68,16,0,0,0,0,0,0,0,0,112,0,0,Matches
Luciano,br BRA,"FW,MF",25.0,5.8,319,305,13,3,2,4,3,4,0,0,0,0,285,1,3,Matches
Agenor Detofol,br BRA,GK,29.0,5.7,166,117,49,14,0,1,0,0,0,0,0,0,133,0,0,Matches
Frazan,br BRA,DF,22.0,6.2,253,248,5,5,0,1,1,0,0,0,0,0,216,0,2,Matches
Rodolfo de Melo,br BRA,GK,27.0,5.2,174,120,54,9,0,0,0,0,0,0,0,0,139,0,0,Matches
Bruno Silva,br BRA,MF,32.0,3.9,248,239,7,7,0,1,0,0,0,0,0,0,219,2,3,Matches
Orinho,br BRA,"DF,MF",23.0,2.6,149,126,23,2,0,1,10,19,2,1,1,0,121,0,6,Matches
Léo Artur,br BRA,"MF,FW",23.0,2.3,102,96,5,0,0,0,5,3,2,1,0,0,89,1,0,Matches
Dodi,br BRA,MF,22.0,4.1,176,170,6,5,0,0,1,1,0,0,0,0,159,0,3,Matches
Brenner,br BRA,"FW,MF",19.0,2.5,99,95,4,1,0,1,6,1,2,0,1,0,81,0,3,Matches
Luccas Claro,br BRA,DF,27.0,2.0,89,83,6,6,0,1,1,0,0,0,0,0,73,0,1,Matches
Everaldo,br BRA,FW,24.0,2.0,93,84,7,2,1,0,7,5,0,0,0,0,78,2,3,Matches
Guilherme,br BRA,"MF,FW",30.0,2.2,138,128,10,2,2,0,12,0,8,2,5,1,110,0,1,Matches
Evanilson,br BRA,FW,19.0,1.2,32,29,2,0,0,0,0,1,0,0,0,0,20,1,1,Matches
Pablo Dyego,br BRA,"MF,FW",24.0,1.4,49,45,4,0,0,0,2,3,1,0,0,0,34,0,3,Matches
Lucão,br BRA,FW,27.0,0.9,21,19,2,0,0,0,0,0,0,0,0,0,17,0,0,Matches
Miguel Silveira,br BRA,"FW,DF",15.0,0.6,28,23,5,2,0,0,6,0,3,1,2,0,18,0,1,Matches
Matheus Mascarenhas,br BRA,DF,20.0,0.5,17,13,4,0,0,0,3,4,0,0,0,0,15,0,0,Matches
Caio Vinícius,br BRA,MF,20.0,0.2,22,21,1,1,0,0,0,0,0,0,0,0,19,0,0,Matches
Ewandro,br BRA,"FW,MF",22.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,2,0,2,Matches
Kelvin,br BRA,DF,25.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,25.1,38.0,21495,19652,1799,587,35,105,720,644,194,77,85,1,18213,44,291,
Opponent Total,,,27.4,38.0,16197,14414,1740,544,26,89,551,635,156,66,60,2,12987,43,256,
