Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nino,br BRA,DF,21.0,36,36,3236.0,36.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,1.2,2.2,18.0,81.0,4.0,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches
Caio Henrique Oliveira Silva,br BRA,DF,21.0,35,35,3150.0,35.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,5.6,7.4,182.0,200.0,276.0,0.03,0.06,0.09,0.03,0.09,0.05,0.16,0.21,0.05,0.21,Matches
Yony González,co COL,"MF,FW",24.0,34,34,2915.0,32.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,9.7,9.7,4.3,14.0,92.0,57.0,327.0,0.19,0.06,0.25,0.19,0.25,0.3,0.13,0.43,0.3,0.43,Matches
Gilberto,br BRA,DF,25.0,31,31,2743.0,30.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,2.7,4.0,134.0,125.0,188.0,0.0,0.07,0.07,0.0,0.07,0.04,0.09,0.13,0.04,0.13,Matches
Allan,br BRA,MF,21.0,28,28,2496.0,27.7,0.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,1.7,1.7,1.4,3.1,53.0,180.0,33.0,0.0,0.04,0.04,0.0,0.04,0.06,0.05,0.11,0.06,0.11,Matches
Danielzinho,br BRA,MF,23.0,30,28,2326.0,25.8,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,5.0,7.2,85.0,272.0,101.0,0.04,0.12,0.15,0.04,0.15,0.09,0.19,0.28,0.09,0.28,Matches
Ganso,br BRA,"MF,FW",29.0,28,26,2244.0,24.9,2.0,0.0,2.0,1.0,1.0,1.0,7.0,0.0,3.6,2.8,3.3,6.1,31.0,274.0,72.0,0.08,0.0,0.08,0.04,0.04,0.14,0.13,0.28,0.11,0.24,Matches
Muriel Becker,br BRA,GK,31.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yuri Oliveira Lima,br BRA,"MF,DF",24.0,25,21,1808.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.7,0.7,0.9,1.6,24.0,129.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.03,0.08,Matches
Digão,br BRA,DF,30.0,21,21,1756.0,19.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.9,0.9,0.4,1.3,6.0,60.0,2.0,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.07,0.05,0.07,Matches
Nenê,br BRA,"MF,FW",37.0,25,19,1615.0,17.9,3.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,4.4,3.6,3.9,7.6,52.0,139.0,152.0,0.17,0.11,0.28,0.11,0.22,0.25,0.22,0.47,0.2,0.42,Matches
João Pedro,br BRA,FW,17.0,25,18,1694.0,18.8,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,7.1,7.1,2.8,9.9,42.0,45.0,156.0,0.21,0.05,0.27,0.21,0.27,0.38,0.15,0.53,0.38,0.53,Matches
Marcos Paulo,br BRA,"FW,MF",17.0,24,16,1391.0,15.5,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.8,6.8,34.0,69.0,166.0,0.26,0.26,0.52,0.26,0.52,0.26,0.18,0.44,0.26,0.44,Matches
Igor Julião,br BRA,DF,24.0,15,8,796.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,29.0,27.0,68.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches
Airton,br BRA,MF,28.0,11,8,461.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.2,0.2,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Pedro,br BRA,FW,21.0,10,7,628.0,7.0,5.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,4.7,3.1,1.1,4.2,11.0,11.0,49.0,0.72,0.0,0.72,0.43,0.43,0.67,0.15,0.83,0.45,0.6,Matches
Matheus Ferraz,br BRA,DF,33.0,7,7,571.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,1.2,3.0,12.0,2.0,0.16,0.0,0.16,0.16,0.16,0.18,0.01,0.19,0.18,0.19,Matches
Wellington Nem,br BRA,"MF,FW",26.0,18,6,737.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.8,3.8,0.4,4.2,54.0,31.0,76.0,0.12,0.0,0.12,0.12,0.12,0.47,0.05,0.51,0.47,0.51,Matches
Marcos Felipe,br BRA,GK,22.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luciano,br BRA,"FW,MF",25.0,6,6,518.0,5.8,2.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,3.9,3.2,1.0,4.1,15.0,30.0,21.0,0.35,0.17,0.52,0.35,0.52,0.69,0.17,0.85,0.55,0.72,Matches
Agenor Detofol,br BRA,GK,29.0,6,6,515.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frazan,br BRA,DF,22.0,11,5,562.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,10.0,1.0,0.16,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.16,0.16,Matches
Rodolfo de Melo,br BRA,GK,27.0,6,5,472.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Bruno Silva,br BRA,MF,32.0,4,4,350.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.1,0.1,0.2,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.02,0.05,Matches
Orinho,br BRA,"DF,MF",23.0,5,3,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches
Léo Artur,br BRA,"MF,FW",23.0,7,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,6.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.12,0.08,0.12,Matches
Dodi,br BRA,MF,22.0,9,2,371.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.1,0.3,14.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Brenner,br BRA,"FW,MF",19.0,5,2,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,7.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.28,0.21,0.49,0.28,0.49,Matches
Luccas Claro,br BRA,DF,27.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Everaldo,br BRA,FW,24.0,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,9.0,3.0,32.0,0.0,0.5,0.5,0.0,0.5,0.04,0.27,0.31,0.04,0.31,Matches
Guilherme,br BRA,"MF,FW",30.0,8,1,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.9,1.0,2.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.4,0.47,0.07,0.47,Matches
Evanilson,br BRA,FW,19.0,3,1,104.0,1.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,1.0,9.0,1.73,0.0,1.73,1.73,1.73,0.19,0.0,0.19,0.19,0.19,Matches
Pablo Dyego,br BRA,"MF,FW",24.0,9,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Lucão,br BRA,FW,27.0,6,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.26,0.51,0.78,0.26,0.78,Matches
Miguel Silveira,br BRA,"FW,DF",15.0,3,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches
Matheus Mascarenhas,br BRA,DF,20.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Caio Vinícius,br BRA,MF,20.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Ewandro,br BRA,"FW,MF",22.0,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
