Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Luccas Claro,br BRA,DF,28.0,29.1,28,18,21,7,0,12,16,75.0,4,17,12,5,49,77,106,0,Matches
Nenê,br BRA,"MF,FW",38.0,24.7,20,9,8,9,3,6,36,16.7,30,19,2,17,4,24,13,2,Matches
Nino,br BRA,DF,22.0,25.7,32,23,24,8,0,8,14,57.1,6,21,15,6,50,82,116,0,Matches
Michel Araujo,uy URU,"MF,FW",23.0,20.6,39,25,18,17,4,17,50,34.0,33,26,6,20,10,49,21,0,Matches
Lucas Calegari,br BRA,DF,17.0,21.6,50,31,31,14,5,21,46,45.7,25,27,5,22,34,84,32,0,Matches
Egídio Pereira Júnior,br BRA,DF,33.0,20.0,51,36,33,14,4,26,40,65.0,14,24,4,20,31,82,47,0,Matches
Yago,br BRA,"MF,FW",24.0,19.9,53,27,24,24,5,22,73,30.1,51,30,4,26,29,82,23,1,Matches
Muriel Becker,br BRA,GK,32.0,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Matches
Marcos Felipe,br BRA,GK,23.0,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,Matches
Dodi,br BRA,MF,23.0,19.0,39,23,15,23,1,12,39,30.8,27,15,3,12,38,77,21,0,Matches
Hudson,br BRA,MF,32.0,17.6,36,25,13,16,7,12,42,28.6,30,23,9,14,16,52,18,0,Matches
Fred,br BRA,FW,36.0,16.4,2,1,0,1,1,0,4,0.0,4,7,3,4,5,7,12,0,Matches
Igor Julião,br BRA,DF,25.0,17.3,33,15,17,14,2,18,27,66.7,9,18,8,10,23,56,24,0,Matches
Danilo Barcelos,br BRA,DF,28.0,17.0,34,21,17,14,3,15,22,68.2,7,14,4,10,21,55,55,0,Matches
Marcos Paulo,br BRA,"FW,MF",18.0,13.4,10,7,3,3,4,4,23,17.4,19,8,1,7,14,24,8,0,Matches
Wellington Silva,br BRA,"FW,MF",27.0,12.2,10,9,6,2,2,4,17,23.5,13,11,0,11,14,24,2,0,Matches
Luiz Henrique,br BRA,FW,19.0,13.6,36,22,15,13,8,13,33,39.4,20,17,1,16,18,54,13,0,Matches
Yuri Oliveira Lima,br BRA,MF,25.0,11.4,17,10,4,11,2,6,28,21.4,22,20,2,18,23,40,15,0,Matches
Matheus Ferraz,br BRA,DF,34.0,12.2,6,3,3,3,0,4,4,100.0,0,16,12,4,22,28,53,0,Matches
Lucca,br BRA,FW,29.0,10.8,18,14,8,9,1,7,20,35.0,13,10,0,10,9,27,6,1,Matches
Martinelli,br BRA,MF,18.0,10.7,23,10,9,13,1,13,24,54.2,11,13,5,8,22,45,7,0,Matches
Digão,br BRA,DF,31.0,8.7,7,5,6,1,0,1,2,50.0,1,9,8,1,14,21,56,1,Matches
Evanilson,br BRA,FW,20.0,5.4,5,2,0,3,2,1,8,12.5,7,4,0,4,1,6,6,0,Matches
Fernando Pacheco Rivas,pe PER,"FW,MF",20.0,5.0,9,6,1,6,2,1,6,16.7,5,6,0,6,2,11,1,0,Matches
Caio Paulista,br BRA,"FW,MF",21.0,6.5,9,3,3,4,2,2,13,15.4,11,6,0,6,7,16,3,0,Matches
Felippe Cardoso,br BRA,FW,21.0,6.4,6,2,3,1,2,2,4,50.0,2,2,1,1,1,7,5,0,Matches
Ganso,br BRA,"MF,FW",30.0,6.4,17,11,5,8,4,9,14,64.3,5,4,2,2,4,21,3,0,Matches
André,br BRA,"MF,FW",18.0,3.1,5,4,2,3,0,2,7,28.6,5,7,0,7,9,14,7,0,Matches
John Kennedy,br BRA,FW,17.0,3.1,3,2,0,1,2,1,3,33.3,2,2,0,2,0,3,3,0,Matches
Miguel Silveira,br BRA,"FW,MF",16.0,0.5,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,0,0,Matches
Caio Vinícius,br BRA,"FW,MF",21.0,0.3,3,2,1,2,0,0,0,,0,1,0,1,0,3,0,0,Matches
Samuel Granada,br BRA,FW,19.0,0.3,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
Frazan,br BRA,DF,23.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Wisney,br BRA,"DF,MF",20.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Nascimento,br BRA,MF,20.0,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Dani Bolt,br BRA,DF,20.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
Christian,br BRA,FW,20.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,38.0,606,369,292,246,68,240,618,38.8,378,377,107,270,472,1078,693,8,
Opponent Total,,,26.5,38.0,649,376,266,284,99,242,637,38.0,395,365,109,256,416,1065,643,10,
