Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luccas Claro,br BRA,DF,28.0,29.1,1136,1377,82.5,24420,8884,284,312,91.0,678,752,90.2,165,280,58.9,0,0.1,0.2,-0.1,4,78,1,0,76,Matches
Nenê,br BRA,"MF,FW",38.0,24.7,862,1181,73.0,15611,4810,413,474,87.1,282,364,77.5,131,257,51.0,5,5.1,4.8,-0.1,47,91,35,11,135,Matches
Nino,br BRA,DF,22.0,25.7,975,1130,86.3,20146,6636,285,307,92.8,553,603,91.7,133,199,66.8,0,0.1,0.1,-0.1,2,42,0,0,58,Matches
Michel Araujo,uy URU,"MF,FW",23.0,20.6,540,683,79.1,7870,2183,332,388,85.6,157,193,81.3,32,44,72.7,0,0.7,0.5,-0.7,16,68,11,1,88,Matches
Lucas Calegari,br BRA,DF,17.0,21.6,817,1030,79.3,13068,5477,428,482,88.8,316,392,80.6,55,97,56.7,0,1.1,1.2,-1.1,10,76,14,6,90,Matches
Egídio Pereira Júnior,br BRA,DF,33.0,20.0,966,1292,74.8,16016,7469,482,554,87.0,386,502,76.9,80,177,45.2,7,2.7,4.3,4.3,29,68,22,9,94,Matches
Yago,br BRA,"MF,FW",24.0,19.9,727,867,83.9,13010,2744,321,362,88.7,287,322,89.1,93,126,73.8,0,0.4,0.5,-0.4,10,81,6,0,82,Matches
Muriel Becker,br BRA,GK,32.0,19.0,284,435,65.3,7198,5171,75,77,97.4,118,123,95.9,78,219,35.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Marcos Felipe,br BRA,GK,23.0,19.0,296,470,63.0,8102,6570,78,78,100.0,95,102,93.1,106,272,39.0,1,0.1,0.0,0.9,2,6,0,0,0,Matches
