Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fábio,br BRA,GK,41.0,38.0,1035,931,1032,4,0,0,1035,0,0,,0,,504,2297,1344,0,0,0,0,0,370,0,Matches
Germán Cano,ar ARG,FW,33.0,34.2,869,33,112,396,372,147,869,23,11,47.8,11,47.8,447,1641,643,14,19,7,39,25,577,126,Matches
André,br BRA,MF,20.0,33.5,2767,134,762,1650,386,7,2767,102,73,71.6,28,27.5,1873,10029,6081,71,71,2,40,29,2167,36,Matches
Ganso,br BRA,"MF,FW",32.0,27.5,2268,34,312,1243,735,33,2265,50,34,68.0,14,28.0,1405,4908,2339,28,51,1,30,36,1868,111,Matches
Samuel Xavier,br BRA,DF,31.0,31.4,2205,72,589,983,646,39,2205,34,18,52.9,12,35.3,1216,5898,3134,66,53,8,24,25,1462,138,Matches
Jhon Arias,co COL,"FW,MF",24.0,29.6,2193,34,278,914,1031,90,2192,136,72,52.9,52,38.2,1433,8406,4425,138,102,27,73,79,1655,266,Matches
Manoel,br BRA,DF,31.0,27.2,1915,213,826,1011,91,31,1915,8,3,37.5,4,50.0,1242,6803,4214,24,11,1,16,6,1380,11,Matches
Nino,br BRA,DF,24.0,27.9,1835,214,891,887,64,21,1835,19,13,68.4,1,5.3,1175,6626,4822,34,18,0,9,8,1303,2,Matches
Martinelli,br BRA,MF,20.0,18.0,1582,93,418,803,374,58,1582,49,26,53.1,21,42.9,988,5312,3162,42,47,2,27,30,1202,64,Matches
Caio Paulista,br BRA,DF,23.0,17.9,1184,41,231,493,482,61,1184,92,48,52.2,39,42.4,704,4555,2470,80,58,23,38,32,772,129,Matches
Matheus Martins,br BRA,"FW,MF",18.0,17.8,922,22,131,298,502,86,922,86,34,39.5,43,50.0,649,3884,1790,62,26,31,39,44,738,175,Matches
Yago,br BRA,"MF,DF",26.0,12.6,763,28,163,346,258,28,763,17,5,29.4,11,64.7,448,1881,871,19,13,3,27,21,540,76,Matches
Luiz Henrique,br BRA,"FW,MF",21.0,11.7,567,9,80,231,259,52,567,48,25,52.1,23,47.9,330,1764,850,31,6,12,39,35,386,102,Matches
Nonato,br BRA,MF,23.0,12.1,1092,35,188,621,286,11,1092,24,11,45.8,11,45.8,735,3255,1956,23,38,2,15,16,877,40,Matches
David Braz,br BRA,DF,34.0,7.9,506,83,269,214,24,6,506,6,2,33.3,4,66.7,260,1475,859,5,3,0,6,3,332,1,Matches
Wellington Martins,br BRA,MF,31.0,7.0,466,26,128,284,58,1,466,2,2,100.0,0,0.0,258,1045,616,4,8,1,11,3,342,3,Matches
Nathan,br BRA,"MF,FW",25.0,10.7,701,19,94,260,349,31,701,22,13,59.1,8,36.4,373,2059,1169,41,29,5,22,10,507,95,Matches
Cristiano da Silva Leite,br BRA,DF,28.0,8.3,555,18,142,243,172,10,555,18,8,44.4,8,44.4,293,1365,677,15,13,1,10,12,325,53,Matches
Lucas Calegari,br BRA,DF,19.0,7.3,484,17,132,222,133,9,484,25,8,32.0,12,48.0,241,1309,774,15,14,3,6,9,295,33,Matches
Felipe Melo,br BRA,"DF,MF",38.0,8.1,543,56,201,318,27,4,543,3,3,100.0,0,0.0,321,1458,887,2,3,0,4,2,364,1,Matches
Luccas Claro,br BRA,DF,30.0,5.2,293,43,162,122,10,3,293,1,0,0.0,1,100.0,151,696,406,1,0,0,4,2,176,0,Matches
Mario Pineida,ec ECU,DF,29.0,3.7,255,11,68,118,70,6,255,15,4,26.7,8,53.3,134,583,258,8,3,3,4,5,164,18,Matches
Willian,br BRA,"FW,MF",35.0,5.3,259,6,34,119,111,24,259,19,8,42.1,11,57.9,128,750,239,8,6,2,15,10,166,36,Matches
Marlon,br BRA,DF,24.0,3.0,158,18,47,67,45,5,158,0,0,,0,,71,444,252,6,4,0,4,2,86,13,Matches
Alexsander,br BRA,DF,18.0,2.5,179,9,58,69,55,5,179,13,4,30.8,6,46.2,108,798,503,9,8,3,2,6,101,11,Matches
Fred,br BRA,"FW,MF",38.0,1.4,66,3,6,27,34,8,66,4,3,75.0,1,25.0,36,124,58,2,3,0,5,1,51,14,Matches
Marrony,br BRA,"FW,MF",22.0,2.0,140,4,20,55,66,9,140,13,4,30.8,8,61.5,83,582,312,12,6,1,5,2,91,15,Matches
John Kennedy,br BRA,"FW,MF",19.0,1.6,58,0,2,13,43,15,58,10,3,30.0,6,60.0,30,98,24,0,3,0,8,3,38,15,Matches
David Duarte,br BRA,DF,27.0,0.9,65,17,26,35,5,0,65,2,2,100.0,0,0.0,34,180,94,0,0,0,1,2,34,1,Matches
Michel Araujo,uy URU,"FW,MF",25.0,0.9,100,1,20,48,34,4,100,8,7,87.5,1,12.5,70,395,183,6,3,3,3,9,85,9,Matches
Alexandre Jesus,br BRA,"MF,DF",20.0,0.7,50,1,7,15,30,7,50,6,1,16.7,5,83.3,29,284,186,7,3,4,1,2,26,11,Matches
Alan Carvalho,cn CHN,"FW,MF",32.0,0.4,17,0,2,11,4,1,17,0,0,,0,,16,63,28,0,0,0,2,2,16,1,Matches
Squad Total,,,28.4,38.0,26092,2225,7431,12120,6756,812,26088,855,445,52.0,349,40.8,15785,80967,45626,773,622,145,529,471,18496,1606,
Opponent Total,,,27.3,38.0,18335,2109,5941,7928,4679,646,18332,518,249,48.1,241,46.5,9565,52405,26624,562,454,131,524,289,10595,1124,
