Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-02-22,19:30,Libertadores,Second qualifying stage,Tue,Away,W,2,1,co Millonarios,2.7,1.2,59,,Fred,4-1-4-1,4-2-3-1,Darío Herrera,Match Report,Leg 1 of 2
2022-03-01,21:30,Libertadores,Second qualifying stage,Tue,Home,W,2,0,co Millonarios,1.4,0.9,49,,Yago,4-1-4-1,4-2-3-1,Fernando Rapallini,Match Report,Leg 2 of 2; Fluminense won
2022-03-09,21:30,Libertadores,Third qualifying stage,Wed,Home,W,3,1,py Olimpia,2.4,0.9,48,31799.0,Yago,3-4-3,4-4-2,Facundo Tello,Match Report,Leg 1 of 2
2022-03-16,21:30,Libertadores,Third qualifying stage,Wed,Away,L,0 (1),2 (4),py Olimpia,0.7,1.9,37,,Nino,3-4-3,4-4-2,Roberto Tobar,Match Report,Leg 2 of 2; Olimpia won; Olimpia won on penalty kicks following extra time
2022-04-06,19:15,Sudamericana,Group stage,Wed,Home,W,3,0,bo Oriente Petrolero,,,57,,Yago,4-3-1-2,4-2-3-1,José Argote,Match Report,
2022-04-09,16:30,Série A,Matchweek 1,Sat,Home,D,0,0,Santos,1.6,0.1,65,22855.0,Yago,3-4-3,4-4-2,Anderson Daronco,Match Report,
2022-04-13,19:30,Sudamericana,Group stage,Wed,Away,L,0,3,co Junior,,,55,,Yago,3-4-3,4-1-4-1,Alexis Herrera,Match Report,
2022-04-16,20:00,Série A,Matchweek 2,Sat,Away,W,1,0,Cuiabá,0.7,0.2,61,10791.0,Fred,4-3-3,4-4-2,Savio Pereira,Match Report,
2022-04-23,19:00,Série A,Matchweek 3,Sat,Home,L,0,1,Internacional,0.5,0.8,57,16176.0,Nino,3-4-1-2,4-3-3,Braulio da Silva Machado,Match Report,
2022-04-26,21:30,Sudamericana,Group stage,Tue,Home,D,0,0,ar Unión,,,63,11140.0,Nino,3-4-1-2,4-4-2,Esteban Ostojich,Match Report,
2022-05-01,16:00,Série A,Matchweek 4,Sun,Away,L,2,3,Coritiba,0.6,3.3,45,24622.0,Nino,4-1-2-1-2◆,4-2-3-1,Raphael Claus,Match Report,
2022-05-04,21:30,Sudamericana,Group stage,Wed,Home,W,2,1,co Junior,,,53,,Nino,4-2-3-1,4-2-3-1,Mario Díaz de Vivar,Match Report,
2022-05-08,16:00,Série A,Matchweek 5,Sun,Away,D,1,1,Palmeiras,0.7,2.1,50,28776.0,Nino,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2022-05-14,21:00,Série A,Matchweek 6,Sat,Home,W,2,1,Ath Paranaense,0.7,1.4,63,4722.0,Nino,4-1-2-1-2◆,4-3-3,Ramon Abatti Abel,Match Report,
2022-05-19,19:15,Sudamericana,Group stage,Thu,Away,D,0,0,ar Unión,,,61,,Nino,4-2-3-1,4-3-3,Andrés Cunha,Match Report,
2022-05-22,16:00,Série A,Matchweek 7,Sun,Away,W,1,0,Fortaleza,1.1,1.7,37,37507.0,Nino,4-4-1-1,3-4-1-2,Anderson Daronco,Match Report,
