Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fábio,br BRA,GK,41.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Germán Cano,ar ARG,FW,33.0,34.2,26,130,63,48.5,3.8,1.84,0.2,0.41,16.6,1,0,0,18.4,18.4,0.14,7.6,7.6,Matches
André,br BRA,MF,20.0,33.5,1,28,10,35.7,0.84,0.3,0.04,0.1,27.9,0,0,0,1.0,1.0,0.04,0.0,0.0,Matches
Ganso,br BRA,"MF,FW",32.0,27.5,5,20,5,25.0,0.73,0.18,0.1,0.4,24.4,6,3,3,3.9,1.5,0.08,1.1,0.5,Matches
Samuel Xavier,br BRA,DF,31.0,31.4,2,29,7,24.1,0.92,0.22,0.07,0.29,19.9,0,0,0,1.7,1.7,0.06,0.3,0.3,Matches
Jhon Arias,co COL,"FW,MF",24.0,29.6,7,40,14,35.0,1.35,0.47,0.15,0.43,19.3,5,1,1,3.4,2.7,0.07,3.6,3.3,Matches
Manoel,br BRA,DF,31.0,27.2,4,20,4,20.0,0.74,0.15,0.2,1.0,10.7,0,0,0,1.6,1.6,0.08,2.4,2.4,Matches
Nino,br BRA,DF,24.0,27.9,0,16,4,25.0,0.57,0.14,0.0,0.0,14.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Martinelli,br BRA,MF,20.0,18.0,1,23,6,26.1,1.28,0.33,0.04,0.17,18.9,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
Caio Paulista,br BRA,DF,23.0,17.9,1,31,10,32.3,1.73,0.56,0.03,0.1,18.5,0,0,0,2.2,2.2,0.07,-1.2,-1.2,Matches
Matheus Martins,br BRA,"FW,MF",18.0,17.8,3,48,12,25.0,2.69,0.67,0.06,0.25,17.9,1,0,0,3.7,3.7,0.08,-0.7,-0.7,Matches
Yago,br BRA,"MF,DF",26.0,12.6,0,21,7,33.3,1.67,0.56,0.0,0.0,18.6,2,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Luiz Henrique,br BRA,"FW,MF",21.0,11.7,2,26,5,19.2,2.22,0.43,0.08,0.4,17.1,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
Nonato,br BRA,MF,23.0,12.1,0,11,3,27.3,0.91,0.25,0.0,0.0,24.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
David Braz,br BRA,DF,34.0,7.9,1,7,2,28.6,0.89,0.25,0.14,0.5,19.6,1,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Wellington Martins,br BRA,MF,31.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan,br BRA,"MF,FW",25.0,10.7,2,36,11,30.6,3.35,1.02,0.06,0.18,24.9,4,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
Cristiano da Silva Leite,br BRA,DF,28.0,8.3,0,11,5,45.5,1.32,0.6,0.0,0.0,24.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Lucas Calegari,br BRA,DF,19.0,7.3,0,3,0,0.0,0.41,0.0,0.0,,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Felipe Melo,br BRA,"DF,MF",38.0,8.1,0,1,0,0.0,0.12,0.0,0.0,,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Luccas Claro,br BRA,DF,30.0,5.2,0,2,0,0.0,0.39,0.0,0.0,,9.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Mario Pineida,ec ECU,DF,29.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,25.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Willian,br BRA,"FW,MF",35.0,5.3,3,11,8,72.7,2.09,1.52,0.27,0.38,18.3,1,0,0,1.5,1.5,0.14,1.5,1.5,Matches
Marlon,br BRA,DF,24.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Alexsander,br BRA,DF,18.0,2.5,0,2,1,50.0,0.8,0.4,0.0,0.0,31.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Fred,br BRA,"FW,MF",38.0,1.4,1,8,2,25.0,5.58,1.4,0.13,0.5,18.7,1,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Marrony,br BRA,"FW,MF",22.0,2.0,0,7,1,14.3,3.54,0.51,0.0,0.0,16.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
John Kennedy,br BRA,"FW,MF",19.0,1.6,0,10,4,40.0,6.38,2.55,0.0,0.0,13.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
David Duarte,br BRA,DF,27.0,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michel Araujo,uy URU,"FW,MF",25.0,0.9,2,2,2,100.0,2.17,2.17,1.0,1.0,10.6,0,0,0,0.8,0.8,0.41,1.2,1.2,Matches
Alexandre Jesus,br BRA,"MF,DF",20.0,0.7,0,1,0,0.0,1.36,0.0,0.0,,16.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Alan Carvalho,cn CHN,"FW,MF",32.0,0.4,1,1,1,100.0,2.5,2.5,1.0,1.0,3.4,0,0,0,0.1,0.1,0.12,0.9,0.9,Matches
Squad Total,,,28.4,38.0,62,548,187,34.1,14.42,4.92,0.11,0.31,19.0,22,4,4,50.1,47.1,0.09,11.9,10.9,
Opponent Total,,,27.3,38.0,40,452,148,32.7,11.89,3.89,0.08,0.25,19.2,19,3,3,40.3,38.1,0.09,-0.3,-1.1,
