Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fábio,br BRA,GK,41.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Germán Cano,ar ARG,FW,33.0,38,37,3081.0,34.2,26.0,3.0,29.0,26.0,0.0,0.0,2.0,0.0,18.4,18.4,1.4,19.8,14.0,29.0,126.0,0.76,0.09,0.85,0.76,0.85,0.54,0.04,0.58,0.54,0.58,Matches
André,br BRA,MF,20.0,34,34,3015.0,33.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.7,2.7,71.0,200.0,36.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,Matches
Ganso,br BRA,"MF,FW",32.0,33,33,2477.0,27.5,5.0,5.0,10.0,2.0,3.0,3.0,7.0,0.0,3.9,1.5,4.8,6.3,28.0,208.0,111.0,0.18,0.18,0.36,0.07,0.25,0.14,0.18,0.32,0.05,0.23,Matches
Samuel Xavier,br BRA,DF,31.0,33,32,2826.0,31.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,4.0,5.8,66.0,141.0,138.0,0.06,0.06,0.13,0.06,0.13,0.05,0.13,0.18,0.05,0.18,Matches
Jhon Arias,co COL,"FW,MF",24.0,33,31,2663.0,29.6,7.0,10.0,17.0,6.0,1.0,1.0,4.0,0.0,3.4,2.7,7.1,9.7,138.0,171.0,266.0,0.24,0.34,0.57,0.2,0.54,0.12,0.24,0.35,0.09,0.33,Matches
Manoel,br BRA,DF,31.0,31,31,2448.0,27.2,4.0,1.0,5.0,4.0,0.0,0.0,5.0,2.0,1.6,1.6,1.1,2.7,24.0,95.0,11.0,0.15,0.04,0.18,0.15,0.18,0.06,0.04,0.1,0.06,0.1,Matches
Nino,br BRA,DF,24.0,30,30,2511.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.6,34.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Martinelli,br BRA,MF,20.0,28,17,1619.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,2.2,3.7,42.0,119.0,64.0,0.06,0.17,0.22,0.06,0.22,0.09,0.12,0.21,0.09,0.21,Matches
Caio Paulista,br BRA,DF,23.0,27,17,1609.0,17.9,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,2.2,2.2,2.0,4.3,80.0,55.0,129.0,0.06,0.17,0.22,0.06,0.22,0.12,0.11,0.24,0.12,0.24,Matches
Matheus Martins,br BRA,"FW,MF",18.0,30,17,1604.0,17.8,3.0,5.0,8.0,3.0,0.0,0.0,2.0,0.0,3.7,3.7,3.0,6.7,62.0,77.0,175.0,0.17,0.28,0.45,0.17,0.45,0.21,0.17,0.37,0.21,0.37,Matches
Yago,br BRA,"MF,DF",26.0,21,15,1131.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.4,3.4,19.0,38.0,76.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.27,0.16,0.27,Matches
Luiz Henrique,br BRA,"FW,MF",21.0,14,12,1054.0,11.7,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.2,4.2,31.0,23.0,102.0,0.17,0.26,0.43,0.17,0.43,0.17,0.19,0.35,0.17,0.35,Matches
Nonato,br BRA,MF,23.0,17,11,1090.0,12.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,1.1,1.5,23.0,91.0,40.0,0.0,0.17,0.17,0.0,0.17,0.03,0.09,0.13,0.03,0.13,Matches
David Braz,br BRA,DF,34.0,13,10,708.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.5,0.5,0.0,0.5,5.0,22.0,1.0,0.13,0.0,0.13,0.13,0.13,0.06,0.01,0.06,0.06,0.06,Matches
Wellington Martins,br BRA,MF,31.0,11,9,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,4.0,33.0,3.0,0.0,0.14,0.14,0.0,0.14,0.0,0.06,0.06,0.0,0.06,Matches
Nathan,br BRA,"MF,FW",25.0,24,8,967.0,10.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.1,2.1,1.6,3.8,41.0,63.0,95.0,0.19,0.19,0.37,0.19,0.37,0.2,0.15,0.35,0.2,0.35,Matches
Cristiano da Silva Leite,br BRA,DF,28.0,14,8,748.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.8,15.0,21.0,53.0,0.0,0.12,0.12,0.0,0.12,0.07,0.03,0.1,0.07,0.1,Matches
Lucas Calegari,br BRA,DF,19.0,10,7,659.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,15.0,34.0,33.0,0.0,0.14,0.14,0.0,0.14,0.01,0.05,0.06,0.01,0.06,Matches
Felipe Melo,br BRA,"DF,MF",38.0,24,4,733.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.1,0.1,2.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
Luccas Claro,br BRA,DF,30.0,10,4,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Mario Pineida,ec ECU,DF,29.0,7,4,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Willian,br BRA,"FW,MF",35.0,28,3,474.0,5.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,0.5,2.0,8.0,14.0,36.0,0.57,0.19,0.76,0.57,0.76,0.29,0.09,0.38,0.29,0.38,Matches
Marlon,br BRA,DF,24.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,6.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches
Alexsander,br BRA,DF,18.0,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches
Fred,br BRA,"FW,MF",38.0,6,1,129.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,2.0,4.0,14.0,0.7,0.0,0.7,0.7,0.7,0.36,0.02,0.38,0.36,0.38,Matches
Marrony,br BRA,"FW,MF",22.0,10,0,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0.2,0.6,12.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.22,0.08,0.31,0.22,0.31,Matches
John Kennedy,br BRA,"FW,MF",19.0,6,0,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.4,1.5,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.71,0.27,0.98,0.71,0.98,Matches
David Duarte,br BRA,DF,27.0,4,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michel Araujo,uy URU,"FW,MF",25.0,8,0,83.0,0.9,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.8,1.6,6.0,6.0,9.0,2.17,3.25,5.42,2.17,5.42,0.88,0.86,1.74,0.88,1.74,Matches
Alexandre Jesus,br BRA,"MF,DF",20.0,5,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Alan Carvalho,cn CHN,"FW,MF",32.0,4,0,36.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,2.5,0.0,2.5,2.5,2.5,0.3,0.0,0.3,0.3,0.3,Matches
Muriel Becker,br BRA,GK,34.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cipriano,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Felipe,br BRA,GK,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Ferraz,br BRA,DF,36.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Pedro,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Rangel,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
