Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Fábio,br BRA,GK,43.0,37.0,4,0,0,1,5,0,0,3,1,0,1,0,40,15,0,100.0,Matches
Martinelli,br BRA,"MF,DF",22.0,29.4,9,0,0,47,25,0,9,22,28,1,0,0,139,28,29,49.1,Matches
Samuel Xavier,br BRA,DF,33.0,30.6,5,0,0,39,55,2,69,28,31,0,0,0,114,23,28,45.1,Matches
Ganso,br BRA,MF,34.0,25.0,12,1,0,19,37,2,76,14,23,0,0,0,95,10,20,33.3,Matches
Jhon Arias,co COL,FW,26.0,26.4,6,0,0,32,62,6,121,13,28,0,0,0,134,16,32,33.3,Matches
Thiago dos Santos,br BRA,DF,34.0,23.8,9,0,0,25,24,1,1,29,25,0,1,0,97,71,49,59.2,Matches
Diogo Barbosa,br BRA,DF,31.0,20.5,6,0,0,18,27,0,41,15,26,0,0,0,85,19,11,63.3,Matches
Lima,br BRA,"MF,FW",27.0,20.5,8,1,1,32,51,2,44,20,20,1,1,0,105,10,29,25.6,Matches
Germán Cano,ar ARG,FW,35.0,17.9,6,0,0,11,7,3,7,1,5,0,0,0,33,9,25,26.5,Matches
Kauã Elias,br BRA,FW,17.0,16.3,4,0,0,15,9,3,3,3,11,0,0,0,57,20,78,20.4,Matches
Keno,br BRA,"FW,MF",34.0,15.5,4,0,0,18,26,7,45,8,17,0,0,0,44,8,9,47.1,Matches
Thiago Silva,br BRA,DF,39.0,15.0,2,0,0,4,6,0,0,15,9,0,0,0,49,26,11,70.3,Matches
Marquinhos,br BRA,"FW,DF",20.0,14.1,2,0,0,19,37,1,60,11,13,1,0,0,52,16,25,39.0,Matches
Marcelo,br BRA,DF,35.0,11.6,3,0,0,12,16,0,55,8,19,0,0,0,59,0,8,0.0,Matches
André,br BRA,MF,22.0,11.9,5,0,0,17,26,0,0,15,16,0,0,0,87,4,5,44.4,Matches
Manoel,br BRA,DF,33.0,11.6,2,0,0,10,5,0,0,6,7,0,0,0,31,10,21,32.3,Matches
Antonio Carlos,br BRA,DF,30.0,12.0,1,0,0,11,12,1,4,20,4,0,0,0,40,47,21,69.1,Matches
Facundo Bernal,uy URU,MF,20.0,10.5,6,0,0,19,7,0,1,8,11,0,0,0,49,17,9,65.4,Matches
Kevin Serna,co COL,FW,26.0,9.7,1,0,0,12,15,2,39,6,20,0,0,0,42,6,15,28.6,Matches
Alexsander,br BRA,MF,20.0,8.8,4,0,0,21,19,0,7,9,12,0,0,0,50,6,10,37.5,Matches
Felipe Melo,br BRA,DF,40.0,4.6,3,1,0,5,4,0,0,7,3,0,0,0,14,12,4,75.0,Matches
John Kennedy,br BRA,"FW,MF",21.0,7.5,1,0,0,15,17,2,2,0,3,0,0,0,13,11,22,33.3,Matches
Marlon,br BRA,DF,28.0,3.9,1,0,0,5,2,0,0,3,4,0,0,0,13,15,7,68.2,Matches
Guga,br BRA,"DF,FW",25.0,3.6,3,1,0,8,4,0,3,3,8,0,0,0,17,2,4,33.3,Matches
Gabriel,br BRA,MF,30.0,2.6,1,0,0,8,5,1,3,10,7,0,0,0,13,5,2,71.4,Matches
Renato Augusto,br BRA,"MF,FW",35.0,4.9,0,0,0,8,4,4,4,5,8,0,0,0,18,4,9,30.8,Matches
Nonato,br BRA,MF,25.0,3.3,1,0,0,3,5,0,1,5,6,0,0,0,19,7,7,50.0,Matches
Douglas Costa,br BRA,FW,33.0,3.2,1,0,0,4,3,0,26,2,6,0,0,0,16,2,2,50.0,Matches
David Terans,uy URU,"MF,FW",29.0,2.4,1,0,0,5,5,0,8,0,4,0,0,0,4,1,4,20.0,Matches
Gabriel Fuentes,co COL,DF,26.0,2.4,1,0,0,3,0,0,3,1,2,0,0,0,8,4,1,80.0,Matches
Ignácio,br BRA,DF,27.0,2.1,0,0,0,2,3,0,0,0,6,0,0,0,5,8,3,72.7,Matches
Victor Hugo,br BRA,"MF,FW",19.0,1.2,1,0,0,4,1,0,0,3,0,0,0,0,9,1,0,100.0,Matches
Isaac,br BRA,"FW,MF",19.0,1.9,0,0,0,1,6,0,2,0,3,0,0,0,7,0,1,0.0,Matches
Esquerdinha,br BRA,"DF,FW",17.0,1.4,0,0,0,1,1,0,10,0,0,0,0,0,3,0,3,0.0,Matches
Vitor Eudes,br BRA,GK,25.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Felipe Vieira,br BRA,"DF,MF",18.0,1.8,0,0,0,3,2,0,1,4,3,0,0,0,7,5,2,71.4,Matches
Jan Lucumí González,co COL,"FW,MF",19.0,1.0,2,1,1,2,5,1,3,1,0,0,0,0,2,0,0,,Matches
Lucas Calegari,br BRA,DF,21.0,0.9,0,0,0,3,3,0,2,1,4,0,1,0,7,1,0,100.0,Matches
Isaque,br BRA,FW,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,30.4,38.0,115,5,2,462,542,38,650,299,393,3,4,0,1578,439,506,46.5,
Opponent Total,,,27.5,38.0,106,2,1,571,445,66,729,357,563,3,4,2,1630,505,440,53.4,
