Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Juan Quintero,co COL,DF,23.0,36.8,1696,1612,83,79,0,18,3,2,0,0,0,0,1504,1,7,Matches
Felipe Alves Raymundo,br BRA,GK,30.0,31.4,1367,976,389,79,0,8,0,0,0,0,0,0,1078,2,2,Matches
Juninho,br BRA,MF,32.0,30.2,1876,1646,224,118,2,41,155,3,103,37,50,2,1541,6,14,Matches
Felipe,br BRA,MF,24.0,29.6,1468,1381,84,71,6,20,3,13,0,0,0,0,1244,3,17,Matches
Romarinho,br BRA,"MF,FW",24.0,25.3,662,651,9,2,5,2,39,7,0,0,0,0,534,2,17,Matches
Wellington Paulista,br BRA,FW,34.0,27.0,379,314,64,2,0,3,16,3,0,0,0,0,259,1,14,Matches
Carlinhos,br BRA,DF,32.0,27.0,1111,874,235,30,0,6,68,201,4,1,2,0,827,2,13,Matches
Gabriel Dias,br BRA,"DF,MF",24.0,24.6,734,565,168,23,0,3,44,145,0,0,0,0,545,1,19,Matches
Osvaldo,br BRA,"FW,MF",31.0,19.1,483,466,12,4,2,4,51,1,7,0,3,0,340,5,15,Matches
Edinho,br BRA,"FW,MF",24.0,19.4,565,539,23,9,0,3,57,2,12,1,6,0,436,3,15,Matches
Guilherme Tinga,br BRA,DF,25.0,20.3,965,780,181,28,2,5,63,153,0,0,0,0,674,4,25,Matches
André Luis,br BRA,"FW,MF",21.0,15.4,230,220,10,4,1,2,15,0,0,0,0,0,164,0,5,Matches
Bruno Melo,br BRA,DF,26.0,13.1,558,452,104,25,1,2,9,79,0,0,0,0,454,2,6,Matches
Roger Carvalho,br BRA,DF,32.0,10.9,495,480,14,14,0,3,1,0,0,0,0,0,426,1,2,Matches
Paulão,br BRA,DF,32.0,11.2,517,469,46,45,0,9,0,0,0,0,0,0,447,2,1,Matches
Jackson de Souza,br BRA,DF,28.0,10.1,457,444,12,11,0,9,0,1,0,0,0,0,381,1,2,Matches
Kieza,br BRA,FW,32.0,13.0,248,232,16,2,0,0,1,0,0,0,0,0,181,0,4,Matches
Felipe Araruna,br BRA,MF,22.0,6.9,268,260,6,6,0,1,5,0,0,0,0,0,221,2,6,Matches
Marcelo Boeck,br BRA,GK,34.0,6.6,218,145,72,15,0,0,0,0,0,0,0,0,171,1,0,Matches
Marcinho,br BRA,"MF,FW",23.0,5.2,91,88,3,0,2,0,3,3,0,0,0,0,69,0,1,Matches
Felipe Pires,br BRA,"FW,MF",23.0,6.0,190,183,6,0,0,0,9,4,2,0,0,0,147,1,6,Matches
Júnior Santos,br BRA,FW,24.0,3.8,54,49,5,0,0,1,0,0,0,0,0,0,39,0,3,Matches
Marlon,br BRA,"MF,FW",28.0,6.4,181,173,8,3,0,0,15,2,1,0,0,0,142,0,12,Matches
Nathan Otávio Ribeiro,br BRA,DF,28.0,3.4,201,197,4,4,0,0,1,0,0,0,0,0,186,0,0,Matches
Mariano Vázquez,ar ARG,"MF,FW",26.0,3.2,68,60,6,0,0,1,6,2,4,1,2,0,47,2,2,Matches
Paulo Roberto,br BRA,MF,31.0,2.8,119,115,4,4,0,2,0,0,0,0,0,0,99,0,3,Matches
Nenê Bonilha,br BRA,"MF,FW",26.0,2.9,145,132,13,4,0,0,10,0,8,4,4,0,117,0,2,Matches
Dodô,br BRA,"MF,FW",24.0,1.8,106,100,6,2,0,2,7,1,3,0,1,0,77,0,2,Matches
Matheus de Vargas,br BRA,MF,22.0,1.0,25,23,2,1,1,1,1,0,1,1,0,0,19,0,0,Matches
Matheus Alessandro,br BRA,"FW,MF",22.0,1.5,53,53,0,0,0,0,2,0,0,0,0,0,42,0,4,Matches
Derley,br BRA,"MF,DF",32.0,0.7,57,55,2,1,0,1,0,1,0,0,0,0,57,0,0,Matches
Adalberto,br BRA,DF,31.0,0.5,19,19,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Squad Total,,,28.1,38.0,15606,13753,1811,586,22,147,584,623,145,45,68,2,12481,42,219,
Opponent Total,,,27.3,38.0,18926,17082,1786,503,21,119,848,709,237,97,115,0,15659,58,239,
