Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Juan Quintero,co COL,DF,23.0,36.8,1504,1696,88.7,30406,9951,446,475,93.9,859,922,93.2,183,256,71.5,0,0.1,0.3,-0.1,3,89,3,0,141,Matches
Felipe Alves Raymundo,br BRA,GK,30.0,31.4,1078,1367,78.9,30472,21263,183,186,98.4,496,501,99.0,381,658,57.9,0,0.0,0.0,0.0,1,13,0,0,1,Matches
Juninho,br BRA,MF,32.0,30.2,1541,1876,82.1,32377,8856,526,597,88.1,682,781,87.3,301,432,69.7,6,5.4,4.6,0.6,55,164,20,5,181,Matches
Felipe,br BRA,MF,24.0,29.6,1244,1468,84.7,23960,6718,476,537,88.6,594,667,89.1,161,217,74.2,1,1.1,1.3,-0.1,24,162,9,0,182,Matches
Romarinho,br BRA,"MF,FW",24.0,25.3,534,662,80.7,7712,1982,296,336,88.1,180,218,82.6,26,41,63.4,5,4.7,2.6,0.3,38,65,26,9,92,Matches
Wellington Paulista,br BRA,FW,34.0,27.0,259,379,68.3,3635,916,158,206,76.7,65,93,69.9,15,30,50.0,3,3.2,1.4,-0.2,20,16,10,3,27,Matches
Carlinhos,br BRA,DF,32.0,27.0,827,1111,74.4,13459,4976,419,480,87.3,322,453,71.1,58,120,48.3,2,2.2,2.5,-0.2,24,58,17,12,82,Matches
Gabriel Dias,br BRA,"DF,MF",24.0,24.6,545,734,74.3,8787,2698,273,332,82.2,216,284,76.1,36,69,52.2,2,2.0,1.3,0.0,12,28,8,7,45,Matches
Osvaldo,br BRA,"FW,MF",31.0,19.1,340,483,70.4,5013,1409,193,227,85.0,105,158,66.5,24,52,46.2,5,3.5,1.7,1.5,23,40,16,7,49,Matches
Edinho,br BRA,"FW,MF",24.0,19.4,436,565,77.2,6688,1519,229,270,84.8,169,207,81.6,23,48,47.9,1,1.2,1.5,-0.2,22,36,15,7,68,Matches
Guilherme Tinga,br BRA,DF,25.0,20.3,674,965,69.8,14006,5189,218,271,80.4,319,427,74.7,123,213,57.7,2,1.9,2.3,0.1,22,62,23,15,82,Matches
André Luis,br BRA,"FW,MF",21.0,15.4,164,230,71.3,2227,610,92,118,78.0,46,68,67.6,8,13,61.5,0,0.5,0.3,-0.5,11,15,6,0,23,Matches
Bruno Melo,br BRA,DF,26.0,13.1,454,558,81.4,8297,2894,181,203,89.2,215,257,83.7,48,76,63.2,3,2.0,0.8,1.0,8,44,5,2,52,Matches
Roger Carvalho,br BRA,DF,32.0,10.9,426,495,86.1,8377,2813,139,148,93.9,232,252,92.1,52,86,60.5,0,0.0,0.0,0.0,0,12,1,0,27,Matches
Paulão,br BRA,DF,32.0,11.2,447,517,86.5,9002,2360,138,148,93.2,237,255,92.9,63,101,62.4,0,0.0,0.0,0.0,0,8,0,0,25,Matches
Jackson de Souza,br BRA,DF,28.0,10.1,381,457,83.4,8751,3017,81,92,88.0,230,247,93.1,68,110,61.8,0,0.0,0.1,0.0,0,20,0,0,23,Matches
Kieza,br BRA,FW,32.0,13.0,181,248,73.0,2439,423,109,140,77.9,57,77,74.0,6,7,85.7,0,0.6,0.6,-0.6,11,12,6,0,22,Matches
Felipe Araruna,br BRA,MF,22.0,6.9,221,268,82.5,4184,1209,79,92,85.9,109,126,86.5,25,32,78.1,0,0.7,0.1,-0.7,8,23,3,1,28,Matches
