Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Juan Quintero,co COL,DF,23.0,37,3308.0,89.0,96.7,36.8,37,89.0,36.0,0,,0,1.43,50.0,47.0,3.0,0.08,1.69,48.9,59.0,-10.1,-0.28,1.27,Matches
Felipe Alves Raymundo,br BRA,GK,30.0,32,2825.0,88.0,82.6,31.4,32,88.0,31.0,0,,1,1.47,45.0,39.0,6.0,0.19,0.95,42.7,48.2,-5.5,-0.18,0.81,Matches
Juninho,br BRA,MF,32.0,32,2714.0,85.0,79.4,30.2,30,89.0,29.0,2,23.0,1,1.25,39.0,39.0,0.0,0.0,-0.13,39.9,53.7,-13.8,-0.46,-0.68,Matches
Felipe,br BRA,MF,24.0,30,2662.0,89.0,77.8,29.6,30,89.0,27.0,0,,2,1.43,39.0,35.0,4.0,0.14,0.49,38.7,43.5,-4.8,-0.16,0.7,Matches
Romarinho,br BRA,"MF,FW",24.0,32,2281.0,71.0,66.7,25.3,29,75.0,9.0,3,39.0,3,1.47,36.0,30.0,6.0,0.24,0.63,29.6,40.1,-10.5,-0.41,-0.29,Matches
Wellington Paulista,br BRA,FW,34.0,31,2433.0,78.0,71.1,27.0,28,85.0,22.0,3,14.0,1,1.58,40.0,34.0,6.0,0.22,0.68,36.4,46.4,-10.0,-0.37,-0.19,Matches
Carlinhos,br BRA,DF,32.0,27,2428.0,90.0,71.0,27.0,27,90.0,26.0,0,,8,1.3,35.0,37.0,-2.0,-0.07,-0.35,34.9,44.6,-9.8,-0.36,-0.16,Matches
Gabriel Dias,br BRA,"DF,MF",24.0,28,2211.0,79.0,64.6,24.6,25,87.0,21.0,3,11.0,7,1.43,34.0,34.0,0.0,0.0,-0.07,32.2,41.3,-9.1,-0.37,-0.16,Matches
Osvaldo,br BRA,"FW,MF",31.0,32,1715.0,54.0,50.1,19.1,22,67.0,3.0,10,25.0,2,1.34,26.0,23.0,3.0,0.16,0.26,24.0,29.7,-5.8,-0.3,0.03,Matches
Edinho,br BRA,"FW,MF",24.0,29,1748.0,60.0,51.1,19.4,20,78.0,9.0,9,21.0,3,1.41,24.0,28.0,-4.0,-0.21,-0.48,24.6,29.1,-4.5,-0.23,0.18,Matches
Guilherme Tinga,br BRA,DF,25.0,23,1824.0,79.0,53.3,20.3,19,90.0,19.0,4,28.0,15,1.26,24.0,28.0,-4.0,-0.2,-0.48,29.7,33.3,-3.6,-0.18,0.3,Matches
André Luis,br BRA,"FW,MF",21.0,24,1382.0,58.0,40.4,15.4,17,70.0,4.0,7,27.0,6,1.5,22.0,13.0,9.0,0.59,0.94,17.5,23.5,-6.1,-0.4,-0.13,Matches
Bruno Melo,br BRA,DF,26.0,14,1183.0,85.0,34.6,13.1,13,90.0,12.0,1,16.0,23,1.64,19.0,15.0,4.0,0.3,0.43,19.2,22.9,-3.7,-0.28,0.06,Matches
Roger Carvalho,br BRA,DF,32.0,12,984.0,82.0,28.8,10.9,12,82.0,9.0,0,,2,1.08,13.0,16.0,-3.0,-0.27,-0.42,12.4,19.9,-7.5,-0.68,-0.52,Matches
Paulão,br BRA,DF,32.0,12,1005.0,84.0,29.4,11.2,11,88.0,10.0,1,35.0,3,1.92,18.0,11.0,7.0,0.63,0.85,15.4,16.0,-0.6,-0.06,0.37,Matches
Jackson de Souza,br BRA,DF,28.0,11,908.0,83.0,26.5,10.1,11,83.0,9.0,0,,3,1.09,12.0,14.0,-2.0,-0.2,-0.31,12.7,15.6,-3.0,-0.29,0.03,Matches
Kieza,br BRA,FW,32.0,24,1172.0,49.0,34.3,13.0,10,83.0,5.0,14,24.0,12,1.38,16.0,18.0,-2.0,-0.15,-0.27,19.5,24.5,-5.0,-0.39,-0.11,Matches
Felipe Araruna,br BRA,MF,22.0,9,625.0,69.0,18.3,6.9,7,86.0,5.0,2,10.0,25,1.78,11.0,10.0,1.0,0.14,0.14,9.5,13.7,-4.2,-0.6,-0.35,Matches
Marcelo Boeck,br BRA,GK,34.0,7,595.0,85.0,17.4,6.6,6,90.0,6.0,1,54.0,30,0.75,5.0,11.0,-6.0,-0.91,-1.13,7.4,13.9,-6.5,-0.99,-0.81,Matches
Marcinho,br BRA,"MF,FW",23.0,8,468.0,59.0,13.7,5.2,6,71.0,0.0,2,23.0,1,1.25,7.0,8.0,-1.0,-0.19,-0.25,7.0,7.9,-0.9,-0.17,0.17,Matches
Felipe Pires,br BRA,"FW,MF",23.0,11,540.0,49.0,15.8,6.0,5,76.0,1.0,6,27.0,9,0.91,9.0,10.0,-1.0,-0.17,-0.23,10.5,9.9,0.6,0.1,0.49,Matches
Júnior Santos,br BRA,FW,24.0,6,339.0,57.0,9.9,3.8,5,64.0,1.0,1,19.0,3,1.17,1.0,7.0,-6.0,-1.59,-1.8,4.1,6.4,-2.4,-0.63,-0.34,Matches
Marlon,br BRA,"MF,FW",28.0,19,575.0,30.0,16.8,6.4,3,81.0,1.0,16,21.0,18,1.58,5.0,11.0,-6.0,-0.94,-1.16,7.4,11.2,-3.8,-0.6,-0.34,Matches
Nathan Otávio Ribeiro,br BRA,DF,28.0,5,307.0,61.0,9.0,3.4,3,76.0,1.0,2,40.0,13,0.8,2.0,5.0,-3.0,-0.88,-1.0,4.0,6.1,-2.1,-0.62,-0.33,Matches
