Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Felipe Alves Raymundo,br BRA,GK,31.0,37.0,0,0,0,0,5,0,0,1,2,0,0,0,27,5,1,83.3,Matches
David,br BRA,"FW,MF",24.0,29.6,5,0,0,63,40,18,26,15,21,1,0,0,79,33,63,34.4,Matches
Felipe,br BRA,MF,25.0,29.9,15,2,2,52,53,0,11,61,33,0,2,0,155,12,14,46.2,Matches
Juninho,br BRA,MF,33.0,30.4,8,2,1,53,48,0,172,41,37,0,0,0,155,23,26,46.9,Matches
Romarinho,br BRA,"FW,MF",25.0,28.7,2,0,0,16,74,2,25,13,13,1,0,0,153,10,38,20.8,Matches
Paulão,br BRA,DF,33.0,30.2,7,0,0,36,14,3,1,38,8,0,2,0,111,88,43,67.2,Matches
Osvaldo,br BRA,"FW,MF",32.0,21.9,2,0,0,20,31,4,78,14,17,2,0,0,95,11,25,30.6,Matches
Wellington Paulista,br BRA,FW,35.0,21.8,3,0,0,36,39,7,10,4,3,0,0,0,39,20,49,29.0,Matches
Gabriel Dias,br BRA,DF,25.0,21.8,3,1,0,25,27,4,41,20,19,0,0,0,60,99,49,66.9,Matches
Guilherme Tinga,br BRA,"DF,FW",26.0,20.4,2,0,0,18,12,1,72,21,20,0,0,0,108,44,41,51.8,Matches
Carlinhos,br BRA,DF,33.0,20.9,3,0,0,38,29,2,59,24,12,1,0,1,92,68,27,71.6,Matches
Jackson de Souza,br BRA,DF,29.0,18.8,7,0,0,31,18,0,1,20,10,0,4,0,70,62,26,70.5,Matches
Bruno Melo,br BRA,DF,27.0,18.8,4,1,0,31,17,3,21,16,15,0,0,0,65,56,22,71.8,Matches
Ronald,br BRA,"MF,FW",22.0,15.4,2,0,0,32,28,1,11,21,25,0,0,0,92,3,17,15.0,Matches
Juan Quintero,co COL,DF,24.0,11.4,3,1,0,12,5,0,0,11,4,0,1,0,27,13,6,68.4,Matches
Yuri,br BRA,"FW,MF",19.0,12.8,3,0,0,21,37,4,23,5,9,0,0,0,52,4,25,13.8,Matches
Wanderson,br BRA,DF,28.0,8.1,1,0,0,8,7,0,0,10,1,0,0,0,20,24,18,57.1,Matches
Marlon,br BRA,"MF,FW",29.0,6.9,1,0,0,24,9,1,10,7,16,0,0,0,42,4,6,40.0,Matches
Roger Carvalho,br BRA,DF,33.0,4.8,0,1,0,3,3,0,0,1,1,0,0,0,6,8,2,80.0,Matches
Bergson da Silva,br BRA,FW,28.0,6.2,2,0,0,18,11,1,4,1,6,0,0,0,16,21,12,63.6,Matches
Luiz Henrique,br BRA,MF,20.0,3.4,1,0,0,4,10,0,8,0,1,0,0,0,18,1,5,16.7,Matches
Mariano Vázquez,ar ARG,"MF,FW",27.0,4.1,2,0,0,13,12,3,7,1,3,1,0,0,13,2,6,25.0,Matches
João Paulo Alves,br BRA,"MF,FW",29.0,3.4,2,0,0,10,3,0,11,1,1,0,0,0,17,1,4,20.0,Matches
Igor Torres,br BRA,FW,19.0,2.4,0,0,0,4,2,0,3,5,9,0,0,0,14,4,8,33.3,Matches
Derley,br BRA,"MF,FW",33.0,2.1,5,0,0,6,3,0,1,4,2,0,0,0,12,5,0,100.0,Matches
Éderson,br BRA,"FW,MF",30.0,1.2,0,0,0,2,1,2,2,0,1,0,0,0,0,1,3,25.0,Matches
Max Walef,br BRA,GK,26.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Edson Caríus,br BRA,FW,31.0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Franco Fragapane,ar ARG,"MF,FW",26.0,1.4,0,0,0,2,3,1,1,2,2,0,0,0,9,0,1,0.0,Matches
Tiago Orobó,br BRA,"FW,MF",26.0,0.5,0,0,0,4,0,0,2,1,1,0,0,0,2,5,7,41.7,Matches
Pablo,br BRA,MF,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.9,38.0,83,8,3,582,542,57,600,358,292,6,9,1,1553,627,545,53.5,
Opponent Total,,,26.4,38.0,73,6,3,578,548,53,721,409,286,7,8,1,1567,545,627,46.5,
