Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Juninho Capixaba,br BRA,DF,24.0,32.3,104,3.22,65,20,6,4,7,2,8,0.25,7,0,0,1,0,0,Matches
Titi,br BRA,DF,33.0,31.1,14,0.45,13,1,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
Marcelo,br BRA,DF,26.0,29.0,11,0.38,8,1,1,0,0,1,1,0.03,1,0,0,0,0,0,Matches
Moises,br BRA,"FW,MF",25.0,25.0,83,3.32,50,1,15,11,5,1,10,0.4,6,0,1,2,1,0,Matches
Emanuel Brítez,ar ARG,DF,29.0,20.0,20,1.0,11,8,0,0,1,0,3,0.15,0,2,0,0,1,0,Matches
Fernando Miguel,br BRA,GK,36.0,20.0,3,0.15,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Welison,br BRA,MF,26.0,19.1,40,2.09,31,2,1,3,2,1,3,0.16,3,0,0,0,0,0,Matches
Romarinho,br BRA,"FW,MF",27.0,14.6,47,3.23,32,1,6,3,5,0,3,0.21,3,0,0,0,0,0,Matches
Robson,br BRA,"FW,MF",30.0,16.1,50,3.11,30,1,5,6,8,0,5,0.31,3,0,1,1,0,0,Matches
Thiago Galhardo,br BRA,"FW,MF",32.0,15.0,45,3.01,28,0,7,5,4,1,5,0.33,1,0,4,0,0,0,Matches
Lucas Sasha,br BRA,MF,31.0,14.1,21,1.49,18,1,0,0,0,2,2,0.14,2,0,0,0,0,0,Matches
Guilherme Tinga,br BRA,DF,28.0,13.1,32,2.45,24,6,1,0,0,1,6,0.46,5,0,1,0,0,0,Matches
Lucas Crispim,br BRA,"DF,MF",27.0,13.0,52,4.0,29,18,1,1,1,2,3,0.23,2,1,0,0,0,0,Matches
Yago Pikachu,br BRA,"DF,MF",29.0,13.4,48,3.58,30,10,2,2,4,0,2,0.15,1,1,0,0,0,0,Matches
Marcelo Boeck,br BRA,GK,37.0,13.0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Lima,br BRA,"MF,FW",31.0,13.0,55,4.24,36,14,1,0,4,0,2,0.15,1,1,0,0,0,0,Matches
Silvio Romero,ar ARG,FW,33.0,12.9,23,1.78,15,0,2,3,3,0,2,0.16,2,0,0,0,0,0,Matches
Ronald,br BRA,"MF,FW",24.0,11.7,24,2.06,21,2,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Hércules,br BRA,"MF,FW",21.0,15.2,38,2.5,31,0,1,0,4,2,3,0.2,3,0,0,0,0,0,Matches
Brayan Ceballos,co COL,DF,20.0,11.9,11,0.92,8,0,0,1,0,2,0,0.0,0,0,0,0,0,0,Matches
Caio Alexandre,br BRA,MF,22.0,11.0,28,2.54,27,0,1,0,0,0,3,0.27,3,0,0,0,0,0,Matches
Felipe,br BRA,MF,27.0,9.8,21,2.15,18,0,0,1,1,1,3,0.31,2,0,0,0,0,1,Matches
Pedro Rocha Neves,br BRA,"FW,MF",27.0,7.7,37,4.79,24,0,7,3,3,0,8,1.04,3,0,3,1,1,0,Matches
Jussa,br BRA,"MF,DF",25.0,7.0,18,2.57,18,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Anthony Landazuri,ec ECU,DF,24.0,5.8,9,1.55,7,1,0,0,1,0,2,0.35,1,0,0,0,1,0,Matches
Max Walef,br BRA,GK,28.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus de Vargas,br BRA,MF,25.0,4.6,16,3.44,9,0,2,1,4,0,1,0.22,1,0,0,0,0,0,Matches
Rómulo Otero,ve VEN,"MF,FW",29.0,2.6,16,6.26,8,6,0,0,2,0,1,0.39,1,0,0,0,0,0,Matches
Habraão,br BRA,DF,20.0,2.4,1,0.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitor Ricardo,br BRA,DF,21.0,1.3,4,3.1,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Valentín Depietri,ar ARG,"FW,MF",21.0,2.6,8,3.08,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato Kayser,br BRA,FW,25.0,1.8,4,2.21,2,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Fabrício Baiano,br BRA,"FW,MF",29.0,0.6,1,1.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor Torres,br BRA,"FW,MF",21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,886,23.32,609,95,60,46,60,16,80,2.11,55,5,10,5,4,1,
Opponent Total,,,26.8,38.0,831,21.87,573,99,51,44,55,9,63,1.66,45,3,4,4,6,1,
