Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Ricardo Riedi,br BRA,GK,35.0,38.0,1101,958,1100,1,0,0,1101,1,1,100.0,0,0.0,510,3280,2213,0,0,0,2,0,310,0,Matches
Hércules,br BRA,MF,23.0,25.7,1138,44,183,711,264,34,1138,56,37,66.1,16,28.6,691,3597,1569,32,28,8,31,24,774,70,Matches
Emanuel Brítez,ar ARG,DF,31.0,27.8,1338,160,563,659,128,22,1338,15,10,66.7,3,20.0,592,2833,1487,12,8,0,16,9,679,23,Matches
Juan Martín Lucero,ar ARG,FW,32.0,25.0,557,21,48,275,236,65,554,9,3,33.3,6,66.7,292,1272,490,13,12,6,45,25,378,93,Matches
Guilherme Tinga,br BRA,DF,30.0,23.9,1526,120,501,748,298,26,1526,21,11,52.4,9,42.9,701,3701,2115,32,22,2,17,13,794,73,Matches
Titi,br BRA,DF,35.0,22.4,1015,105,525,476,19,11,1015,4,3,75.0,0,0.0,557,2706,1478,8,3,0,16,6,603,1,Matches
Breno,br BRA,"FW,MF",28.0,21.1,895,12,90,426,396,58,895,56,28,50.0,17,30.4,620,4714,2286,81,56,31,38,29,702,163,Matches
Benjamín Kuscevic,cl CHI,DF,27.0,20.6,1086,201,596,471,26,15,1086,5,2,40.0,2,40.0,558,2650,1389,4,2,0,12,3,623,5,Matches
Tomas Pochettino,ar ARG,"MF,FW",27.0,18.3,960,22,106,463,403,39,959,41,20,48.8,19,46.3,534,3347,1442,57,29,14,44,17,624,117,Matches
Matheus Rossetto,br BRA,MF,27.0,17.2,1188,30,225,892,82,0,1188,27,18,66.7,7,25.9,729,3598,1614,26,19,0,17,11,870,15,Matches
Yago Pikachu,br BRA,"FW,MF",31.0,18.1,687,17,112,314,271,53,687,32,12,37.5,16,50.0,405,2034,1053,25,24,12,24,19,466,117,Matches
Felipe Jonatan,br BRA,DF,25.0,16.8,1001,64,307,497,207,14,1001,25,12,48.0,10,40.0,484,1891,1051,15,14,1,6,10,557,52,Matches
Tomás Cardona,ar ARG,DF,28.0,15.9,956,144,503,441,16,12,956,0,0,,0,,491,2488,1446,11,2,0,7,0,576,0,Matches
Marinho,br BRA,FW,33.0,15.0,649,11,76,257,329,45,649,63,27,42.9,25,39.7,399,3054,1622,55,43,23,51,22,447,89,Matches
Moises,br BRA,"FW,MF",27.0,13.0,435,12,48,189,213,73,435,71,33,46.5,35,49.3,257,2257,1193,50,33,30,33,21,301,79,Matches
Lucas Sasha,br BRA,MF,33.0,13.6,603,41,143,369,95,13,603,12,6,50.0,3,25.0,254,1051,368,7,5,0,15,4,288,24,Matches
Bruno Pacheco,br BRA,DF,32.0,13.2,688,40,215,354,133,13,688,29,18,62.1,5,17.2,312,1832,982,20,20,5,10,16,381,16,Matches
Pedro Borges,br BRA,MF,26.0,13.0,675,66,209,406,63,3,675,9,3,33.3,3,33.3,289,1233,509,2,3,0,17,6,340,9,Matches
Renato Kayser,br BRA,FW,27.0,12.4,391,15,39,189,168,46,390,27,13,48.1,13,48.1,200,976,440,20,10,6,37,12,246,40,Matches
Leandro Emmanuel Martínez,ar ARG,"MF,FW",29.0,11.2,604,12,101,330,184,14,604,28,15,53.6,12,42.9,355,1891,795,15,20,1,16,13,408,33,Matches
Eros Mancuso,ar ARG,"DF,FW",24.0,10.3,552,27,157,286,117,11,552,12,6,50.0,6,50.0,261,1137,568,13,9,0,15,14,316,37,Matches
José Welison,br BRA,MF,28.0,9.8,508,33,127,338,47,3,508,6,2,33.3,4,66.7,246,1040,504,7,5,0,14,12,284,8,Matches
Kervin Andrade,ve VEN,MF,18.0,5.4,228,2,22,99,112,13,228,18,5,27.8,8,44.4,133,603,289,6,8,1,18,13,154,39,Matches
Imanol Machuca,ar ARG,"FW,MF",24.0,4.8,234,2,19,98,124,11,234,30,11,36.7,15,50.0,143,1453,595,25,16,6,13,15,164,34,Matches
Calebe,br BRA,"MF,FW",23.0,1.4,78,0,5,38,37,3,78,6,5,83.3,1,16.7,62,331,142,4,6,1,8,1,70,12,Matches
Kauan,br BRA,MF,18.0,0.6,46,1,11,27,8,0,46,1,0,0.0,1,100.0,27,111,48,2,1,0,2,2,35,1,Matches
Pedro Rocha Neves,br BRA,"FW,MF",29.0,0.5,39,0,4,13,22,3,39,6,2,33.3,3,50.0,30,158,84,2,2,1,3,3,27,5,Matches
Luis Eduardo Marques dos Santos,br BRA,"FW,DF",26.0,0.2,12,1,4,3,5,0,12,0,0,,0,,8,33,17,0,1,0,1,0,8,1,Matches
Squad Total,,,29.8,38.0,19190,2161,6039,9370,4003,600,19185,610,303,49.7,239,39.2,10140,55271,27789,544,401,148,528,320,11425,1156,
Opponent Total,,,27.3,38.0,24073,2046,6647,12117,5550,796,24068,692,336,48.6,298,43.1,13862,72971,38105,695,525,118,553,356,16362,1622,
