Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Renan Brito Soares,br BRA,GK,30.0,35.0,4,0,0,,,,,,,,,0,Matches
Fred,br BRA,DF,29.0,31.1,2,0,0,,,,,,,,,0,Matches
Bruno Henrique,br BRA,"FW,MF",24.0,30.6,13,1,1,,,,,,,,,0,Matches
Rodrigo,br BRA,MF,20.0,28.6,2,0,0,,,,,,,,,0,Matches
Felipe Macedo,br BRA,DF,20.0,27.9,6,1,1,,,,,,,,,0,Matches
Patrick,br BRA,"FW,MF",22.0,26.6,11,0,0,,,,,,,,,0,Matches
Diogo Barbosa,br BRA,DF,22.0,25.8,6,1,1,,,,,,,,,0,Matches
David,br BRA,MF,32.0,24.8,5,0,0,,,,,,,,,0,Matches
Erik Lima,br BRA,"FW,MF",20.0,22.6,4,0,0,,,,,,,,,0,Matches
Felipe Menezes,br BRA,MF,27.0,21.0,2,0,0,,,,,,,,,0,Matches
Gimenez,br BRA,DF,19.0,21.5,5,0,0,,,,,,,,,0,Matches
Rafael Forster,br BRA,DF,24.0,15.6,5,0,0,,,,,,,,,0,Matches
Zé Eduardo,br BRA,FW,27.0,13.2,4,0,0,,,,,,,,,0,Matches
Alex Alves Cardoso,br BRA,DF,22.0,15.2,4,0,0,,,,,,,,,0,Matches
Murilo Henrique,br BRA,MF,20.0,8.9,1,0,0,,,,,,,,,0,Matches
Liniker,br BRA,MF,21.0,9.8,3,0,0,,,,,,,,,0,Matches
Everton Pereira,br BRA,DF,19.0,7.7,0,0,0,,,,,,,,,0,Matches
Ygor Santiago,br BRA,MF,30.0,7.2,5,0,0,,,,,,,,,0,Matches
Clayton Sales,br BRA,DF,21.0,6.7,4,0,0,,,,,,,,,0,Matches
Wesley Pacheco,br BRA,FW,24.0,6.6,3,0,0,,,,,,,,,0,Matches
Carlos Eduardo,br BRA,"FW,MF",18.0,6.9,1,0,0,,,,,,,,,0,Matches
Arthur,br BRA,MF,20.0,4.5,2,0,0,,,,,,,,,0,Matches
Péricles,br BRA,MF,20.0,2.9,3,0,0,,,,,,,,,0,Matches
Paulinho,br BRA,GK,20.0,3.0,0,0,0,,,,,,,,,0,Matches
William Kozlowski,br BRA,MF,31.0,4.2,2,0,0,,,,,,,,,0,Matches
Juliano,br BRA,MF,24.0,2.8,0,0,0,,,,,,,,,0,Matches
Valmir Lucas,br BRA,DF,26.0,1.8,0,0,0,,,,,,,,,0,Matches
Lucas Coelho,br BRA,FW,20.0,1.7,0,0,0,,,,,,,,,0,Matches
Robert Geannine,br BRA,MF,23.0,1.2,0,0,0,,,,,,,,,0,Matches
Ruan Carlos,br BRA,FW,21.0,0.9,0,0,0,,,,,,,,,0,Matches
Jarlan,br BRA,MF,20.0,0.4,1,0,0,,,,,,,,,0,Matches
Juba,br BRA,FW,30.0,0.3,0,0,0,,,,,,,,,0,Matches
David Duarte,br BRA,DF,20.0,0.1,0,0,0,,,,,,,,,0,Matches
Gelson,br BRA,MF,21.0,0.1,0,0,0,,,,,,,,,0,Matches
Esquerdinha,br BRA,MF,25.0,0.0,0,0,0,,,,,,,,,0,Matches
Squad Total,,,24.4,38.0,98,3,3,,,,,,,,,0,
Opponent Total,,,26.6,38.0,97,8,2,,,,,,,,,2,
