Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Renan Brito Soares,br BRA,GK,30.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fred,br BRA,DF,29.0,33,31,2797.0,31.1,6.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Bruno Henrique,br BRA,"FW,MF",24.0,33,31,2756.0,30.6,7.0,7.0,14.0,7.0,0.0,0.0,13.0,1.0,0.23,0.23,0.46,0.23,0.46,Matches
Rodrigo,br BRA,MF,20.0,30,29,2575.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches
Felipe Macedo,br BRA,DF,20.0,29,29,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick,br BRA,"FW,MF",22.0,31,29,2390.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Diogo Barbosa,br BRA,DF,22.0,26,26,2318.0,25.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches
David,br BRA,MF,32.0,26,26,2231.0,24.8,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Erik Lima,br BRA,"FW,MF",20.0,26,25,2031.0,22.6,10.0,2.0,12.0,6.0,4.0,4.0,4.0,0.0,0.44,0.09,0.53,0.27,0.35,Matches
Felipe Menezes,br BRA,MF,27.0,25,25,1894.0,21.0,5.0,4.0,9.0,3.0,2.0,3.0,2.0,0.0,0.24,0.19,0.43,0.14,0.33,Matches
Gimenez,br BRA,DF,19.0,23,22,1933.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Forster,br BRA,DF,24.0,18,15,1401.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zé Eduardo,br BRA,FW,27.0,15,15,1191.0,13.2,3.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.23,0.0,0.23,0.15,0.15,Matches
Alex Alves Cardoso,br BRA,DF,22.0,17,14,1366.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Murilo Henrique,br BRA,MF,20.0,18,9,802.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Liniker,br BRA,MF,21.0,19,8,880.0,9.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.1,0.2,0.31,0.1,0.31,Matches
Everton Pereira,br BRA,DF,19.0,10,7,691.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ygor Santiago,br BRA,MF,30.0,12,7,650.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
