Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Tadeu,br BRA,GK,26.0,36.6,1054,895,1044,10,2,2,1054,0,0,,0,,439,3171,2475,0,1,1,2,0,249,0,Matches
Michael,br BRA,"FW,MF",22.0,33.6,1187,17,145,390,706,122,1187,217,123,56.7,94,43.3,826,7597,4246,173,108,57,109,59,795,313,Matches
Leandro Barcia,uy URU,"FW,MF",26.0,30.9,910,45,211,345,373,82,910,41,17,41.5,24,58.5,473,2640,1264,45,38,15,51,21,543,185,Matches
Jefferson,br BRA,DF,22.0,29.4,1642,105,491,824,354,12,1642,45,36,80.0,9,20.0,746,4436,2715,49,38,5,31,13,819,95,Matches
Léo Sena,br BRA,MF,23.0,27.4,1698,35,327,1194,216,8,1698,81,69,85.2,12,14.8,1170,8314,5095,97,45,5,44,19,1198,27,Matches
Rafael Vaz,br BRA,DF,30.0,31.0,1623,288,818,709,114,24,1623,11,7,63.6,4,36.4,786,4861,3075,29,16,1,11,5,916,9,Matches
Fábio Sanches,br BRA,DF,28.0,25.0,952,206,585,347,24,18,952,1,0,0.0,1,100.0,401,1899,890,0,2,1,2,1,494,0,Matches
Yago,br BRA,"MF,DF",23.0,24.7,1165,29,241,677,261,21,1165,20,12,60.0,8,40.0,636,3586,1664,33,22,3,19,21,697,56,Matches
Yago Rocha,br BRA,DF,24.0,16.9,862,55,220,407,243,6,862,32,19,59.4,13,40.6,350,2509,1230,29,16,5,14,4,398,55,Matches
Rafael Moura,br BRA,FW,35.0,17.7,546,34,53,268,231,74,544,17,12,70.6,5,29.4,256,1264,456,15,13,4,31,28,386,67,Matches
Gilberto,br BRA,MF,30.0,17.8,960,52,272,657,45,10,960,34,28,82.4,6,17.6,498,2809,1513,6,7,0,8,7,597,3,Matches
Kayke Rodrigues,br BRA,FW,30.0,16.5,471,16,30,205,237,51,469,14,11,78.6,3,21.4,275,1543,631,22,18,10,23,19,353,81,Matches
Geovane,br BRA,MF,29.0,15.4,632,47,135,432,71,11,632,7,4,57.1,3,42.9,364,1834,821,6,8,2,14,6,384,13,Matches
Daniel Guedes,br BRA,DF,24.0,13.5,746,35,220,326,219,8,746,32,24,75.0,8,25.0,361,2735,1575,31,33,2,7,4,366,42,Matches
Yago,br BRA,DF,26.0,13.0,504,103,291,213,5,5,504,3,3,100.0,0,0.0,250,1392,908,7,1,0,0,0,281,1,Matches
Giovanni Augusto,br BRA,MF,29.0,8.6,402,4,38,209,167,14,402,31,25,80.6,6,19.4,275,1841,902,31,25,4,10,14,294,53,Matches
Marcelo Hermes,br BRA,"DF,MF",23.0,8.2,384,19,97,154,139,3,384,11,6,54.5,5,45.5,166,932,420,13,5,1,17,5,177,27,Matches
David Duarte,br BRA,DF,24.0,6.0,264,46,156,94,14,11,264,1,1,100.0,0,0.0,142,701,382,0,1,1,3,0,158,0,Matches
Thalles,br BRA,"MF,FW",21.0,7.0,390,5,40,232,120,7,390,8,5,62.5,3,37.5,196,1166,487,5,5,0,9,6,262,18,Matches
Marlone,br BRA,"MF,FW",26.0,6.6,359,5,24,214,128,8,359,18,12,66.7,6,33.3,222,1798,797,19,20,1,10,6,253,23,Matches
Alan Ruschel,br BRA,"DF,FW",29.0,4.8,200,13,49,94,61,5,200,5,3,60.0,2,40.0,80,539,350,8,5,0,7,1,86,14,Matches
Breno,br BRA,"MF,DF",18.0,4.2,176,7,41,122,20,0,176,9,6,66.7,3,33.3,101,618,248,6,5,0,7,4,106,3,Matches
Rafinha,br BRA,"FW,MF",26.0,3.8,199,1,14,67,123,14,199,37,20,54.1,17,45.9,134,1062,564,18,15,5,7,12,140,36,Matches
Kevin,br BRA,DF,21.0,2.8,157,13,45,77,36,2,157,3,1,33.3,2,66.7,74,333,208,3,1,0,1,0,78,7,Matches
Renatinho,br BRA,"FW,MF",27.0,3.4,161,3,25,84,55,8,161,15,7,46.7,8,53.3,108,686,320,6,11,2,13,0,106,18,Matches
Kaio Nunes,br BRA,"FW,MF",23.0,3.0,146,4,24,50,74,9,146,33,16,48.5,17,51.5,92,969,441,13,10,5,9,4,93,21,Matches
Rafael Elias,br BRA,FW,19.0,1.7,47,3,4,17,26,6,47,1,1,100.0,0,0.0,22,71,40,3,0,1,4,0,32,7,Matches
