Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Tadeu,br BRA,GK,26.0,36.6,0,1,0,0.0,0.03,0.0,0.0,,14.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Michael,br BRA,"FW,MF",22.0,33.6,9,80,32,40.0,2.38,0.95,0.11,0.28,19.9,0,0,0,9.0,9.0,0.11,0.0,0.0,Matches
Leandro Barcia,uy URU,"FW,MF",26.0,30.9,5,43,18,41.9,1.39,0.58,0.12,0.28,13.5,0,0,0,6.4,6.4,0.15,-1.4,-1.4,Matches
Jefferson,br BRA,DF,22.0,29.4,1,16,3,18.8,0.54,0.1,0.06,0.33,25.8,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Léo Sena,br BRA,MF,23.0,27.4,0,15,1,6.7,0.55,0.04,0.0,0.0,29.2,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Rafael Vaz,br BRA,DF,30.0,31.0,5,71,22,31.0,2.29,0.71,0.07,0.23,28.3,27,0,0,2.8,2.8,0.04,2.2,2.2,Matches
Fábio Sanches,br BRA,DF,28.0,25.0,1,11,4,36.4,0.44,0.16,0.09,0.25,10.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
Yago,br BRA,"MF,DF",23.0,24.7,2,27,4,14.8,1.1,0.16,0.07,0.5,23.6,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
Yago Rocha,br BRA,DF,24.0,16.9,0,6,1,16.7,0.35,0.06,0.0,0.0,25.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Rafael Moura,br BRA,FW,35.0,17.7,9,46,12,26.1,2.59,0.68,0.15,0.58,15.0,1,2,2,7.4,5.8,0.13,1.6,1.2,Matches
Gilberto,br BRA,MF,30.0,17.8,1,11,6,54.5,0.62,0.34,0.09,0.17,17.3,0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
Kayke Rodrigues,br BRA,FW,30.0,16.5,6,49,11,22.4,2.96,0.67,0.08,0.36,21.0,3,2,2,5.6,4.0,0.08,0.4,0.0,Matches
Geovane,br BRA,MF,29.0,15.4,0,12,2,16.7,0.78,0.13,0.0,0.0,21.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Daniel Guedes,br BRA,DF,24.0,13.5,0,5,1,20.0,0.37,0.07,0.0,0.0,29.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Yago,br BRA,DF,26.0,13.0,0,1,0,0.0,0.08,0.0,0.0,,9.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Giovanni Augusto,br BRA,MF,29.0,8.6,0,20,6,30.0,2.33,0.7,0.0,0.0,23.6,3,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Marcelo Hermes,br BRA,"DF,MF",23.0,8.2,0,5,0,0.0,0.61,0.0,0.0,,30.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
David Duarte,br BRA,DF,24.0,6.0,0,5,1,20.0,0.83,0.17,0.0,0.0,10.0,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
Thalles,br BRA,"MF,FW",21.0,7.0,1,11,2,18.2,1.56,0.28,0.09,0.5,22.5,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
Marlone,br BRA,"MF,FW",26.0,6.6,2,12,2,16.7,1.82,0.3,0.17,1.0,22.0,1,0,0,1.7,1.7,0.15,0.3,0.3,Matches
Alan Ruschel,br BRA,"DF,FW",29.0,4.8,1,5,2,40.0,1.03,0.41,0.2,0.5,17.1,0,0,0,0.6,0.6,0.13,0.4,0.4,Matches
Breno,br BRA,"MF,DF",18.0,4.2,0,4,1,25.0,0.94,0.24,0.0,0.0,29.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rafinha,br BRA,"FW,MF",26.0,3.8,1,18,5,27.8,4.75,1.32,0.06,0.2,23.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
Kevin,br BRA,DF,21.0,2.8,0,1,0,0.0,0.36,0.0,0.0,,38.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Renatinho,br BRA,"FW,MF",27.0,3.4,0,10,2,20.0,2.98,0.6,0.0,0.0,21.8,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Kaio Nunes,br BRA,"FW,MF",23.0,3.0,0,6,2,33.3,2.03,0.68,0.0,0.0,22.3,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches
Rafael Elias,br BRA,FW,19.0,1.7,0,1,0,0.0,0.6,0.0,0.0,,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Júnior Brandão,br BRA,FW,24.0,1.6,0,6,2,33.3,3.86,1.29,0.0,0.0,11.1,0,0,0,1.2,1.2,0.2,-1.2,-1.2,Matches
Lucão,br BRA,DF,22.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcelo Rangel,br BRA,GK,30.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean Carlos,br BRA,MF,25.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luiz Eduardo da Silva dos Santos,br BRA,"MF,FW",22.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vinícius,br BRA,"FW,MF",19.0,0.7,0,2,0,0.0,3.05,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Filipe Trindade,br BRA,"MF,DF",19.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcinho,br BRA,"FW,MF",23.0,0.5,0,2,0,0.0,4.29,0.0,0.0,,35.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Marcos de Paula Dutra,br BRA,GK,25.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Giovanny,br BRA,FW,21.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Figueira,br BRA,FW,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulo Ricardo,br BRA,MF,24.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.4,38.0,44,502,142,28.3,13.21,3.74,0.08,0.28,21.3,39,4,4,47.2,44.0,0.09,-3.2,-4.0,
Opponent Total,,,27.3,38.0,63,564,203,36.0,14.84,5.34,0.11,0.3,18.4,20,3,6,63.4,58.6,0.11,-0.4,1.4,
