Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-02-11,21:30,Sudamericana,First stage,Tue,Away,L,0,1,py Sol de América,,,69,,Rafael Moura,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,Leg 1 of 2
2020-02-25,21:30,Sudamericana,First stage,Tue,Home,L,0,1,py Sol de América,,,67,,Rafael Moura,4-2-3-1,4-2-3-1,Andrés Cunha,Match Report,Leg 2 of 2; Sol de América won
2020-08-12,19:15,Série A,Matchweek 2,Wed,Away,L,1,2,Ath Paranaense,1.7,2.4,23,,Rafael Vaz,4-4-2,4-3-3,Diego Pombo Lopez,Match Report,
2020-08-15,21:30,Série A,Matchweek 3,Sat,Away,D,1,1,Palmeiras,0.5,0.5,35,,Rafael Vaz,3-4-3,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2020-08-19,20:30,Série A,Matchweek 4,Wed,Home,L,1,3,Fortaleza,1.0,2.0,48,,Rafael Vaz,3-4-3,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
2020-08-22,21:00,Série A,Matchweek 5,Sat,Home,W,2,0,Atl Goianiense,0.6,0.9,34,,Rafael Vaz,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,
2020-09-02,19:15,Série A,Matchweek 7,Wed,Home,L,1,2,Corinthians,1.6,1.2,46,,Rafael Vaz,4-3-3,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,
2020-09-06,20:30,Série A,Matchweek 8,Sun,Away,L,1,2,Sport Recife,0.9,1.2,48,,Rafael Vaz,4-3-3,4-2-3-1,Vinicius Gomes do Amaral,Match Report,
2020-09-09,18:00,Série A,Matchweek 9,Wed,Home,D,3,3,Coritiba,2.0,2.3,54,,Rafael Vaz,4-3-3,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2020-09-13,18:00,Série A,Matchweek 10,Sun,Home,W,1,0,Internacional,0.3,2.5,22,,Rafael Moura,4-1-4-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
