Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Tadeu,br BRA,GK,29.0,38.0,0,0,0,0,13,0,0,2,0,0,0,0,23,18,2,90.0,Matches
Dieguinho,br BRA,"MF,DF",26.0,32.1,4,0,0,34,77,1,87,35,39,1,0,0,204,28,26,51.9,Matches
Pedro Raul,br BRA,FW,25.0,30.5,8,0,0,49,32,20,7,4,9,0,0,0,61,98,135,42.1,Matches
Reynaldo Cesar Moraes,br BRA,DF,25.0,30.5,4,0,0,34,8,0,2,40,26,0,0,0,94,62,28,68.9,Matches
Adailson Dadá,br BRA,"MF,FW",24.0,27.9,10,1,1,52,71,3,105,15,22,0,0,0,132,7,27,20.6,Matches
Caetano,br BRA,DF,22.0,24.6,1,0,0,25,10,0,4,37,19,0,2,0,90,23,26,46.9,Matches
Vinícius,br BRA,"MF,FW",28.0,21.7,1,0,0,19,19,6,59,14,14,0,0,0,80,16,17,48.5,Matches
Maguinho,br BRA,"DF,MF",29.0,21.6,10,0,0,43,21,2,41,34,26,1,1,0,114,25,32,43.9,Matches
Matheus Sales,br BRA,"MF,DF",26.0,19.9,5,0,0,25,12,0,13,16,24,0,1,0,76,16,23,41.0,Matches
Auremir,br BRA,MF,30.0,16.4,5,0,0,32,18,0,3,26,29,0,0,0,82,27,20,57.4,Matches
Caio Vinícius,br BRA,MF,23.0,17.3,7,1,0,43,28,2,4,30,23,0,1,0,87,24,27,47.1,Matches
Lucas Halter,br BRA,DF,21.0,11.9,2,0,0,7,1,1,2,9,7,0,0,0,38,16,14,53.3,Matches
Savio,br BRA,DF,26.0,9.4,6,1,1,7,9,0,54,6,12,0,0,0,55,8,10,44.4,Matches
Elvis Vieira Araújo,br BRA,"MF,FW",31.0,9.4,4,0,0,13,14,0,71,6,4,0,0,0,62,6,3,66.7,Matches
Danilo Barcelos,br BRA,"DF,MF",30.0,11.4,8,0,0,29,9,1,56,11,17,0,0,0,40,38,35,52.1,Matches
Apodi,br BRA,"MF,FW",35.0,10.1,3,0,0,21,17,2,12,4,5,1,0,0,38,17,24,41.5,Matches
Marquinhos Gabriel,br BRA,"MF,FW",31.0,8.4,1,0,0,6,17,3,20,1,6,0,0,0,37,5,7,41.7,Matches
Fellipe Bastos,br BRA,MF,31.0,9.6,10,1,0,22,14,0,35,11,11,0,1,0,81,10,8,55.6,Matches
Luan Dias,br BRA,"MF,FW",24.0,8.6,7,0,0,21,15,1,19,9,12,0,0,0,50,5,4,55.6,Matches
Hugo,br BRA,"DF,MF",24.0,7.8,3,0,0,11,6,1,22,11,11,0,0,0,49,17,10,63.0,Matches
Yan Souto,br BRA,DF,20.0,6.8,3,0,0,13,2,0,1,11,4,0,3,0,39,16,10,61.5,Matches
Nicolas,br BRA,"FW,MF",32.0,11.1,0,0,0,25,23,10,2,4,3,0,0,0,31,77,71,52.0,Matches
Da Silva,br BRA,DF,20.0,6.3,3,0,0,4,1,0,0,7,3,0,0,0,16,20,7,74.1,Matches
Sidimar,br BRA,DF,29.0,5.0,0,0,0,2,4,0,0,8,4,0,0,0,11,20,6,76.9,Matches
Sidnei,br BRA,DF,32.0,3.3,1,0,0,1,2,0,0,7,3,0,0,0,16,5,5,50.0,Matches
Renato Junior,br BRA,"FW,MF",19.0,5.5,3,0,0,13,10,1,4,2,4,0,0,0,27,14,20,41.2,Matches
Juan Pablo,br BRA,"DF,MF",19.0,1.9,0,0,0,6,0,0,2,2,2,0,0,0,10,3,2,60.0,Matches
Henrique Lordelo,br BRA,"MF,DF",21.0,1.4,2,1,1,9,1,0,0,2,4,0,0,0,13,2,1,66.7,Matches
Danilo Cardoso,br BRA,DF,24.0,2.6,0,0,0,3,1,0,0,2,0,0,0,0,6,4,4,50.0,Matches
Douglas Pelé,br BRA,"FW,DF",22.0,1.0,0,0,0,0,2,0,3,1,2,0,0,0,3,0,4,0.0,Matches
Matheusinho,br BRA,MF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Pedrinho Junqueira,br BRA,"MF,FW",17.0,3.6,1,0,0,4,6,1,11,2,7,0,0,0,20,1,9,10.0,Matches
Luan,br BRA,MF,31.0,0.5,1,0,0,1,0,0,1,0,1,0,0,0,7,0,0,,Matches
Luiz Filipe,br BRA,"MF,FW",20.0,0.4,1,0,0,1,2,0,1,0,1,1,0,0,2,0,0,,Matches
Nathan Melo,br BRA,MF,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Vitor Hugo,br BRA,FW,17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.8,38.0,114,5,3,575,465,55,641,369,354,4,9,0,1694,629,617,50.5,
Opponent Total,,,27.3,38.0,80,7,2,493,535,54,931,313,318,3,6,0,1838,617,629,49.5,
