Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Tadeu,br BRA,GK,29.0,38.0,1316,798,515,132,0,5,0,0,0,0,0,0,868,3,1,Matches
Dieguinho,br BRA,"MF,DF",26.0,32.1,1116,931,183,15,0,4,87,160,0,0,0,0,825,2,27,Matches
Pedro Raul,br BRA,FW,25.0,30.5,474,445,25,0,1,1,7,1,0,0,0,0,302,4,14,Matches
Reynaldo Cesar Moraes,br BRA,DF,25.0,30.5,843,824,16,16,0,5,2,0,0,0,0,0,701,3,7,Matches
Adailson Dadá,br BRA,"MF,FW",24.0,27.9,681,578,100,31,2,12,105,47,22,10,9,0,445,3,37,Matches
Caetano,br BRA,DF,22.0,24.6,888,819,67,32,0,11,4,31,0,0,0,0,729,2,4,Matches
Vinícius,br BRA,"MF,FW",28.0,21.7,573,550,15,0,2,6,59,10,0,0,0,0,367,8,31,Matches
Maguinho,br BRA,"DF,MF",29.0,21.6,737,566,171,8,1,4,41,163,0,0,0,0,523,0,24,Matches
Matheus Sales,br BRA,"MF,DF",26.0,19.9,504,494,9,7,0,2,13,1,0,0,0,0,393,1,13,Matches
Auremir,br BRA,MF,30.0,16.4,559,541,15,13,1,3,3,1,0,0,0,0,441,3,9,Matches
Caio Vinícius,br BRA,MF,23.0,17.3,495,474,20,9,0,1,4,4,0,0,0,0,399,1,10,Matches
Lucas Halter,br BRA,DF,21.0,11.9,408,387,20,18,1,1,2,1,0,0,0,0,325,1,5,Matches
Savio,br BRA,DF,26.0,9.4,461,313,146,35,0,5,54,95,16,5,8,0,311,2,15,Matches
Elvis Vieira Araújo,br BRA,"MF,FW",31.0,9.4,551,449,97,49,3,9,71,4,36,17,17,0,404,5,9,Matches
Danilo Barcelos,br BRA,"DF,MF",30.0,11.4,460,320,139,18,0,3,56,103,18,6,12,0,299,1,6,Matches
Apodi,br BRA,"MF,FW",35.0,10.1,146,134,11,0,0,1,12,7,0,0,0,0,99,1,2,Matches
Marquinhos Gabriel,br BRA,"MF,FW",31.0,8.4,238,194,42,22,0,3,20,5,9,1,5,0,181,2,5,Matches
Fellipe Bastos,br BRA,MF,31.0,9.6,588,502,83,60,0,5,35,0,19,11,8,0,465,3,4,Matches
Luan Dias,br BRA,"MF,FW",24.0,8.6,306,283,19,5,1,1,19,1,7,4,2,0,242,4,15,Matches
Hugo,br BRA,"DF,MF",24.0,7.8,368,291,77,9,0,0,22,64,4,2,2,0,255,0,6,Matches
Yan Souto,br BRA,DF,20.0,6.8,229,224,4,4,0,3,1,0,0,0,0,0,164,1,0,Matches
Nicolas,br BRA,"FW,MF",32.0,11.1,290,276,12,1,1,2,2,1,0,0,0,0,183,2,7,Matches
Da Silva,br BRA,DF,20.0,6.3,226,220,4,3,0,6,0,1,0,0,0,0,186,2,1,Matches
Sidimar,br BRA,DF,29.0,5.0,108,97,11,10,0,1,0,0,0,0,0,0,94,0,0,Matches
Sidnei,br BRA,DF,32.0,3.3,72,66,6,5,0,0,0,1,0,0,0,0,58,0,1,Matches
Renato Junior,br BRA,"FW,MF",19.0,5.5,106,98,8,0,1,0,4,0,0,0,0,0,71,0,5,Matches
Juan Pablo,br BRA,"DF,MF",19.0,1.9,70,48,22,2,0,0,2,20,0,0,0,0,50,0,2,Matches
Henrique Lordelo,br BRA,"MF,DF",21.0,1.4,50,45,4,2,0,0,0,2,0,0,0,0,39,1,1,Matches
Danilo Cardoso,br BRA,DF,24.0,2.6,51,50,1,1,0,0,0,0,0,0,0,0,42,0,0,Matches
Douglas Pelé,br BRA,"FW,DF",22.0,1.0,18,15,3,1,0,0,3,1,1,0,1,0,13,0,2,Matches
Matheusinho,br BRA,MF,23.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Pedrinho Junqueira,br BRA,"MF,FW",17.0,3.6,105,98,7,2,0,0,11,4,0,0,0,0,76,0,4,Matches
Luan,br BRA,MF,31.0,0.5,26,26,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches
Luiz Filipe,br BRA,"MF,FW",20.0,0.4,8,7,1,0,0,0,1,1,0,0,0,0,4,0,1,Matches
Nathan Melo,br BRA,MF,20.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Vitor Hugo,br BRA,FW,17.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.8,38.0,13078,11170,1853,510,14,94,641,729,132,56,64,0,9579,55,268,
Opponent Total,,,27.3,38.0,19714,17633,2027,591,35,191,931,841,245,80,120,1,15993,54,312,
