Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tadeu,br BRA,GK,29.0,38.0,868,1316,66.0,30835,23020,93,94,98.9,341,344,99.1,423,863,49.0,0,0.0,0.1,0.0,2,47,3,0,0,Matches
Dieguinho,br BRA,"MF,DF",26.0,32.1,825,1116,73.9,14838,5670,364,426,85.4,357,455,78.5,89,178,50.0,5,1.6,2.4,3.4,24,80,34,20,110,Matches
Pedro Raul,br BRA,FW,25.0,30.5,302,474,63.7,4021,879,190,260,73.1,80,130,61.5,13,22,59.1,2,1.8,1.4,0.2,25,29,8,0,42,Matches
Reynaldo Cesar Moraes,br BRA,DF,25.0,30.5,701,843,83.2,13785,5400,232,254,91.3,389,429,90.7,76,139,54.7,0,0.2,0.5,-0.2,3,22,0,0,34,Matches
Adailson Dadá,br BRA,"MF,FW",24.0,27.9,445,681,65.3,7420,2679,245,291,84.2,144,211,68.2,44,115,38.3,6,3.4,3.3,2.6,36,45,15,9,56,Matches
Caetano,br BRA,DF,22.0,24.6,729,888,82.1,15764,6464,195,217,89.9,389,430,90.5,134,218,61.5,0,0.2,0.2,-0.2,8,40,3,0,55,Matches
Vinícius,br BRA,"MF,FW",28.0,21.7,367,573,64.0,6274,2002,164,229,71.6,140,200,70.0,44,77,57.1,4,3.5,3.7,0.5,41,43,29,10,57,Matches
Maguinho,br BRA,"DF,MF",29.0,21.6,523,737,71.0,8244,3713,284,323,87.9,183,268,68.3,44,100,44.0,0,0.7,1.6,-0.7,12,36,18,9,46,Matches
Matheus Sales,br BRA,"MF,DF",26.0,19.9,393,504,78.0,6223,1414,184,215,85.6,176,207,85.0,19,47,40.4,0,0.2,0.3,-0.2,7,28,7,2,46,Matches
