Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Tadeu,br BRA,GK,29.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0,1.21,40.0,53.0,-13.0,-0.34,,34.6,61.6,-27.0,-0.71,,Matches
Dieguinho,br BRA,"MF,DF",26.0,34.0,2893.0,85.0,84.6,32.1,34.0,85.0,22.0,0.0,,0,1.12,32.0,44.0,-12.0,-0.37,-0.2,27.6,52.2,-24.6,-0.77,-0.36,Matches
Pedro Raul,br BRA,FW,25.0,34.0,2745.0,81.0,80.3,30.5,33.0,82.0,17.0,1.0,26.0,0,1.32,38.0,37.0,1.0,0.03,1.9,30.5,48.0,-17.4,-0.57,0.71,Matches
Reynaldo Cesar Moraes,br BRA,DF,25.0,32.0,2745.0,86.0,80.3,30.5,32.0,86.0,27.0,0.0,,0,1.19,31.0,43.0,-12.0,-0.39,-0.26,27.5,48.6,-21.0,-0.69,0.11,Matches
Adailson Dadá,br BRA,"MF,FW",24.0,33.0,2508.0,76.0,73.3,27.9,30.0,80.0,13.0,3.0,36.0,0,1.33,26.0,36.0,-10.0,-0.36,-0.06,23.4,44.3,-20.9,-0.75,-0.14,Matches
Caetano,br BRA,DF,22.0,26.0,2211.0,85.0,64.6,24.6,26.0,85.0,22.0,0.0,,1,1.54,29.0,30.0,-1.0,-0.04,0.85,21.8,40.6,-18.8,-0.76,-0.15,Matches
Vinícius,br BRA,"MF,FW",28.0,25.0,1949.0,78.0,57.0,21.7,22.0,82.0,11.0,3.0,51.0,0,1.44,24.0,27.0,-3.0,-0.14,0.47,17.2,32.9,-15.7,-0.72,-0.03,Matches
Maguinho,br BRA,"DF,MF",29.0,31.0,1941.0,63.0,56.8,21.6,22.0,83.0,18.0,9.0,13.0,2,1.13,19.0,32.0,-13.0,-0.6,-0.6,18.1,35.2,-17.0,-0.79,-0.18,Matches
Matheus Sales,br BRA,"MF,DF",26.0,31.0,1794.0,58.0,52.5,19.9,21.0,73.0,7.0,10.0,27.0,4,1.32,18.0,28.0,-10.0,-0.5,-0.34,17.4,34.0,-16.6,-0.84,-0.26,Matches
Auremir,br BRA,MF,30.0,25.0,1480.0,59.0,43.3,16.4,19.0,73.0,3.0,6.0,14.0,10,1.28,15.0,20.0,-5.0,-0.3,0.07,11.4,25.6,-14.2,-0.87,-0.28,Matches
