Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marcelo Grohe,br BRA,GK,29.0,28,28,2475.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas dos Santos,br BRA,MF,33.0,29,28,2334.0,25.9,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,0.15,0.15,0.31,0.15,0.31,Matches
Pedro Geromel,br BRA,DF,30.0,26,26,2309.0,25.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Marcelo Oliveira,br BRA,"DF,MF",28.0,26,26,2286.0,25.4,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Edílson Mendes,br BRA,DF,29.0,26,26,2282.0,25.4,1.0,2.0,3.0,1.0,0.0,0.0,9.0,2.0,0.04,0.08,0.12,0.04,0.12,Matches
Luan Vieira,br BRA,"FW,MF",22.0,25,25,2185.0,24.3,6.0,3.0,9.0,5.0,1.0,1.0,7.0,0.0,0.25,0.12,0.37,0.21,0.33,Matches
Walace,br BRA,MF,20.0,24,24,2075.0,23.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches
Jailson Siqueira,br BRA,"DF,MF",20.0,29,22,2092.0,23.2,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
Maicon Souza,br BRA,MF,30.0,21,20,1739.0,19.3,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Everton Soares,br BRA,"FW,MF",19.0,27,19,1745.0,19.4,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.15,0.1,0.26,0.15,0.26,Matches
Wallace Reis,br BRA,DF,28.0,18,17,1464.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuliano de Paula,br BRA,"FW,MF",25.0,15,15,1305.0,14.5,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.28,0.14,0.41,0.28,0.41,Matches
Pedro Rocha Neves,br BRA,"FW,MF",21.0,22,15,1255.0,13.9,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.22,0.14,0.36,0.22,0.36,Matches
