Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Arthur Melo,br BRA,MF,20.0,24.2,3,0,0,20,63,0,8,28,36,0,0,0,Matches
Ramiro Benetti,br BRA,"DF,MF",23.0,24.7,4,0,0,45,39,5,52,40,30,1,0,0,Matches
Bruno Cortez,br BRA,DF,29.0,23.2,3,0,0,32,27,3,52,32,25,0,1,0,Matches
Marcelo Grohe,br BRA,GK,30.0,22.8,3,1,1,0,2,0,0,2,0,0,0,0,Matches
Walter Kannemann,ar ARG,DF,25.0,22.7,7,0,0,28,20,4,3,65,32,0,0,0,Matches
Michel,br BRA,"DF,MF",26.0,22.1,7,0,0,48,25,3,3,65,42,0,0,0,Matches
Fernandinho,br BRA,"FW,MF",31.0,22.2,3,0,0,38,81,6,61,5,20,1,0,0,Matches
Pedro Geromel,br BRA,DF,31.0,20.0,4,0,0,13,15,1,10,66,21,2,0,0,Matches
Luan Vieira,br BRA,"FW,MF",23.0,19.7,2,0,0,27,43,5,107,5,19,0,0,0,Matches
Edílson Mendes,br BRA,DF,30.0,18.9,6,1,1,34,16,1,89,35,22,0,1,0,Matches
Lucas Barrios,py PAR,FW,32.0,13.8,4,0,0,22,22,11,1,4,9,0,0,0,Matches
Pedro Rocha Neves,br BRA,"FW,MF",22.0,12.9,0,0,0,16,16,5,17,11,9,0,0,0,Matches
Everton Soares,br BRA,"FW,MF",20.0,17.6,1,0,0,25,30,1,19,11,22,0,0,0,Matches
Bressan,br BRA,DF,24.0,13.0,5,0,0,15,9,2,0,35,9,0,0,1,Matches
Léo Moura,br BRA,"DF,MF",38.0,12.7,0,0,0,9,24,7,56,16,18,0,0,0,Matches
Rafael Thyere,br BRA,DF,23.0,12.4,1,0,0,12,8,0,0,25,18,0,0,1,Matches
Jailson Siqueira,br BRA,"DF,MF",21.0,11.1,2,0,0,23,10,0,0,13,11,0,0,0,Matches
Paulo Victor Vidotti,br BRA,GK,30.0,10.0,1,0,0,0,2,0,0,0,0,0,0,0,Matches
Marcelo Oliveira,br BRA,"DF,MF",29.0,9.7,2,0,0,13,8,1,13,11,15,0,0,0,Matches
Kaio Mendes,br BRA,MF,21.0,7.8,2,0,0,20,30,1,21,11,11,0,0,0,Matches
Leonardo Gomes,br BRA,DF,20.0,7.5,1,0,0,13,5,0,18,15,11,0,0,0,Matches
Jael Ferreira,br BRA,FW,28.0,7.3,3,0,0,16,16,7,1,4,2,0,0,0,Matches
Bruno Rodrigo,br BRA,DF,31.0,6.3,1,0,0,5,3,0,0,17,5,0,1,0,Matches
Maicon Souza,br BRA,MF,31.0,5.9,3,0,0,11,8,0,1,8,8,0,0,0,Matches
Cristian Baroni,br BRA,MF,33.0,4.0,0,0,0,2,2,0,7,7,6,0,0,0,Matches
Patrick,br BRA,MF,18.0,4.8,0,0,0,8,8,0,8,3,2,0,0,0,Matches
Conrado,br BRA,"DF,MF",19.0,4.3,0,0,0,4,9,2,8,14,8,0,0,0,Matches
Léo Jardim,br BRA,GK,21.0,4.2,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Machado,br BRA,MF,21.0,4.1,1,0,0,4,3,0,22,15,8,0,0,0,Matches
Michael Arroyo,ec ECU,"FW,MF",29.0,3.5,1,0,0,4,2,5,20,0,4,0,0,0,Matches
Lincoln,br BRA,MF,18.0,3.6,0,0,0,6,15,0,17,3,3,0,0,0,Matches
Dionathã da Silva,br BRA,FW,19.0,3.5,1,0,0,5,15,1,8,4,7,0,0,0,Matches
Jean Pyerre,br BRA,MF,18.0,2.5,0,0,0,3,6,1,6,4,3,0,0,0,Matches
Beto da Silva,pe PER,"FW,MF",20.0,3.2,1,0,0,10,7,4,3,1,6,0,0,0,Matches
Pepê,br BRA,"DF,FW",19.0,1.4,0,0,0,3,3,0,3,3,2,1,0,0,Matches
Matheus Batista,br BRA,FW,21.0,1.2,0,0,0,3,2,0,1,0,0,0,0,0,Matches
Lucas Poletto,br BRA,FW,21.0,1.2,0,0,0,7,3,0,3,0,1,0,0,0,Matches
Nicolas Careca,br BRA,FW,19.0,1.1,0,0,0,3,2,1,0,0,1,0,0,0,Matches
Felipe Albuquerque,br BRA,DF,17.0,1.0,0,0,0,2,0,0,0,2,1,0,0,0,Matches
Balbino,br BRA,FW,20.0,1.0,0,0,0,2,0,0,0,3,0,0,0,0,Matches
Emanuel,br BRA,DF,17.0,1.0,0,0,0,3,0,0,0,1,1,0,0,0,Matches
Bruno Grassi,br BRA,GK,29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Miller Bolaños,ec ECU,"FW,MF",26.0,0.9,0,0,0,2,1,0,1,0,0,0,0,0,Matches
Ruan,br BRA,DF,17.0,0.8,0,0,0,0,1,0,0,1,0,0,0,0,Matches
Gastón Fernández,ar ARG,"FW,MF",33.0,0.4,0,0,0,0,1,0,0,0,2,0,0,0,Matches
Lima,br BRA,"FW,MF",20.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Ericson,br BRA,DF,17.0,0.2,0,0,0,1,1,0,0,0,0,0,0,0,Matches
Matheus Henrique,br BRA,MF,19.0,0.2,0,0,0,0,1,0,0,3,0,0,0,0,Matches
Vico,br BRA,MF,18.0,0.1,0,0,0,0,1,0,0,2,0,0,0,0,Matches
Squad Total,,,26.4,38.0,72,2,2,557,607,77,639,590,450,5,3,2,
Opponent Total,,,26.8,38.0,113,5,3,640,517,28,688,590,499,2,8,0,
