Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Arthur Melo,br BRA,MF,20.0,27,2179.0,81.0,63.7,24.2,27,81.0,14.0,0,,0,2.04,36.0,16.0,20.0,0.83,0.9,Matches
Ramiro Benetti,br BRA,"DF,MF",23.0,26,2225.0,86.0,65.1,24.7,26,86.0,19.0,0,,0,2.04,39.0,17.0,22.0,0.89,1.12,Matches
Bruno Cortez,br BRA,DF,29.0,24,2089.0,87.0,61.1,23.2,23,90.0,23.0,1,18.0,2,2.04,36.0,16.0,20.0,0.86,0.93,Matches
Marcelo Grohe,br BRA,GK,30.0,23,2054.0,89.0,60.1,22.8,23,89.0,22.0,0,,0,2.13,38.0,14.0,24.0,1.05,1.38,Matches
Walter Kannemann,ar ARG,DF,25.0,23,2041.0,89.0,59.7,22.7,23,89.0,22.0,0,,1,1.91,36.0,16.0,20.0,0.88,0.95,Matches
Michel,br BRA,"DF,MF",26.0,23,1988.0,86.0,58.1,22.1,22,90.0,22.0,1,7.0,2,1.96,38.0,20.0,18.0,0.81,0.75,Matches
Fernandinho,br BRA,"FW,MF",31.0,28,2000.0,71.0,58.5,22.2,21,87.0,15.0,7,24.0,4,1.61,25.0,15.0,10.0,0.45,-0.12,Matches
Pedro Geromel,br BRA,DF,31.0,20,1800.0,90.0,52.6,20.0,20,90.0,20.0,0,,1,2.05,27.0,12.0,15.0,0.75,0.53,Matches
Luan Vieira,br BRA,"FW,MF",23.0,20,1770.0,89.0,51.8,19.7,20,89.0,16.0,0,,1,2.05,34.0,17.0,17.0,0.86,0.76,Matches
Edílson Mendes,br BRA,DF,30.0,21,1697.0,81.0,49.6,18.9,19,89.0,16.0,2,8.0,0,1.9,29.0,14.0,15.0,0.8,0.59,Matches
Lucas Barrios,py PAR,FW,32.0,17,1242.0,73.0,36.3,13.8,16,76.0,3.0,1,19.0,0,1.88,16.0,9.0,7.0,0.51,0.01,Matches
Pedro Rocha Neves,br BRA,"FW,MF",22.0,15,1158.0,77.0,33.9,12.9,15,77.0,3.0,0,,0,2.4,24.0,10.0,14.0,1.09,0.89,Matches
