Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bruno Cortez,br BRA,DF,30.0,26,2325.0,89.0,68.0,25.8,26,89.0,25.0,0,,0,2.04,33.0,11.0,22.0,0.85,0.93,Matches
Everton Soares,br BRA,"FW,MF",21.0,27,2129.0,79.0,62.3,23.7,24,86.0,18.0,3,20.0,0,2.15,32.0,13.0,19.0,0.8,0.66,Matches
Ramiro Benetti,br BRA,"DF,MF",24.0,21,1773.0,84.0,51.8,19.7,21,84.0,17.0,0,,3,1.9,23.0,10.0,13.0,0.66,0.22,Matches
Cícero Santos,br BRA,MF,33.0,24,1822.0,76.0,53.3,20.2,20,88.0,18.0,4,16.0,8,1.71,22.0,14.0,8.0,0.4,-0.34,Matches
Pedro Geromel,br BRA,DF,32.0,20,1800.0,90.0,52.6,20.0,20,90.0,20.0,0,,1,1.7,26.0,15.0,11.0,0.55,-0.01,Matches
Bressan,br BRA,DF,25.0,21,1746.0,83.0,51.1,19.4,20,87.0,18.0,1,14.0,7,1.33,14.0,16.0,-2.0,-0.1,-1.34,Matches
Maicon Souza,br BRA,MF,32.0,21,1517.0,72.0,44.4,16.9,20,74.0,8.0,1,28.0,2,2.05,21.0,10.0,11.0,0.65,0.18,Matches
Paulo Victor Vidotti,br BRA,GK,31.0,20,1755.0,88.0,51.3,19.5,19,90.0,19.0,1,45.0,16,1.57,30.0,20.0,10.0,0.51,-0.08,Matches
André,br BRA,FW,27.0,24,1495.0,62.0,43.7,16.6,19,75.0,5.0,5,14.0,4,1.5,14.0,9.0,5.0,0.3,-0.45,Matches
Walter Kannemann,ar ARG,DF,26.0,18,1602.0,89.0,46.8,17.8,18,89.0,17.0,0,,0,2.0,27.0,13.0,14.0,0.79,0.44,Matches
Marcelo Grohe,br BRA,GK,31.0,18,1575.0,88.0,46.1,17.5,18,88.0,17.0,0,,1,1.72,17.0,9.0,8.0,0.46,-0.18,Matches
Luan Vieira,br BRA,"FW,MF",24.0,18,1566.0,87.0,45.8,17.4,18,87.0,13.0,0,,0,1.5,22.0,13.0,9.0,0.52,-0.07,Matches
Léo Moura,br BRA,"DF,MF",39.0,18,1402.0,78.0,41.0,15.6,18,78.0,9.0,0,,1,2.11,22.0,7.0,15.0,0.96,0.7,Matches
Leonardo Gomes,br BRA,DF,21.0,13,1162.0,89.0,34.0,12.9,13,89.0,12.0,0,,16,1.77,16.0,11.0,5.0,0.39,-0.25,Matches
Paulo Miranda,br BRA,DF,29.0,13,1096.0,84.0,32.0,12.2,13,84.0,12.0,0,,19,1.92,17.0,7.0,10.0,0.82,0.4,Matches
Marcelo Oliveira,br BRA,"DF,MF",30.0,14,1080.0,77.0,31.6,12.0,13,82.0,10.0,1,14.0,15,1.43,17.0,15.0,2.0,0.17,-0.56,Matches
Alisson,br BRA,"FW,MF",24.0,22,1413.0,64.0,41.3,15.7,12,90.0,11.0,10,33.0,3,1.68,17.0,12.0,5.0,0.32,-0.4,Matches
