Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-02-27,19:15,Libertadores,Group stage,Tue,Away,D,1,1,uy Defensor,78,,Maicon Souza,4-2-3-1,3-4-3,Fernando Rapallini,Match Report,
2018-04-04,19:15,Libertadores,Group stage,Wed,Home,W,4,0,ve Monagas,68,,Maicon Souza,4-2-3-1,4-1-4-1,Carlos Orbe,Match Report,
2018-04-14,16:00,Série A,Matchweek 1,Sat,Away,W,1,0,Cruzeiro,59,19285.0,Maicon Souza,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2018-04-17,20:30,Libertadores,Group stage,Tue,Away,D,0,0,py Cerro Porteño,48,,Pedro Geromel,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,
2018-04-22,19:00,Série A,Matchweek 2,Sun,Home,D,0,0,Ath Paranaense,49,22049.0,Maicon Souza,4-2-3-1,3-4-3,Raphael Claus,Match Report,
2018-04-28,16:00,Série A,Matchweek 3,Sat,Away,L,1,2,Botafogo (RJ),45,10748.0,Marcelo Oliveira,4-2-3-1,4-1-4-1,Vinicius Gonçalves Dias Araujo,Match Report,
2018-05-01,19:15,Libertadores,Group stage,Tue,Home,W,5,0,py Cerro Porteño,58,,Maicon Souza,4-2-3-1,4-2-3-1,Patricio Loustau,Match Report,
2018-05-06,19:00,Série A,Matchweek 4,Sun,Home,W,5,1,Santos,64,25779.0,Maicon Souza,4-2-3-1,4-3-3,Péricles Bassols Pegado Cortez,Match Report,
2018-05-12,16:00,Série A,Matchweek 5,Sat,Home,D,0,0,Internacional,77,48035.0,Pedro Geromel,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,
2018-05-15,20:30,Libertadores,Group stage,Tue,Away,W,2,1,ve Monagas,59,,Pedro Geromel,4-2-3-1,4-3-3,Fernando Rapallini,Match Report,
2018-05-20,16:00,Série A,Matchweek 6,Sun,Away,D,0,0,Paraná,74,7776.0,Maicon Souza,4-2-3-1,4-1-4-1,Rodrigo Batista Raposo,Match Report,
2018-05-23,19:15,Libertadores,Group stage,Wed,Home,W,1,0,uy Defensor,85,,Maicon Souza,4-2-3-1,3-5-1-1,Nicolás Gallo,Match Report,
2018-05-27,19:00,Série A,Matchweek 7,Sun,Away,W,1,0,Ceará,60,14995.0,Maicon Souza,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2018-05-30,21:45,Série A,Matchweek 8,Wed,Home,D,0,0,Fluminense,69,18149.0,Maicon Souza,4-2-3-1,5-4-1,Luiz Flávio de Oliveira,Match Report,
2018-06-03,16:00,Série A,Matchweek 9,Sun,Away,W,2,0,Bahia,43,15623.0,Maicon Souza,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2018-06-06,21:45,Série A,Matchweek 10,Wed,Home,L,0,2,Palmeiras,52,26556.0,Maicon Souza,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,
