Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Paulo Victor Vidotti,br BRA,GK,32.0,28.0,557,324,233,47,0,0,0,0,0,0,0,0,354,0,0,Matches
Everton Soares,br BRA,"FW,MF",22.0,25.4,827,808,16,6,7,3,30,3,6,6,0,0,660,3,19,Matches
Diego Tardelli,br BRA,FW,33.0,21.6,973,920,53,8,4,10,17,15,6,2,1,0,820,0,15,Matches
Alisson,br BRA,FW,25.0,19.2,1119,966,148,38,5,5,138,31,78,25,39,0,877,5,24,Matches
Bruno Cortez,br BRA,DF,31.0,20.1,1045,902,142,13,1,2,57,129,0,0,0,0,853,1,22,Matches
Matheus Henrique,br BRA,MF,21.0,19.6,1509,1460,46,29,4,23,8,15,2,1,0,0,1372,3,17,Matches
Pedro Geromel,br BRA,DF,33.0,19.6,981,947,33,28,0,3,10,5,0,0,0,0,834,1,0,Matches
Michel,br BRA,"MF,DF",28.0,18.9,1237,1204,31,29,2,7,2,2,0,0,0,0,1100,2,11,Matches
David Braz,br BRA,DF,31.0,17.4,1029,989,40,36,1,3,2,4,0,0,0,0,903,0,3,Matches
Walter Kannemann,ar ARG,DF,27.0,17.0,746,724,22,16,0,5,1,6,0,0,0,0,634,0,3,Matches
Léo Moura,br BRA,DF,40.0,16.4,1233,1095,137,16,0,6,46,118,3,0,1,0,1070,1,18,Matches
Juninho Capixaba,br BRA,DF,21.0,16.3,998,831,166,21,0,3,68,141,4,0,3,0,785,1,34,Matches
Luciano,br BRA,"FW,MF",25.0,13.7,496,470,24,7,3,5,11,3,6,2,3,0,392,2,11,Matches
Luan Vieira,br BRA,MF,25.0,14.6,821,730,90,20,7,6,68,8,58,28,19,0,655,1,14,Matches
Rafael Galhardo,br BRA,"DF,FW",27.0,13.0,743,619,124,24,0,3,54,89,11,4,4,0,613,0,18,Matches
Maicon Souza,br BRA,MF,33.0,12.9,1426,1375,48,39,3,17,9,5,4,1,2,0,1314,3,10,Matches
Pepê,br BRA,"FW,MF",21.0,18.8,630,589,36,4,2,0,26,20,11,9,2,0,509,5,20,Matches
Thaciano,br BRA,"MF,FW",23.0,14.7,618,611,7,7,2,5,8,0,0,0,0,0,535,0,6,Matches
Rômulo,br BRA,MF,28.0,10.8,671,657,13,9,0,0,2,4,0,0,0,0,606,1,5,Matches
Paulo Miranda,br BRA,DF,30.0,10.5,605,579,25,18,0,2,3,7,0,0,0,0,526,1,1,Matches
André,br BRA,FW,28.0,9.9,235,204,29,1,0,1,4,1,0,0,0,0,181,2,5,Matches
Jean Pyerre,br BRA,MF,20.0,9.0,686,641,38,14,6,10,31,4,20,8,10,0,610,7,3,Matches
Leonardo Gomes,br BRA,DF,22.0,9.0,616,546,67,4,0,2,19,63,0,0,0,0,520,3,9,Matches
Júlio César,br BRA,GK,32.0,8.0,172,101,71,6,0,0,0,0,0,0,0,0,91,0,0,Matches
Rodrigues,br BRA,DF,21.0,6.7,332,320,12,7,0,0,0,5,0,0,0,0,291,0,2,Matches
Darlan Mendes,br BRA,MF,20.0,6.7,492,480,10,10,3,2,3,0,0,0,0,0,442,2,3,Matches
Felipe Vizeu,br BRA,FW,21.0,4.3,117,109,7,0,0,1,1,1,0,0,0,0,88,1,5,Matches
Walter Montoya,ar ARG,FW,25.0,2.4,129,122,7,4,1,2,9,0,3,1,2,0,105,0,3,Matches
Phelipe Megiolaro,br BRA,GK,19.0,2.0,36,17,19,4,0,0,0,0,0,0,0,0,22,0,0,Matches
Patrick,br BRA,"MF,FW",20.0,3.9,166,150,16,4,6,1,11,4,8,2,5,0,141,0,6,Matches
Ferreira,br BRA,"FW,MF",21.0,1.7,52,48,3,1,0,0,7,0,2,1,0,0,37,1,1,Matches
Isaque,br BRA,"FW,MF",21.0,1.1,42,37,4,0,1,0,1,0,0,0,0,0,31,1,2,Matches
Felipe Albuquerque,br BRA,DF,19.0,1.0,45,35,10,1,0,0,1,9,0,0,0,0,33,0,1,Matches
Ruan,br BRA,DF,19.0,1.0,30,28,2,2,0,0,0,0,0,0,0,0,25,0,1,Matches
Matheus Frizzo,br BRA,MF,20.0,0.9,51,45,6,5,0,0,4,0,1,1,0,0,44,0,0,Matches
Marinho,br BRA,"MF,FW",28.0,0.5,23,19,4,2,0,0,1,1,1,0,0,0,16,0,0,Matches
Gui Azevedo,br BRA,FW,17.0,0.3,8,8,0,0,0,0,1,0,0,0,0,0,7,0,0,Matches
Da Silva,br BRA,FW,19.0,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Emanuel,br BRA,DF,19.0,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Jhonata Robert,br BRA,MF,19.0,0.1,5,3,2,1,0,0,2,0,1,1,0,0,2,0,0,Matches
Squad Total,,,27.6,38.0,21513,19724,1742,481,58,127,655,693,225,92,91,0,18106,47,292,
Opponent Total,,,27.6,38.0,16544,14845,1686,486,16,82,602,646,178,65,102,3,13258,13,246,
