Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Paulo Victor Vidotti,br BRA,GK,32.0,28.0,608,529,605,3,0,0,608,1,1,100.0,0,0.0,274,1980,1570,0,0,0,1,0,158,0,Matches
Everton Soares,br BRA,"FW,MF",22.0,25.4,1193,6,92,431,692,125,1192,169,93,55.0,76,45.0,877,8005,3882,150,107,73,50,71,952,242,Matches
Diego Tardelli,br BRA,FW,33.0,21.6,1132,8,75,597,479,56,1131,34,25,73.5,9,26.5,673,4729,2341,66,64,16,29,26,920,152,Matches
Alisson,br BRA,FW,25.0,19.2,1309,18,98,587,634,63,1309,51,27,52.9,24,47.1,771,5229,3026,96,69,26,18,25,976,165,Matches
Bruno Cortez,br BRA,DF,31.0,20.1,1189,53,232,628,347,23,1189,28,24,85.7,4,14.3,604,4022,2640,63,35,9,19,9,765,136,Matches
Matheus Henrique,br BRA,MF,21.0,19.6,1678,35,244,1120,332,13,1678,64,53,82.8,11,17.2,1035,6262,3254,49,59,4,28,17,1318,27,Matches
Pedro Geromel,br BRA,DF,33.0,19.6,1162,98,492,632,48,18,1162,4,4,100.0,0,0.0,449,1487,869,4,5,0,6,2,760,6,Matches
Michel,br BRA,"MF,DF",28.0,18.9,1447,73,359,980,119,14,1447,5,3,60.0,2,40.0,718,3154,1565,8,16,1,15,7,1001,5,Matches
David Braz,br BRA,DF,31.0,17.4,1227,137,591,598,50,16,1227,6,4,66.7,2,33.3,588,2842,1508,7,11,1,5,5,838,4,Matches
Walter Kannemann,ar ARG,DF,27.0,17.0,932,81,437,474,28,9,932,11,9,81.8,2,18.2,399,1978,1160,5,5,0,8,2,590,2,Matches
Léo Moura,br BRA,DF,40.0,16.4,1322,37,242,690,397,20,1322,34,25,73.5,9,26.5,702,4356,2246,37,26,10,9,6,946,109,Matches
Juninho Capixaba,br BRA,DF,21.0,16.3,1185,58,264,564,370,23,1185,29,18,62.1,11,37.9,615,3869,2246,57,33,4,27,11,735,172,Matches
Luciano,br BRA,"FW,MF",25.0,13.7,647,18,82,334,238,36,645,26,16,61.5,10,38.5,341,2094,813,19,15,5,26,19,477,64,Matches
Luan Vieira,br BRA,MF,25.0,14.6,970,5,58,507,427,42,970,39,29,74.4,10,25.6,640,4257,2092,56,55,9,35,35,782,78,Matches
Rafael Galhardo,br BRA,"DF,FW",27.0,13.0,842,35,176,422,252,12,841,5,3,60.0,2,40.0,330,1357,722,13,9,3,7,3,542,69,Matches
Maicon Souza,br BRA,MF,33.0,12.9,1537,22,148,1018,375,23,1535,10,7,70.0,3,30.0,899,3849,1684,15,41,1,17,6,1247,36,Matches
Pepê,br BRA,"FW,MF",21.0,18.8,873,15,108,355,436,73,872,77,43,55.8,34,44.2,554,4956,1921,60,46,22,57,37,644,164,Matches
Thaciano,br BRA,"MF,FW",23.0,14.7,769,24,112,490,178,43,769,27,23,85.2,4,14.8,447,2358,1074,27,18,8,30,12,533,37,Matches
Rômulo,br BRA,MF,28.0,10.8,756,28,103,555,99,13,756,1,1,100.0,0,0.0,385,1414,617,5,5,0,7,5,568,12,Matches
Paulo Miranda,br BRA,DF,30.0,10.5,720,78,340,361,21,5,720,1,1,100.0,0,0.0,334,1221,689,1,2,0,3,0,468,4,Matches
André,br BRA,FW,28.0,9.9,352,14,28,149,177,54,351,21,17,81.0,4,19.0,187,768,206,7,7,1,36,20,256,57,Matches
Jean Pyerre,br BRA,MF,20.0,9.0,761,1,58,483,229,12,761,30,22,73.3,8,26.7,460,2087,1002,13,21,0,15,9,624,38,Matches
Leonardo Gomes,br BRA,DF,22.0,9.0,698,14,92,366,246,20,698,7,5,71.4,2,28.6,386,1677,1057,25,29,4,7,9,494,60,Matches
Júlio César,br BRA,GK,32.0,8.0,192,173,191,1,0,0,192,1,0,0.0,1,100.0,77,536,454,0,0,0,0,0,47,0,Matches
Rodrigues,br BRA,DF,21.0,6.7,414,53,211,197,9,4,414,0,0,,0,,204,854,443,2,1,1,7,1,243,1,Matches
Darlan Mendes,br BRA,MF,20.0,6.7,559,13,82,409,73,3,559,12,9,75.0,3,25.0,354,1828,796,9,8,1,12,13,432,9,Matches
Felipe Vizeu,br BRA,FW,21.0,4.3,174,8,17,70,87,28,174,11,5,45.5,6,54.5,120,512,211,7,6,4,13,9,134,20,Matches
Walter Montoya,ar ARG,FW,25.0,2.4,156,1,13,104,41,3,156,4,0,0.0,4,100.0,101,473,237,5,3,2,7,3,113,15,Matches
Phelipe Megiolaro,br BRA,GK,19.0,2.0,38,36,38,0,0,0,38,0,0,,0,,17,105,86,0,0,0,0,0,7,0,Matches
Patrick,br BRA,"MF,FW",20.0,3.9,224,1,18,107,103,12,224,18,12,66.7,6,33.3,162,1111,605,19,21,5,9,11,178,21,Matches
Ferreira,br BRA,"FW,MF",21.0,1.7,75,2,11,22,42,9,75,11,10,90.9,1,9.1,46,382,259,7,3,3,1,1,55,11,Matches
Isaque,br BRA,"FW,MF",21.0,1.1,50,2,9,21,22,3,50,1,1,100.0,0,0.0,26,224,156,8,4,1,1,2,39,6,Matches
Felipe Albuquerque,br BRA,DF,19.0,1.0,59,6,17,31,11,1,59,0,0,,0,,16,68,27,1,1,0,0,0,24,2,Matches
Ruan,br BRA,DF,19.0,1.0,40,9,23,19,0,0,40,2,1,50.0,1,50.0,19,57,29,0,0,0,0,1,27,0,Matches
Matheus Frizzo,br BRA,MF,20.0,0.9,59,2,11,40,9,0,59,1,0,0.0,1,100.0,29,143,79,0,0,0,3,0,46,0,Matches
Marinho,br BRA,"MF,FW",28.0,0.5,41,0,5,16,22,2,41,10,5,50.0,5,50.0,25,227,97,4,2,3,2,3,27,11,Matches
Gui Azevedo,br BRA,FW,17.0,0.3,17,0,3,7,7,0,17,1,0,0.0,1,100.0,13,67,20,1,1,0,4,1,13,4,Matches
Da Silva,br BRA,FW,19.0,0.3,8,0,1,4,3,1,8,0,0,,0,,5,12,9,0,0,0,0,1,6,0,Matches
Emanuel,br BRA,DF,19.0,0.2,10,4,8,2,0,0,10,0,0,,0,,5,28,10,0,0,0,1,0,4,0,Matches
Jhonata Robert,br BRA,MF,19.0,0.1,9,0,2,3,4,2,9,1,0,0.0,1,100.0,3,9,6,0,0,0,0,0,4,1,Matches
Squad Total,,,27.6,38.0,25434,1697,5696,13397,6607,781,25425,753,496,65.9,257,34.1,13890,80587,41708,846,728,217,515,382,17993,1740,
Opponent Total,,,27.6,38.0,20542,2103,6041,10112,4661,610,20533,645,383,59.4,262,40.6,11730,68164,36552,691,578,123,511,356,13136,1363,
