Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rafinha,br BRA,DF,35.0,25.3,9,1,0,48,38,0,80,43,36,0,0,0,139,11,24,31.4,Matches
Thiago dos Santos,br BRA,MF,31.0,23.5,10,0,0,77,28,2,3,44,39,0,1,0,166,71,33,68.3,Matches
Pedro Geromel,br BRA,DF,35.0,24.0,6,0,0,21,17,1,9,49,16,0,0,0,152,55,25,68.8,Matches
Ferreira,br BRA,"FW,MF",23.0,23.7,3,0,0,15,60,1,72,16,20,0,0,0,133,8,15,34.8,Matches
Gabriel Chapecó,br BRA,GK,20.0,23.6,1,0,0,0,2,0,0,0,2,0,0,0,9,9,2,81.8,Matches
Diego Souza,br BRA,FW,35.0,19.6,2,0,0,26,31,6,6,1,5,0,0,0,34,73,64,53.3,Matches
Vanderson,br BRA,DF,19.0,21.9,5,0,0,41,22,0,95,37,32,0,0,0,153,29,24,54.7,Matches
Alisson,br BRA,"FW,MF",27.0,20.8,1,0,0,24,48,4,96,14,11,2,0,0,97,23,44,34.3,Matches
Walter Kannemann,ar ARG,DF,29.0,19.9,9,1,0,42,18,0,0,45,14,0,1,0,106,48,20,70.6,Matches
Douglas Costa,br BRA,"FW,MF",30.0,20.1,7,0,0,49,22,6,122,4,11,0,0,0,93,2,21,8.7,Matches
Lucas Silva,br BRA,MF,27.0,19.0,6,0,0,29,24,0,3,20,16,0,0,0,156,20,16,55.6,Matches
Ruan,br BRA,DF,21.0,19.8,4,0,0,23,19,0,1,33,17,0,0,0,123,61,29,67.8,Matches
Bruno Cortez,br BRA,DF,33.0,16.1,3,1,0,25,16,0,23,12,23,0,1,1,91,19,14,57.6,Matches
Brenno,br BRA,GK,21.0,13.4,0,1,0,0,1,0,0,0,0,0,0,0,6,6,0,100.0,Matches
Mathías Villasanti,py PAR,MF,24.0,11.2,2,0,0,24,9,0,11,17,25,0,0,0,60,5,9,35.7,Matches
Miguel Borja,co COL,FW,28.0,11.7,5,0,0,20,27,2,1,0,4,1,0,0,24,36,55,39.6,Matches
Rodrigues,br BRA,DF,23.0,11.1,2,0,0,5,3,1,2,11,10,0,0,0,54,18,11,62.1,Matches
Diogo Barbosa,br BRA,DF,28.0,10.1,2,0,0,21,7,1,27,18,10,0,0,0,52,18,12,60.0,Matches
Jean Pyerre,br BRA,"MF,FW",22.0,10.9,3,0,0,5,15,0,36,8,7,0,0,0,68,11,24,31.4,Matches
Jaminton Campaz,co COL,MF,20.0,10.1,2,0,0,22,17,1,72,4,8,0,1,0,43,8,9,47.1,Matches
Victor Bobsin,br BRA,MF,21.0,8.8,2,0,0,19,7,1,4,8,8,0,0,0,69,12,11,52.2,Matches
Matheus Henrique,br BRA,MF,23.0,7.0,3,0,0,15,11,0,9,3,4,0,0,0,46,2,1,66.7,Matches
Jhonata Robert,br BRA,"FW,MF",21.0,7.0,3,1,1,23,8,0,38,4,14,1,0,0,33,9,19,32.1,Matches
Leo Augusto Pereira,br BRA,"FW,MF",20.0,6.4,0,0,0,12,13,1,34,7,14,0,0,0,35,6,18,25.0,Matches
Darlan Mendes,br BRA,MF,22.0,4.7,2,0,0,7,2,0,8,11,4,0,0,0,32,1,1,50.0,Matches
Paulo Miranda,br BRA,DF,32.0,4.0,1,1,0,10,1,0,0,4,4,0,1,0,14,13,5,72.2,Matches
Fernando Henrique,br BRA,MF,19.0,3.1,2,0,0,6,2,0,1,9,7,0,0,0,19,7,8,46.7,Matches
Ricardinho,br BRA,"FW,MF",19.0,4.8,0,0,0,5,4,2,3,0,0,0,0,0,7,11,24,31.4,Matches
Mateus Sarará,br BRA,MF,18.0,3.1,2,0,0,11,3,0,2,5,4,0,0,0,16,12,8,60.0,Matches
Luiz Fernando,br BRA,"FW,MF",24.0,2.7,2,0,0,4,6,2,1,3,1,0,0,0,12,4,8,33.3,Matches
Guilherme Guedes,br BRA,"DF,MF",21.0,2.3,0,0,0,2,1,0,16,2,2,0,0,0,13,1,3,25.0,Matches
Elias Manoel,br BRA,FW,19.0,1.6,0,0,0,3,0,2,0,1,0,0,0,0,7,3,8,27.3,Matches
Léo Chú,br BRA,"FW,DF",20.0,1.2,0,0,0,1,3,0,3,1,0,0,0,0,7,0,1,0.0,Matches
Paulo Victor Vidotti,br BRA,GK,34.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Maicon Souza,br BRA,MF,35.0,1.0,1,1,0,0,1,0,3,0,0,0,0,0,4,1,1,50.0,Matches
Diego Churín,ar ARG,FW,31.0,1.3,1,0,0,6,1,0,0,0,2,0,0,0,6,9,9,50.0,Matches
Éverton,br BRA,FW,32.0,0.5,1,0,0,2,0,1,1,0,0,0,0,0,6,0,2,0.0,Matches
César Pinares,cl CHI,FW,29.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Gui Azevedo,br BRA,FW,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.9,38.0,102,7,1,643,487,34,782,434,370,4,5,1,2089,622,578,51.8,
Opponent Total,,,26.8,38.0,83,1,0,512,613,33,539,416,356,4,7,1,1996,578,622,48.2,
