Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rafinha,br BRA,DF,35.0,30,2275.0,76.0,66.5,25.3,27,81.0,14.0,3,28.0,4,1.13,30.0,28.0,2.0,0.08,0.79,33.6,24.9,8.7,0.34,0.45,Matches
Thiago dos Santos,br BRA,MF,31.0,27,2115.0,78.0,61.8,23.5,27,78.0,14.0,0,,1,1.19,32.0,34.0,-2.0,-0.09,0.26,32.2,23.8,8.5,0.36,0.44,Matches
Pedro Geromel,br BRA,DF,35.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,1,0.96,25.0,32.0,-7.0,-0.29,-0.29,32.6,29.4,3.2,0.13,-0.16,Matches
Ferreira,br BRA,"FW,MF",23.0,29,2134.0,74.0,62.4,23.7,24,82.0,14.0,5,35.0,0,1.03,28.0,36.0,-8.0,-0.34,-0.41,33.1,29.8,3.3,0.14,-0.15,Matches
Gabriel Chapecó,br BRA,GK,20.0,24,2122.0,88.0,62.0,23.6,24,88.0,23.0,0,,8,1.38,31.0,29.0,2.0,0.08,0.71,30.3,25.4,4.9,0.21,0.04,Matches
Diego Souza,br BRA,FW,35.0,31,1764.0,57.0,51.6,19.6,24,69.0,4.0,7,17.0,2,1.1,24.0,23.0,1.0,0.05,0.49,27.3,20.5,6.8,0.35,0.31,Matches
Vanderson,br BRA,DF,19.0,30,1970.0,66.0,57.6,21.9,22,84.0,17.0,8,16.0,6,0.97,25.0,36.0,-11.0,-0.5,-0.75,27.4,26.5,0.9,0.04,-0.36,Matches
Alisson,br BRA,"FW,MF",27.0,29,1875.0,65.0,54.8,20.8,22,79.0,6.0,7,18.0,3,1.17,21.0,22.0,-1.0,-0.05,0.3,25.6,22.3,3.2,0.16,-0.08,Matches
Walter Kannemann,ar ARG,DF,29.0,21,1795.0,85.0,52.5,19.9,21,85.0,18.0,0,,8,1.1,20.0,21.0,-1.0,-0.05,0.28,26.7,22.3,4.4,0.22,0.06,Matches
Douglas Costa,br BRA,"FW,MF",30.0,26,1805.0,69.0,52.8,20.1,20,81.0,10.0,6,31.0,0,1.04,25.0,29.0,-4.0,-0.2,-0.03,28.5,22.8,5.7,0.29,0.2,Matches
Lucas Silva,br BRA,MF,27.0,25,1708.0,68.0,49.9,19.0,20,78.0,10.0,5,28.0,10,1.48,26.0,23.0,3.0,0.16,0.68,25.3,20.3,5.0,0.27,0.14,Matches
Ruan,br BRA,DF,21.0,23,1784.0,78.0,52.2,19.8,19,90.0,18.0,4,20.0,9,1.09,25.0,30.0,-5.0,-0.25,-0.14,25.0,22.8,2.2,0.11,-0.17,Matches
Bruno Cortez,br BRA,DF,33.0,20,1453.0,73.0,42.5,16.1,16,86.0,13.0,4,19.0,13,1.3,19.0,23.0,-4.0,-0.25,-0.11,21.3,20.2,1.1,0.07,-0.22,Matches
Brenno,br BRA,GK,21.0,14,1208.0,86.0,35.3,13.4,13,90.0,13.0,1,38.0,13,0.93,14.0,23.0,-9.0,-0.67,-0.75,19.6,16.7,2.9,0.21,0.03,Matches
Mathías Villasanti,py PAR,MF,24.0,16,1010.0,63.0,29.5,11.2,12,78.0,6.0,4,19.0,2,1.38,13.0,19.0,-6.0,-0.53,-0.5,13.6,11.6,2.0,0.18,-0.02,Matches
Miguel Borja,co COL,FW,28.0,18,1049.0,58.0,30.7,11.7,11,80.0,4.0,7,24.0,0,1.44,15.0,18.0,-3.0,-0.26,-0.11,16.4,13.9,2.5,0.21,0.03,Matches
Rodrigues,br BRA,DF,23.0,12,1000.0,83.0,29.2,11.1,11,87.0,9.0,1,45.0,18,1.58,15.0,14.0,1.0,0.09,0.39,13.3,11.3,2.0,0.18,-0.02,Matches
Diogo Barbosa,br BRA,DF,28.0,16,912.0,57.0,26.7,10.1,10,83.0,6.0,6,15.0,18,1.19,12.0,14.0,-2.0,-0.2,-0.02,16.2,11.5,4.6,0.46,0.36,Matches
Jean Pyerre,br BRA,"MF,FW",22.0,24,981.0,41.0,28.7,10.9,9,74.0,2.0,15,21.0,8,0.92,9.0,13.0,-4.0,-0.37,-0.26,12.4,11.4,0.9,0.08,-0.15,Matches
Jaminton Campaz,co COL,MF,20.0,17,907.0,53.0,26.5,10.1,9,69.0,0.0,8,36.0,5,1.06,17.0,12.0,5.0,0.5,0.93,16.8,9.2,7.6,0.75,0.76,Matches
Victor Bobsin,br BRA,MF,21.0,14,792.0,57.0,23.2,8.8,9,77.0,5.0,5,19.0,10,1.0,7.0,11.0,-4.0,-0.45,-0.35,11.3,12.8,-1.6,-0.18,-0.48,Matches
Matheus Henrique,br BRA,MF,23.0,8,632.0,79.0,18.5,7.0,8,79.0,2.0,0,,0,0.25,4.0,11.0,-7.0,-1.0,-1.0,7.2,9.9,-2.7,-0.39,-0.71,Matches
Jhonata Robert,br BRA,"FW,MF",21.0,14,633.0,45.0,18.5,7.0,7,74.0,1.0,7,16.0,12,1.5,11.0,7.0,4.0,0.57,0.92,8.8,5.5,3.3,0.47,0.34,Matches
Leo Augusto Pereira,br BRA,"FW,MF",20.0,16,578.0,36.0,16.9,6.4,5,67.0,0.0,11,22.0,7,1.31,6.0,8.0,-2.0,-0.31,-0.15,7.8,7.1,0.6,0.1,-0.11,Matches
Darlan Mendes,br BRA,MF,22.0,11,421.0,38.0,12.3,4.7,4,72.0,1.0,7,19.0,19,0.91,5.0,6.0,-1.0,-0.21,-0.03,5.3,6.4,-1.1,-0.24,-0.49,Matches
Paulo Miranda,br BRA,DF,32.0,5,364.0,73.0,10.6,4.0,4,85.0,3.0,1,26.0,17,1.0,4.0,6.0,-2.0,-0.49,-0.35,6.0,3.7,2.2,0.56,0.41,Matches
Fernando Henrique,br BRA,MF,19.0,4,277.0,69.0,8.1,3.1,3,90.0,3.0,1,7.0,15,2.0,3.0,1.0,2.0,0.65,0.91,3.5,3.3,0.3,0.08,-0.12,Matches
Ricardinho,br BRA,"FW,MF",19.0,12,436.0,36.0,12.7,4.8,2,82.0,1.0,10,27.0,3,0.58,3.0,6.0,-3.0,-0.62,-0.5,5.4,5.3,0.1,0.02,-0.2,Matches
Mateus Sarará,br BRA,MF,18.0,10,283.0,28.0,8.3,3.1,2,59.0,0.0,8,21.0,13,1.3,3.0,5.0,-2.0,-0.64,-0.49,5.5,5.3,0.3,0.08,-0.12,Matches
Luiz Fernando,br BRA,"FW,MF",24.0,9,241.0,27.0,7.0,2.7,2,62.0,0.0,7,17.0,3,1.0,2.0,4.0,-2.0,-0.75,-0.61,2.5,2.8,-0.3,-0.11,-0.33,Matches
Guilherme Guedes,br BRA,"DF,MF",21.0,4,211.0,53.0,6.2,2.3,2,76.0,0.0,2,30.0,9,0.25,2.0,4.0,-2.0,-0.85,-0.71,2.6,4.4,-1.8,-0.75,-1.0,Matches
