Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Luis Suárez,uy URU,FW,36.0,32.0,761,1091,69.8,10723,2619,461,606,76.1,210,289,72.7,41,69,59.4,11,5.8,6.6,5.2,52,57,38,2,107,Matches
Gabriel Chapecó,br BRA,GK,22.0,31.0,524,831,63.1,15906,12451,71,74,95.9,219,223,98.2,222,520,42.7,0,0.1,0.0,-0.1,2,7,0,0,0,Matches
Franco Cristaldo,ar ARG,"MF,FW",26.0,23.7,976,1282,76.1,15150,4852,531,616,86.2,305,383,79.6,90,173,52.0,5,4.6,3.9,0.4,53,104,30,7,131,Matches
Reinaldo,br BRA,DF,33.0,29.8,1228,1690,72.7,22541,10824,526,606,86.8,508,664,76.5,162,317,51.1,5,5.2,6.2,-0.2,56,115,41,15,160,Matches
Mathías Villasanti,py PAR,MF,26.0,29.4,1200,1389,86.4,18325,5815,619,675,91.7,464,530,87.5,63,93,67.7,6,3.5,2.2,2.5,25,121,20,1,150,Matches
Walter Kannemann,ar ARG,DF,31.0,26.2,791,1012,78.2,14043,6644,317,369,85.9,401,472,85.0,59,137,43.1,1,0.2,0.2,0.8,7,59,1,0,81,Matches
Bruno Fabiano Alves,br BRA,DF,31.0,27.2,751,899,83.5,14017,5526,254,279,91.0,414,468,88.5,70,131,53.4,0,0.0,0.1,0.0,1,30,1,0,37,Matches
João Pedro,br BRA,DF,26.0,23.1,820,1063,77.1,12588,5773,453,519,87.3,302,384,78.6,46,107,43.0,1,1.5,1.1,-0.5,18,79,20,6,113,Matches
Felipe Carballo,uy URU,MF,26.0,17.1,655,815,80.4,10381,3521,329,384,85.7,260,305,85.2,46,70,65.7,1,1.2,1.6,-0.2,12,96,12,0,87,Matches
Bitelo,br BRA,"MF,FW",23.0,17.2,660,820,80.5,9043,2883,406,465,87.3,177,217,81.6,33,57,57.9,1,3.8,3.6,-2.8,38,66,28,5,92,Matches
Bruno Uvini,br BRA,DF,31.0,16.1,391,521,75.0,6670,2566,162,210,77.1,194,234,82.9,24,54,44.4,0,0.7,0.5,-0.7,3,25,1,0,40,Matches
João Pedro Pepê,br BRA,MF,25.0,15.5,658,776,84.8,10733,3703,317,351,90.3,258,289,89.3,58,91,63.7,1,0.6,0.9,0.4,9,75,8,3,87,Matches
Fábio,br BRA,"DF,MF",32.0,9.7,359,473,75.9,5424,2395,210,236,89.0,120,171,70.2,21,48,43.8,2,0.8,1.2,1.2,12,25,15,11,41,Matches
João Pedro,it ITA,FW,30.0,6.8,85,125,68.0,1130,236,62,78,79.5,15,27,55.6,6,10,60.0,1,0.3,0.1,0.7,5,3,2,1,6,Matches
Everton,br BRA,"FW,MF",25.0,13.5,325,414,78.5,4705,1282,184,217,84.8,102,125,81.6,20,28,71.4,2,1.1,1.2,0.9,20,30,18,1,51,Matches
Rodrigo Ely,br BRA,DF,29.0,7.4,156,206,75.7,3126,1391,53,59,89.8,77,88,87.5,25,51,49.0,0,0.1,0.0,-0.1,1,7,0,0,7,Matches
Vinícius,br BRA,FW,31.0,7.3,285,351,81.2,4695,1450,142,159,89.3,103,124,83.1,28,39,71.8,0,1.0,0.8,-1.0,8,38,12,2,44,Matches
Nathan,br BRA,"MF,FW",26.0,7.6,260,320,81.3,3889,850,145,164,88.4,86,106,81.1,17,28,60.7,1,1.1,0.9,-0.1,13,26,5,0,39,Matches
Ferreira,br BRA,"FW,MF",25.0,12.7,416,523,79.5,6569,1925,243,280,86.8,130,155,83.9,34,52,65.4,3,2.3,2.4,0.7,17,33,27,1,61,Matches
