Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
João Pedro,br BRA,DF,27.0,30.6,38,19,23,12,3,17,29,58.6,12,32,12,20,18,56,67,0,Matches
Reinaldo,br BRA,DF,34.0,28.1,54,33,29,16,9,28,49,57.1,21,21,6,15,22,76,80,2,Matches
Agustín Marchesín,ar ARG,GK,35.0,27.5,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,7,1,Matches
Dodi,br BRA,MF,27.0,26.7,79,44,29,44,6,37,58,63.8,21,30,10,20,38,117,34,0,Matches
Mathías Villasanti,py PAR,MF,27.0,26.0,79,47,35,34,10,36,71,50.7,35,43,16,27,45,124,39,1,Matches
Franco Cristaldo,ar ARG,"MF,FW",27.0,23.7,36,24,8,22,6,12,37,32.4,25,20,2,18,13,49,15,0,Matches
Yeferson Soteldo,ve VEN,"FW,MF",26.0,18.6,15,8,6,7,2,6,17,35.3,11,12,2,10,7,22,5,1,Matches
Rodrigo Ely,br BRA,DF,30.0,18.4,39,25,25,13,1,23,29,79.3,6,35,26,9,24,63,85,1,Matches
Martin Braithwaite,dk DEN,FW,32.0,16.2,9,6,0,5,4,5,9,55.6,4,6,0,6,1,10,19,0,Matches
Edenílson,br BRA,"MF,FW",34.0,14.8,17,9,6,4,7,6,11,54.5,5,12,3,9,12,29,15,0,Matches
Gustavo Martins Santos,br BRA,DF,21.0,15.3,23,14,14,8,1,8,15,53.3,7,21,11,10,15,38,69,0,Matches
Cristian Pavón,ar ARG,"FW,MF",28.0,12.1,13,8,5,7,1,7,17,41.2,10,12,1,11,9,22,11,0,Matches
João Pedro Pepê,br BRA,MF,26.0,14.3,45,24,21,22,2,14,34,41.2,20,13,3,10,21,66,24,0,Matches
Jemerson,br BRA,DF,31.0,12.7,19,10,16,2,1,11,15,73.3,4,20,12,8,8,27,61,0,Matches
Walter Kannemann,ar ARG,DF,32.0,11.1,18,12,12,5,1,9,20,45.0,11,16,7,9,19,37,52,0,Matches
Gustavo Nunes,br BRA,"FW,MF",18.0,13.8,17,12,6,4,7,7,11,63.6,4,14,0,14,2,19,7,0,Matches
Alexander Aravena,cl CHI,"FW,MF",21.0,8.6,4,4,2,2,0,1,7,14.3,6,2,0,2,3,7,7,0,Matches
Miguel Monsalve,co COL,"FW,MF",19.0,10.9,11,6,5,4,2,4,14,28.6,10,5,0,5,0,11,7,0,Matches
Pedro Geromel,br BRA,DF,38.0,8.6,18,14,12,5,1,7,12,58.3,5,14,11,3,11,29,45,0,Matches
Fábio,br BRA,DF,33.0,7.5,12,7,5,5,2,6,12,50.0,6,5,1,4,5,17,16,0,Matches
João Pedro,it ITA,FW,31.0,6.4,2,0,0,1,1,0,0,,0,2,0,2,1,3,4,0,Matches
Du Queiroz,br BRA,MF,24.0,6.5,19,13,7,9,3,10,17,58.8,7,9,0,9,9,28,8,0,Matches
Nata,br BRA,DF,22.0,5.6,8,4,8,0,0,4,6,66.7,2,11,9,2,7,15,38,0,Matches
Caíque,br BRA,GK,26.0,5.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Felipe Carballo,uy URU,MF,27.0,5.3,15,10,6,9,0,5,22,22.7,17,5,0,5,4,19,9,0,Matches
Diego Costa,es ESP,FW,35.0,5.3,6,1,1,3,2,3,4,75.0,1,5,2,3,1,7,5,0,Matches
Rafael Cabral,br BRA,GK,33.0,5.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Everton,br BRA,"FW,MF",26.0,5.1,6,5,2,2,2,4,7,57.1,3,4,1,3,1,7,5,0,Matches
Rodrigo Caio,br BRA,DF,30.0,4.2,6,4,4,2,0,3,7,42.9,4,12,9,3,4,10,29,0,Matches
Mayk,br BRA,DF,24.0,3.9,8,5,3,4,1,3,6,50.0,3,9,2,7,3,11,15,0,Matches
Nathan,br BRA,"FW,MF",27.0,3.6,3,2,1,2,0,1,5,20.0,4,4,0,4,2,5,1,0,Matches
Zé Guilherme,br BRA,DF,18.0,2.5,11,7,8,3,0,5,10,50.0,5,2,1,1,7,18,3,0,Matches
Cuiabano,br BRA,DF,20.0,1.8,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0,Matches
Nathan Fernandes,br BRA,"FW,MF",18.0,6.0,8,6,2,5,1,2,8,25.0,6,7,0,7,4,12,5,0,Matches
Igor Serrote,br BRA,"DF,FW",18.0,1.4,5,2,2,2,1,3,4,75.0,1,4,0,4,0,5,6,0,Matches
Matias Arezo,uy URU,"FW,MF",21.0,1.2,3,1,1,1,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches
Alysson Edward,br BRA,"FW,MF",17.0,0.9,2,2,1,1,0,0,2,0.0,2,3,0,3,1,3,2,0,Matches
Ronald,br BRA,"MF,DF",20.0,0.5,1,1,1,0,0,0,0,,0,2,2,0,0,1,4,0,Matches
Squad Total,,,28.5,38.0,653,389,309,266,78,291,570,51.1,279,419,151,268,322,975,807,6,
Opponent Total,,,27.6,38.0,797,499,410,325,62,364,780,46.7,416,418,131,287,323,1120,771,6,
