Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2014-04-19,18:30,Série A,Matchweek 1,Sat,Home,W,1,0,Vitória,,21983.0,,4-2-3-1,4-1-2-1-2,Raphael Claus,Match Report,
2014-04-27,16:00,Série A,Matchweek 2,Sun,Away,D,2,2,Botafogo (RJ),,9995.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2014-05-04,16:00,Série A,Matchweek 3,Sun,Home,W,2,1,Sport Recife,,17974.0,,4-2-3-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,
2014-05-10,18:30,Série A,Matchweek 4,Sat,Home,W,2,1,Ath Paranaense,,28426.0,,4-2-3-1,4-2-2-2,Sandro Ricci,Match Report,
2014-05-18,18:30,Série A,Matchweek 5,Sun,Away,D,0,0,Criciúma,,13047.0,,4-2-3-1,4-1-2-1-2,Raphael Claus,Match Report,
2014-05-21,19:30,Série A,Matchweek 6,Wed,Away,D,1,1,Coritiba,,11599.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2014-05-25,18:30,Série A,Matchweek 7,Sun,Home,L,1,3,Cruzeiro,,7541.0,,4-2-3-1,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,
2014-05-28,21:00,Série A,Matchweek 8,Wed,Home,W,2,0,Chapecoense,,2824.0,,4-2-3-1,4-4-2,Felipe Gomes da Silva,Match Report,
2014-06-01,18:30,Série A,Matchweek 9,Sun,Away,D,1,1,Fluminense,,6403.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2014-07-17,19:30,Série A,Matchweek 10,Thu,Away,L,1,2,Corinthians,,32644.0,,4-2-3-1,4-1-2-1-2,Wagner Reway,Match Report,
2014-07-20,16:00,Série A,Matchweek 11,Sun,Home,W,4,0,Flamengo,,27633.0,,4-3-2-1,4-1-2-1-2,Sandro Ricci,Match Report,
2014-07-26,18:30,Série A,Matchweek 12,Sat,Away,W,1,0,Bahia,,5221.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2014-08-03,18:30,Série A,Matchweek 13,Sun,Home,W,1,0,Santos,,20258.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2014-08-10,16:00,Série A,Matchweek 14,Sun,Home,W,2,0,Grêmio,,32643.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2014-08-16,18:30,Série A,Matchweek 15,Sat,Away,W,1,0,Goiás,,4256.0,,4-3-2-1,4-1-2-1-2,Emerson De Almeida Ferreira,Match Report,
2014-08-20,22:00,Série A,Matchweek 16,Wed,Home,L,0,1,São Paulo,,29267.0,,4-3-2-1,4-2-2-2,Grazianni Maciel Rocha,Match Report,
2014-08-23,18:30,Série A,Matchweek 17,Sat,Away,L,0,1,Atlético Mineiro,,19732.0,,4-3-2-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-08-27,22:00,Sudamericana,Second stage,Wed,Home,L,0,2,br Bahia,,,,,,Christian Ferreyra,Match Report,Leg 1 of 2
2014-08-30,18:30,Série A,Matchweek 18,Sat,Away,W,1,0,Palmeiras,,31178.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2014-09-04,22:00,Sudamericana,Second stage,Thu,Away,D,1,1,br Bahia,,,,,,Marcelo de Lima Henrique,Match Report,Leg 2 of 2; Bahia won
2014-09-07,18:30,Série A,Matchweek 19,Sun,Home,L,2,3,Figueirense,,16965.0,,4-2-3-1,4-1-2-1-2,Marcelo Aparecido Ribeiro De Souza,Match Report,
2014-09-10,22:00,Série A,Matchweek 20,Wed,Away,L,0,2,Vitória,,5060.0,,4-2-3-1,4-3-2-1,Péricles Bassols Pegado Cortez,Match Report,
2014-09-14,16:00,Série A,Matchweek 21,Sun,Home,W,2,0,Botafogo (RJ),,16456.0,,4-2-3-1,4-3-3,André Luiz de Freitas Castro,Match Report,
2014-09-17,21:00,Série A,Matchweek 22,Wed,Away,D,0,0,Sport Recife,,14581.0,,4-2-2-2,4-2-3-1,Felipe Gomes da Silva,Match Report,
2014-09-20,18:30,Série A,Matchweek 23,Sat,Away,W,1,0,Ath Paranaense,,17305.0,,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2014-09-24,19:30,Série A,Matchweek 24,Wed,Home,W,3,0,Criciúma,,15701.0,,4-2-3-1,4-1-2-1-2,Marcelo de Lima Henrique,Match Report,
2014-09-28,18:30,Série A,Matchweek 25,Sun,Home,W,4,2,Coritiba,,24522.0,,4-2-3-1,4-2-2-2,Luiz Flávio de Oliveira,Match Report,
2014-10-04,18:30,Série A,Matchweek 26,Sat,Away,L,1,2,Cruzeiro,,51994.0,,4-3-2-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2014-10-09,20:30,Série A,Matchweek 27,Thu,Away,L,0,5,Chapecoense,,17230.0,,4-2-3-1,4-1-2-1-2,Ricardo Marques Ribeiro,Match Report,
2014-10-12,16:00,Série A,Matchweek 28,Sun,Home,W,2,1,Fluminense,,24655.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2014-10-19,16:00,Série A,Matchweek 29,Sun,Home,L,1,2,Corinthians,,33641.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2014-10-22,19:30,Série A,Matchweek 30,Wed,Away,L,0,2,Flamengo,,21855.0,,4-4-2,4-3-2-1,Thiago Duarte Peixoto,Match Report,
2014-10-25,21:00,Série A,Matchweek 31,Sat,Home,W,2,0,Bahia,,12825.0,,4-2-3-1,4-3-2-1,Marcos Andre Gomes da Penha,Match Report,
2014-11-02,17:00,Série A,Matchweek 32,Sun,Away,W,2,1,Santos,,5607.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2014-11-09,17:00,Série A,Matchweek 33,Sun,Away,L,1,4,Grêmio,,43456.0,,4-2-3-1,4-3-2-1,Luiz Flávio de Oliveira,Match Report,
2014-11-12,22:00,Série A,Matchweek 35,Wed,Away,D,1,1,São Paulo,,22504.0,,3-4-3,4-2-2-2,Heber Roberto Lopes,Match Report,
2014-11-16,17:00,Série A,Matchweek 34,Sun,Home,W,1,0,Goiás,,20786.0,,4-2-3-1,4-4-2,Marielson Alves Silva,Match Report,
2014-11-22,19:30,Série A,Matchweek 36,Sat,Home,W,2,1,Atlético Mineiro,,33443.0,,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2014-11-29,19:30,Série A,Matchweek 37,Sat,Home,W,3,1,Palmeiras,,36508.0,,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2014-12-06,16:30,Série A,Matchweek 38,Sat,Away,W,2,1,Figueirense,,7027.0,,3-4-3,4-2-2-2,Marielson Alves Silva,Match Report,
