Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ernando,br BRA,DF,26.0,30,30,2663.0,29.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.1,0.03,0.14,0.1,0.14,Matches
William,br BRA,"DF,MF",19.0,29,29,2572.0,28.6,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Rodrigo Dourado,br BRA,MF,20.0,30,29,2570.0,28.6,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches
Alisson,br BRA,GK,22.0,26,26,2265.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulão,br BRA,DF,28.0,24,23,2115.0,23.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
Anderson,br BRA,MF,26.0,30,22,1950.0,21.7,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.18,0.18,0.0,0.18,Matches
Valdívia,br BRA,MF,20.0,26,22,1903.0,21.1,6.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,0.28,0.05,0.33,0.24,0.28,Matches
Nílton,br BRA,MF,27.0,24,21,1835.0,20.4,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,0.1,0.05,0.15,0.1,0.15,Matches
Vitinho,br BRA,"FW,MF",21.0,32,20,1804.0,20.0,11.0,2.0,13.0,10.0,1.0,1.0,9.0,0.0,0.55,0.1,0.65,0.5,0.6,Matches
Lisandro López,ar ARG,"FW,MF",31.0,24,20,1742.0,19.4,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,0.21,0.1,0.31,0.21,0.31,Matches
Alex,br BRA,MF,32.0,24,19,1594.0,17.7,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,0.06,0.11,0.17,0.0,0.11,Matches
Réver,br BRA,DF,30.0,17,16,1306.0,14.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Nicolás Freitas,uy URU,MF,27.0,16,13,1157.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Muriel Becker,br BRA,GK,27.0,13,12,1155.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrés D'Alessandro,ar ARG,"FW,MF",33.0,15,12,1086.0,12.1,0.0,2.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Geferson,br BRA,"DF,MF",20.0,12,12,976.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Sasha,br BRA,"FW,MF",22.0,14,11,979.0,10.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Wellington Martins,br BRA,MF,24.0,15,10,898.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan,br BRA,DF,35.0,10,10,826.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Artur,br BRA,"DF,MF",20.0,13,9,863.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Costa,br BRA,DF,24.0,10,9,829.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Moura,br BRA,FW,31.0,21,8,898.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches
Nilmar,br BRA,FW,30.0,7,7,568.0,6.3,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Leonardo Morais,br BRA,DF,23.0,8,7,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Henrique,br BRA,"DF,FW",32.0,5,5,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Ruschel,br BRA,"DF,MF",25.0,6,5,392.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.23,0.23,0.0,0.23,Matches
Taiberson,br BRA,FW,21.0,13,4,572.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alisson Farias,br BRA,"FW,MF",18.0,10,1,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Silva,br BRA,MF,19.0,6,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Gabriel,br BRA,DF,18.0,4,1,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,0.55,0.55,Matches
Zé Mário,br BRA,MF,22.0,3,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Marques,br BRA,MF,19.0,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cláudio Winck,br BRA,"DF,MF",20.0,1,1,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Luque,ar ARG,"FW,MF",21.0,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Bertotto,br BRA,MF,21.0,5,0,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Santana,br BRA,MF,19.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrigo,br BRA,"FW,MF",19.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Baio,br BRA,FW,19.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dida,br BRA,GK,41.0,0,0,,,,,,,,,,,,,,,,Matches
Bruno Gomes,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Jacsson,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Jair,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Mila,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Rodrigo Moledo,br BRA,DF,27.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Oliveira,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Gustavo Ramos,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Ebert Cardoso da Silva,br BRA,DF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Silas Araújo da Silva,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Eriks de Souza Santos Pereira,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.7,38,418,3420.0,38.0,39.0,24.0,63.0,36.0,3.0,4.0,107.0,6.0,1.03,0.63,1.66,0.95,1.58,
Opponent Total,,,26.4,38,419,3420.0,38.0,36.0,20.0,56.0,29.0,7.0,8.0,100.0,7.0,0.95,0.53,1.47,0.76,1.29,
