Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Ernando,br BRA,DF,27.0,37,3318.0,90.0,97.0,36.9,37,90.0,36.0,0,,0,1.16,35.0,40.0,-5.0,-0.14,0.75,Matches
William,br BRA,"DF,MF",20.0,32,2808.0,88.0,82.1,31.2,31,90.0,30.0,1,26.0,0,1.19,27.0,28.0,-1.0,-0.03,0.7,Matches
Paulão,br BRA,DF,29.0,31,2688.0,87.0,78.6,29.9,31,87.0,29.0,0,,0,1.16,22.0,27.0,-5.0,-0.17,-0.04,Matches
Danilo Fernandes,br BRA,GK,27.0,27,2430.0,90.0,71.1,27.0,27,90.0,27.0,0,,0,1.48,27.0,24.0,3.0,0.11,0.93,Matches
Vitinho,br BRA,"FW,MF",22.0,28,2183.0,78.0,63.8,24.3,26,81.0,14.0,2,44.0,3,1.32,20.0,17.0,3.0,0.12,0.78,Matches
Eduardo Sasha,br BRA,"FW,MF",23.0,31,2223.0,72.0,65.0,24.7,25,80.0,13.0,6,37.0,3,0.97,20.0,26.0,-6.0,-0.24,-0.24,Matches
Fábio Gonçalves,br BRA,MF,29.0,24,1944.0,81.0,56.8,21.6,23,84.0,19.0,1,3.0,10,1.29,24.0,25.0,-1.0,-0.05,0.26,Matches
Rodrigo Dourado,br BRA,MF,21.0,23,1935.0,84.0,56.6,21.5,22,88.0,20.0,1,10.0,1,0.96,15.0,24.0,-9.0,-0.42,-0.6,Matches
Artur,br BRA,"DF,MF",21.0,20,1664.0,83.0,48.7,18.5,19,85.0,16.0,1,40.0,11,1.0,17.0,22.0,-5.0,-0.27,-0.22,Matches
Fernando Bob,br BRA,MF,28.0,18,1437.0,80.0,42.0,16.0,17,84.0,14.0,1,8.0,8,1.28,16.0,20.0,-4.0,-0.25,-0.16,Matches
Gustavo Ferrareis,br BRA,"DF,FW",20.0,24,1407.0,59.0,41.1,15.6,16,75.0,4.0,8,26.0,10,1.25,14.0,17.0,-3.0,-0.19,-0.06,Matches
Valdívia,br BRA,MF,21.0,27,1339.0,50.0,39.2,14.9,15,71.0,2.0,12,23.0,0,0.85,13.0,17.0,-4.0,-0.27,-0.18,Matches
Luis Manuel Seijas,ve VEN,MF,29.0,19,1212.0,64.0,35.4,13.5,15,75.0,6.0,4,23.0,4,1.0,10.0,18.0,-8.0,-0.59,-0.68,Matches
Anselmo de Moraes,br BRA,MF,26.0,17,1118.0,66.0,32.7,12.4,15,71.0,8.0,2,23.0,11,1.47,9.0,10.0,-1.0,-0.08,0.11,Matches
Geferson,br BRA,"DF,MF",21.0,15,1027.0,68.0,30.0,11.4,13,78.0,9.0,2,7.0,14,1.33,11.0,12.0,-1.0,-0.09,0.1,Matches
Alex,br BRA,MF,33.0,23,1093.0,48.0,32.0,12.1,12,70.0,2.0,11,23.0,9,1.43,13.0,11.0,2.0,0.16,0.47,Matches
Ceará,br BRA,DF,35.0,12,867.0,72.0,25.4,9.6,10,83.0,7.0,2,17.0,3,1.08,7.0,9.0,-2.0,-0.21,-0.07,Matches
Anderson,br BRA,MF,27.0,20,959.0,48.0,28.0,10.7,9,77.0,5.0,11,24.0,11,0.75,12.0,13.0,-1.0,-0.09,0.09,Matches
Aylon,br BRA,"FW,MF",23.0,21,921.0,44.0,26.9,10.2,9,83.0,5.0,12,15.0,7,1.38,11.0,13.0,-2.0,-0.2,-0.05,Matches
Nicolás López,uy URU,"FW,MF",22.0,12,775.0,65.0,22.7,8.6,8,85.0,7.0,4,24.0,3,0.83,9.0,13.0,-4.0,-0.46,-0.4,Matches
Andrigo,br BRA,"FW,MF",20.0,11,575.0,52.0,16.8,6.4,8,65.0,0.0,3,17.0,19,1.36,6.0,6.0,0.0,0.0,0.19,Matches
Marcelo Lomba,br BRA,GK,29.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,18,0.33,6.0,11.0,-5.0,-0.83,-0.8,Matches
Alan Costa,br BRA,DF,25.0,5,450.0,90.0,13.2,5.0,5,90.0,5.0,0,,17,1.0,10.0,11.0,-1.0,-0.2,-0.05,Matches
Eduardo Gabriel,br BRA,DF,19.0,5,447.0,89.0,13.1,5.0,4,90.0,4.0,1,86.0,10,1.2,4.0,5.0,-1.0,-0.2,-0.05,Matches
Eduardo Henrique,br BRA,MF,20.0,7,371.0,53.0,10.8,4.1,4,71.0,2.0,3,29.0,10,1.43,5.0,5.0,0.0,0.0,0.18,Matches
Muriel Becker,br BRA,GK,28.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,6,0.0,0.0,3.0,-3.0,-1.0,-0.91,Matches
Ariel Nahuelpán,ar ARG,FW,28.0,11,379.0,34.0,11.1,4.2,2,88.0,1.0,9,23.0,4,0.73,5.0,5.0,0.0,0.0,0.18,Matches
Leandro Almeida Silva,br BRA,DF,28.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,6,0.0,0.0,2.0,-2.0,-1.0,-0.89,Matches
Raphinha,br BRA,DF,22.0,2,157.0,79.0,4.6,1.7,1,91.0,1.0,1,66.0,6,0.0,0.0,2.0,-2.0,-1.15,-1.04,Matches
Paulo Magalhães,cl CHI,"DF,MF",26.0,2,100.0,50.0,2.9,1.1,1,91.0,1.0,1,9.0,6,1.5,2.0,4.0,-2.0,-1.8,-1.69,Matches
Alisson,br BRA,GK,23.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,1.0,0.0,0.0,0.0,0.0,0.16,Matches
Jacsson,br BRA,GK,21.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,14,0.0,2.0,3.0,-1.0,-1.0,-0.86,Matches
Marquinhos,br BRA,"DF,FW",26.0,5,154.0,31.0,4.5,1.7,0,,0.0,5,30.0,6,1.0,5.0,2.0,3.0,1.75,2.0,Matches
Jair,br BRA,MF,21.0,2,116.0,58.0,3.4,1.3,0,,0.0,2,58.0,11,0.0,0.0,1.0,-1.0,-0.78,-0.64,Matches
Nílton,br BRA,MF,28.0,2,57.0,29.0,1.7,0.6,0,,0.0,2,28.0,0,3.0,1.0,1.0,0.0,0.0,0.16,Matches
