Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Marcelo Lomba,br BRA,GK,32.0,33.6,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,11,1,Matches
Víctor Cuesta,ar ARG,DF,30.0,30.1,73,49,48,22,3,40,58,69.0,18,42,23,19,64,137,104,1,Matches
Edenílson,br BRA,MF,29.0,27.5,28,20,13,14,1,14,41,34.1,27,28,9,19,25,53,21,1,Matches
Rodrigo Lindoso,br BRA,MF,29.0,26.4,49,23,15,28,6,24,50,48.0,26,40,12,28,52,101,46,2,Matches
Paolo Guerrero,pe PER,FW,35.0,22.3,11,4,2,9,0,0,9,0.0,9,7,3,4,2,13,25,0,Matches
Heitor,br BRA,DF,18.0,19.4,50,35,36,12,2,34,74,45.9,40,14,3,11,27,77,44,0,Matches
Patrick,br BRA,"MF,FW",26.0,19.3,73,47,44,20,9,31,62,50.0,31,20,3,17,13,86,12,0,Matches
Nonato,br BRA,MF,20.0,19.2,54,32,20,28,6,24,60,40.0,36,35,10,25,23,77,15,0,Matches
Zeca,br BRA,DF,24.0,18.9,40,31,19,18,3,18,32,56.3,14,20,4,16,13,53,47,1,Matches
Uendel,br BRA,DF,30.0,18.5,25,18,10,11,4,7,14,50.0,7,10,3,7,13,38,31,0,Matches
Nicolás López,uy URU,"FW,MF",25.0,17.6,19,12,7,8,4,5,22,22.7,17,11,0,11,4,23,5,0,Matches
Rodrigo Moledo,br BRA,DF,31.0,14.5,31,21,19,11,1,13,19,68.4,6,15,10,5,24,55,63,0,Matches
Andrés D'Alessandro,ar ARG,"MF,FW",37.0,16.8,11,5,3,6,2,8,23,34.8,15,5,0,5,7,18,2,0,Matches
Guilherme Parede,br BRA,"FW,MF",23.0,15.2,14,10,2,8,4,4,7,57.1,3,6,0,6,9,23,9,0,Matches
Rafael Sóbis,br BRA,"FW,MF",33.0,11.8,14,9,4,6,4,4,8,50.0,4,9,0,9,2,16,7,0,Matches
Emerson Santos,br BRA,DF,23.0,9.3,17,12,14,3,0,10,17,58.8,7,15,10,5,11,28,50,1,Matches
Bruno Fuchs,br BRA,DF,19.0,8.8,6,4,5,1,0,1,5,20.0,4,8,3,5,18,24,48,0,Matches
Neílton,br BRA,"FW,MF",24.0,8.5,25,13,8,13,4,11,23,47.8,12,10,0,10,3,28,2,0,Matches
Wellington Silva,br BRA,"FW,MF",26.0,10.3,11,6,6,3,2,7,19,36.8,12,11,1,10,9,20,3,0,Matches
Bruno Silva,br BRA,MF,32.0,6.6,16,13,6,6,4,5,25,20.0,20,4,0,4,11,27,6,0,Matches
Francisco Rithely,br BRA,MF,28.0,6.2,12,6,5,5,2,5,15,33.3,10,15,4,11,13,25,11,0,Matches
Natanael,br BRA,DF,28.0,6.1,15,10,8,6,1,8,18,44.4,10,6,2,4,4,19,11,0,Matches
William Pottker,br BRA,FW,25.0,5.7,10,8,3,6,1,4,8,50.0,4,0,0,0,5,15,3,1,Matches
Willian Klaus,br BRA,DF,25.0,8.3,6,3,4,2,0,2,7,28.6,5,13,8,5,19,25,61,0,Matches
Bruno Vieira,br BRA,DF,33.0,5.2,7,5,3,4,0,4,9,44.4,5,4,1,3,8,15,10,0,Matches
Martín Sarrafiore,ar ARG,"FW,MF",21.0,7.3,17,11,9,6,2,4,17,23.5,13,8,0,8,3,20,3,0,Matches
Iago,br BRA,DF,21.0,5.0,6,2,3,3,0,3,5,60.0,2,9,4,5,7,13,7,0,Matches
Roberto Rosa,br BRA,DF,20.0,5.0,7,4,4,3,0,3,3,100.0,0,5,5,0,4,11,30,0,Matches
Danilo Fernandes,br BRA,GK,30.0,4.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Santiago Tréllez,co COL,FW,29.0,3.3,2,2,0,1,1,1,4,25.0,3,1,1,0,0,2,5,0,Matches
Rodrigo Dourado,br BRA,MF,24.0,1.0,2,2,1,1,0,0,0,,0,1,0,1,5,7,3,0,Matches
Zé Gabriel,br BRA,MF,20.0,0.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0,Matches
Fernando Camilo Farias,br BRA,MF,32.0,0.6,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,Matches
Jonatan Álvez,uy URU,FW,30.0,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
Erik,br BRA,DF,17.0,0.9,7,5,6,1,0,3,3,100.0,0,0,0,0,1,8,2,0,Matches
Pedro Lucas,br BRA,"FW,DF",20.0,0.8,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,2,0,Matches
Johnny Cardoso,us USA,FW,17.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
José Aldo,br BRA,MF,20.0,0.1,2,2,1,1,0,0,0,,0,2,0,2,0,2,1,0,Matches
Squad Total,,,27.9,38.0,663,426,329,268,66,299,668,44.8,369,376,120,256,401,1064,705,8,
Opponent Total,,,27.6,38.0,596,402,281,256,59,237,677,35.0,440,342,124,218,398,994,807,13,
