Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-03-06,19:15,Libertadores,Group stage,Wed,Away,W,1,0,cl Palestino,1.3,0.8,45,,Rodrigo Dourado,4-3-3,4-3-1-2,Mario Díaz de Vivar,Match Report,
2019-03-13,21:30,Libertadores,Group stage,Wed,Home,W,2,0,pe Alianza Lima,0.8,1.0,47,,Rodrigo Dourado,4-3-3,4-2-3-1,Jesús Valenzuela,Match Report,
2019-04-03,19:15,Libertadores,Group stage,Wed,Home,D,2,2,ar River Plate,0.8,1.2,38,,Rodrigo Dourado,4-1-4-1,4-2-2-2,Esteban Ostojich,Match Report,
2019-04-09,21:30,Libertadores,Group stage,Tue,Home,W,3,2,cl Palestino,2.7,1.9,50,,Rodrigo Dourado,4-3-3,4-3-2-1,Carlos Orbe,Match Report,
2019-04-24,19:30,Libertadores,Group stage,Wed,Away,W,1,0,pe Alianza Lima,1.3,0.3,64,,Rodrigo Dourado,4-3-3,4-1-4-1,Raúl Orosco,Match Report,
2019-04-27,19:00,Série A,Matchweek 1,Sat,Away,L,0,2,Chapecoense,1.2,1.4,56,8231.0,Marcelo Lomba,4-3-3,4-2-3-1,Raphael Claus,Match Report,
2019-05-01,16:00,Série A,Matchweek 2,Wed,Home,W,2,1,Flamengo,1.4,0.9,46,37001.0,Rodrigo Dourado,4-3-3,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2019-05-04,19:00,Série A,Matchweek 3,Sat,Away,L,0,1,Palmeiras,0.3,1.2,65,31549.0,Marcelo Lomba,4-3-3,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2019-05-07,21:30,Libertadores,Group stage,Tue,Away,D,2,2,ar River Plate,1.3,1.9,38,,Rodrigo Dourado,4-3-3,4-2-2-2,Piero Maza,Match Report,
2019-05-12,16:00,Série A,Matchweek 4,Sun,Home,W,3,1,Cruzeiro,2.8,1.8,53,21483.0,Andrés D'Alessandro,4-3-3,4-2-3-1,Raphael Claus,Match Report,
2019-05-19,16:00,Série A,Matchweek 5,Sun,Home,W,2,0,CSA,1.2,0.9,63,24220.0,Andrés D'Alessandro,4-3-1-2,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,
2019-05-26,16:00,Série A,Matchweek 6,Sun,Away,D,0,0,Santos,0.8,0.4,38,12756.0,Marcelo Lomba,4-1-4-1,4-3-3,Rodolpho Toski Marques,Match Report,
2019-06-02,19:00,Série A,Matchweek 7,Sun,Home,W,2,0,Avaí,1.5,0.6,63,19789.0,Andrés D'Alessandro,4-2-3-1,4-3-3,Rodrigo Nunes de Sá,Match Report,
2019-06-07,20:30,Série A,Matchweek 8,Fri,Away,L,1,2,Vasco da Gama,1.7,1.2,69,11046.0,Marcelo Lomba,4-3-3,4-3-3,Heber Roberto Lopes,Match Report,
2019-06-12,21:30,Série A,Matchweek 9,Wed,Home,W,3,1,Bahia,1.9,1.8,46,15724.0,Andrés D'Alessandro,4-3-3,4-1-4-1,Paulo Roberto Alves Júnior,Match Report,
2019-07-14,16:00,Série A,Matchweek 10,Sun,Away,L,0,1,Ath Paranaense,1.0,2.1,40,12700.0,Marcelo Lomba,4-3-3,4-2-3-1,Braulio da Silva Machado,Match Report,
2019-07-20,19:00,Série A,Matchweek 11,Sat,Home,D,1,1,Grêmio,1.0,0.4,43,35103.0,Rafael Sóbis,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,
2019-07-24,19:15,Libertadores,Round of 16,Wed,Away,W,1,0,uy Nacional,0.6,1.1,49,,Andrés D'Alessandro,4-3-3,4-4-1-1,Néstor Pitana,Match Report,Leg 1 of 2
2019-07-27,19:00,Série A,Matchweek 12,Sat,Home,W,1,0,Ceará,1.3,0.5,54,11033.0,Marcelo Lomba,4-3-3,4-4-2,Marcelo de Lima Henrique,Match Report,
2019-07-31,19:15,Libertadores,Round of 16,Wed,Home,W,2,0,uy Nacional,2.4,0.5,59,,Andrés D'Alessandro,4-3-3,4-2-3-1,Fernando Rapallini,Match Report,Leg 2 of 2; Internacional won
2019-08-03,19:00,Série A,Matchweek 13,Sat,Away,L,1,2,Fluminense,0.8,2.4,39,16485.0,Marcelo Lomba,4-3-3,4-1-4-1,Rodolpho Toski Marques,Match Report,
2019-08-11,11:00,Série A,Matchweek 14,Sun,Home,D,0,0,Corinthians,0.4,0.8,56,32049.0,Andrés D'Alessandro,4-3-3,4-1-4-1,Caio Max Augusto Vieira,Match Report,
2019-08-17,17:00,Série A,Matchweek 15,Sat,Away,W,1,0,Fortaleza,0.6,0.9,45,38519.0,Danilo Fernandes,4-3-3,4-4-1-1,Braulio da Silva Machado,Match Report,
