Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Marcelo Lomba,br BRA,GK,33.0,37.0,4,0,0,0,3,0,0,2,1,0,0,0,28,2,2,50.0,Matches
Víctor Cuesta,ar ARG,DF,31.0,34.8,9,0,0,40,29,0,36,39,23,1,2,0,160,58,45,56.3,Matches
Patrick,br BRA,"MF,FW",27.0,28.9,3,0,0,43,70,1,53,25,40,0,0,0,186,53,52,50.5,Matches
Edenílson,br BRA,MF,30.0,30.9,6,0,0,41,32,4,111,39,18,0,0,0,193,36,39,48.0,Matches
Moisés,br BRA,DF,24.0,24.2,4,0,0,56,17,4,133,30,27,0,0,0,155,30,16,65.2,Matches
Thiago Galhardo,br BRA,FW,30.0,20.7,4,1,0,25,40,18,19,4,10,2,0,0,56,44,87,33.6,Matches
Rodinei,br BRA,DF,28.0,20.1,5,1,0,31,22,0,67,30,15,0,1,0,102,17,19,47.2,Matches
Bruno Praxedes,br BRA,MF,17.0,13.3,4,0,0,44,20,2,22,17,18,0,0,0,78,35,20,63.6,Matches
Zé Gabriel,br BRA,DF,21.0,17.2,1,1,0,19,19,0,0,26,18,0,1,0,65,20,21,48.8,Matches
Marcos Guilherme,br BRA,"MF,FW",24.0,14.0,2,0,0,22,12,8,27,5,13,0,0,0,51,4,14,22.2,Matches
Rodrigo Lindoso,br BRA,MF,30.0,18.8,6,0,0,40,18,1,12,31,18,0,0,0,111,36,28,56.3,Matches
Rodrigo Dourado,br BRA,MF,25.0,13.4,3,0,0,25,19,1,1,32,10,0,0,0,64,37,19,66.1,Matches
Yuri Alberto,br BRA,"FW,MF",18.0,14.4,3,0,0,48,28,6,6,2,3,1,0,0,34,43,57,43.0,Matches
Uendel,br BRA,DF,31.0,11.9,1,1,0,20,6,0,59,15,6,0,0,0,46,13,4,76.5,Matches
Caio Vidal,br BRA,"MF,FW",19.0,9.2,3,0,0,16,42,0,18,10,1,0,1,0,41,10,26,27.8,Matches
Lucas Ribeiro,br BRA,DF,21.0,11.1,1,0,0,15,6,0,2,18,7,0,0,0,56,19,23,45.2,Matches
Rodrigo Moledo,br BRA,DF,32.0,10.6,5,1,1,14,24,0,0,21,9,0,0,0,35,46,23,66.7,Matches
Abel Hernández,uy URU,FW,29.0,10.3,2,0,0,14,11,2,4,4,6,0,0,0,22,26,55,32.1,Matches
Heitor,br BRA,DF,19.0,9.7,3,1,0,14,17,0,43,20,21,0,0,0,46,7,14,33.3,Matches
Gabriel Boschilia,br BRA,"MF,FW",23.0,9.5,2,0,0,25,13,0,35,6,14,0,0,0,49,4,8,33.3,Matches
Renzo Saravia,ar ARG,DF,26.0,8.0,1,0,0,11,13,0,23,13,12,0,0,0,56,16,8,66.7,Matches
Damián Musto,ar ARG,MF,32.0,7.1,3,1,0,24,13,0,0,23,8,0,0,1,52,12,14,46.2,Matches
Johnny Cardoso,us USA,MF,18.0,5.3,0,0,0,4,8,0,0,11,8,0,0,0,30,16,10,61.5,Matches
Andrés D'Alessandro,ar ARG,"MF,FW",38.0,6.0,3,0,0,5,11,3,37,0,6,0,0,0,35,1,2,33.3,Matches
Nonato,br BRA,MF,21.0,4.8,3,0,0,16,16,0,4,3,9,0,0,0,26,3,14,17.6,Matches
Peglow,br BRA,"MF,FW",18.0,3.7,1,0,0,13,4,1,14,1,2,0,0,0,18,5,14,26.3,Matches
William Pottker,br BRA,"FW,MF",26.0,3.4,0,1,0,10,10,1,8,0,1,0,0,0,13,3,11,21.4,Matches
Mauricio,br BRA,"MF,FW",18.0,3.3,1,0,0,4,8,0,4,5,4,0,0,0,14,8,6,57.1,Matches
Leandro Fernández,ar ARG,"FW,MF",28.0,3.0,3,0,0,8,7,5,29,2,0,0,0,0,12,1,4,20.0,Matches
Paolo Guerrero,pe PER,FW,36.0,2.6,0,0,0,8,5,3,0,1,1,0,0,0,6,16,27,37.2,Matches
Bruno Fuchs,br BRA,DF,20.0,2.0,1,0,0,2,0,0,1,6,0,0,0,0,11,1,1,50.0,Matches
Martín Sarrafiore,ar ARG,FW,22.0,1.6,0,0,0,1,4,0,0,0,0,0,0,0,3,1,8,11.1,Matches
Jussa,br BRA,"MF,DF",23.0,1.2,2,0,0,5,1,0,1,2,0,0,0,0,9,2,3,40.0,Matches
Danilo Fernandes,br BRA,GK,31.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Muchacho,br BRA,FW,19.0,0.8,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,50.0,Matches
Pedro Henrique,br BRA,DF,19.0,0.7,1,0,0,2,1,0,0,1,0,0,0,0,4,2,3,40.0,Matches
Leonardo Borges,br BRA,DF,19.0,0.6,0,0,0,0,0,0,9,2,0,0,0,0,3,0,0,,Matches
Lucas Mazetti,br BRA,DF,18.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,50.0,Matches
Daniel,br BRA,GK,25.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.1,38.0,91,8,1,666,551,61,779,446,329,4,5,1,1873,631,701,47.4,
Opponent Total,,,26.8,38.0,95,3,1,587,635,52,625,413,324,4,10,2,1830,701,631,52.6,
