Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marcelo Lomba,br BRA,GK,33.0,37.0,1053,865,1050,3,0,0,1053,1,1,100.0,0,0.0,532,2446,1521,0,1,1,1,1,412,0,Matches
Víctor Cuesta,ar ARG,DF,31.0,34.8,2026,176,907,1021,115,17,2026,22,16,72.7,6,27.3,1295,7311,4183,29,21,0,14,4,1360,8,Matches
Patrick,br BRA,"MF,FW",27.0,28.9,1417,24,218,682,557,103,1417,151,90,59.6,61,40.4,838,5830,2684,96,82,36,100,73,954,164,Matches
Edenílson,br BRA,MF,30.0,30.9,1744,44,233,1005,529,48,1741,46,30,65.2,16,34.8,961,4599,2280,47,35,4,35,24,1139,118,Matches
Moisés,br BRA,DF,24.0,24.2,1540,80,415,679,468,19,1540,40,24,60.0,16,40.0,784,4684,2258,63,56,6,31,12,787,117,Matches
Thiago Galhardo,br BRA,FW,30.0,20.7,700,26,63,297,347,91,693,34,15,44.1,19,55.9,392,1975,1003,34,22,12,59,23,509,109,Matches
Rodinei,br BRA,DF,28.0,20.1,1115,47,274,510,353,16,1115,44,32,72.7,12,27.3,553,3798,2143,64,45,5,28,14,554,99,Matches
Bruno Praxedes,br BRA,MF,17.0,13.3,750,12,82,488,189,23,750,26,14,53.8,12,46.2,472,2980,1315,31,25,4,34,25,517,35,Matches
Zé Gabriel,br BRA,DF,21.0,17.2,1129,106,524,594,17,1,1129,10,8,80.0,2,20.0,707,4133,2810,32,7,0,6,4,773,1,Matches
Marcos Guilherme,br BRA,"MF,FW",24.0,14.0,567,8,63,286,223,19,567,7,1,14.3,6,85.7,353,2237,1073,32,25,4,25,5,409,69,Matches
Rodrigo Lindoso,br BRA,MF,30.0,18.8,1356,46,340,896,135,12,1356,4,4,100.0,0,0.0,799,3875,1867,18,20,0,7,8,920,15,Matches
Rodrigo Dourado,br BRA,MF,25.0,13.4,679,59,179,442,63,23,679,4,2,50.0,2,50.0,353,1528,736,6,10,0,15,2,381,4,Matches
Yuri Alberto,br BRA,"FW,MF",18.0,14.4,444,9,29,178,241,74,444,17,7,41.2,10,58.8,226,1279,584,20,9,11,35,18,316,112,Matches
Uendel,br BRA,DF,31.0,11.9,768,20,175,360,236,9,768,12,7,58.3,5,41.7,385,2004,1201,27,19,1,8,7,442,57,Matches
Caio Vidal,br BRA,"MF,FW",19.0,9.2,312,12,48,106,167,36,312,35,20,57.1,15,42.9,212,1633,732,28,20,13,38,17,214,90,Matches
Lucas Ribeiro,br BRA,DF,21.0,11.1,511,64,261,231,24,13,511,7,6,85.7,1,14.3,330,1789,1103,8,3,1,4,1,329,3,Matches
Rodrigo Moledo,br BRA,DF,32.0,10.6,606,95,326,277,7,4,606,3,3,100.0,0,0.0,333,2137,1058,6,2,0,4,2,342,2,Matches
Abel Hernández,uy URU,FW,29.0,10.3,277,7,18,123,138,43,277,8,4,50.0,4,50.0,142,461,110,5,3,4,27,12,201,52,Matches
Heitor,br BRA,DF,19.0,9.7,614,32,191,262,169,5,614,10,7,70.0,3,30.0,292,1331,656,14,12,2,15,4,337,45,Matches
Gabriel Boschilia,br BRA,"MF,FW",23.0,9.5,563,10,66,300,202,6,563,17,11,64.7,6,35.3,344,1739,696,14,21,1,18,13,365,37,Matches
Renzo Saravia,ar ARG,DF,26.0,8.0,477,12,114,239,128,7,477,10,7,70.0,3,30.0,235,1186,583,14,11,1,16,9,266,43,Matches
Damián Musto,ar ARG,MF,32.0,7.1,550,18,130,369,54,6,550,2,2,100.0,0,0.0,314,1263,610,4,3,0,7,2,366,5,Matches
Johnny Cardoso,us USA,MF,18.0,5.3,359,10,90,216,56,10,359,9,5,55.6,4,44.4,195,890,423,6,6,2,8,5,231,11,Matches
Andrés D'Alessandro,ar ARG,"MF,FW",38.0,6.0,475,7,43,246,192,10,475,8,8,100.0,0,0.0,308,1257,427,12,10,2,3,13,369,48,Matches
Nonato,br BRA,MF,21.0,4.8,267,1,22,177,72,6,267,7,5,71.4,2,28.6,158,853,448,7,4,1,6,6,186,9,Matches
Peglow,br BRA,"MF,FW",18.0,3.7,195,1,24,85,87,13,195,13,6,46.2,7,53.8,104,496,200,6,5,2,17,2,120,22,Matches
William Pottker,br BRA,"FW,MF",26.0,3.4,107,3,6,48,56,10,107,8,5,62.5,3,37.5,68,481,234,8,8,1,9,5,77,20,Matches
Mauricio,br BRA,"MF,FW",18.0,3.3,122,2,25,50,47,4,122,1,1,100.0,0,0.0,66,244,78,0,3,0,5,1,71,14,Matches
Leandro Fernández,ar ARG,"FW,MF",28.0,3.0,121,1,7,44,70,8,121,2,2,100.0,0,0.0,58,274,140,6,5,1,7,3,73,25,Matches
Paolo Guerrero,pe PER,FW,36.0,2.6,89,2,2,35,53,13,89,4,3,75.0,1,25.0,55,352,152,7,4,2,7,6,81,16,Matches
Bruno Fuchs,br BRA,DF,20.0,2.0,149,8,46,97,8,3,149,0,0,,0,,86,598,371,4,1,0,1,1,106,0,Matches
Martín Sarrafiore,ar ARG,FW,22.0,1.6,46,0,2,17,28,8,46,2,1,50.0,1,50.0,26,133,32,1,2,0,6,2,31,9,Matches
