Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marcelo Lomba,br BRA,GK,33.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Víctor Cuesta,ar ARG,DF,31.0,34.8,1,10,4,40.0,0.29,0.11,0.1,0.25,15.8,3,0,0,0.9,0.9,0.09,0.1,0.1,Matches
Patrick,br BRA,"MF,FW",27.0,28.9,6,40,12,30.0,1.38,0.41,0.15,0.5,13.8,0,0,0,4.8,4.8,0.13,1.2,1.2,Matches
Edenílson,br BRA,MF,30.0,30.9,6,38,10,26.3,1.23,0.32,0.08,0.3,20.8,4,3,3,6.2,3.9,0.1,-0.2,-0.9,Matches
Moisés,br BRA,DF,24.0,24.2,0,10,1,10.0,0.41,0.04,0.0,0.0,24.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Thiago Galhardo,br BRA,FW,30.0,20.7,17,64,28,43.8,3.1,1.36,0.17,0.39,15.5,0,6,7,14.0,8.5,0.13,3.0,2.5,Matches
Rodinei,br BRA,DF,28.0,20.1,0,8,3,37.5,0.4,0.15,0.0,0.0,21.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Bruno Praxedes,br BRA,MF,17.0,13.3,1,19,2,10.5,1.43,0.15,0.05,0.5,22.6,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Zé Gabriel,br BRA,DF,21.0,17.2,0,1,0,0.0,0.06,0.0,0.0,,32.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Marcos Guilherme,br BRA,"MF,FW",24.0,14.0,0,11,4,36.4,0.78,0.29,0.0,0.0,20.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
Rodrigo Lindoso,br BRA,MF,30.0,18.8,0,11,4,36.4,0.59,0.21,0.0,0.0,22.7,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
Rodrigo Dourado,br BRA,MF,25.0,13.4,3,9,5,55.6,0.67,0.37,0.33,0.6,8.7,0,0,0,0.7,0.7,0.07,2.3,2.3,Matches
Yuri Alberto,br BRA,"FW,MF",18.0,14.4,10,50,23,46.0,3.46,1.59,0.2,0.43,13.9,0,0,0,8.1,8.1,0.17,1.9,1.9,Matches
Uendel,br BRA,DF,31.0,11.9,0,5,1,20.0,0.42,0.08,0.0,0.0,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Caio Vidal,br BRA,"MF,FW",19.0,9.2,2,23,6,26.1,2.5,0.65,0.09,0.33,17.1,0,0,0,1.7,1.7,0.07,0.3,0.3,Matches
