Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Víctor Cuesta,ar ARG,DF,32.0,35,34,3090.0,34.3,0.0,5.0,5.0,0.0,0.0,0.0,11.0,0.0,0.8,0.8,2.1,2.9,24.0,133.0,10.0,0.0,0.15,0.15,0.0,0.15,0.02,0.06,0.08,0.02,0.08,Matches
Patrick,br BRA,"FW,MF",28.0,34,32,2485.0,27.6,3.0,4.0,7.0,3.0,0.0,0.0,1.0,2.0,5.8,5.8,4.0,9.8,75.0,80.0,184.0,0.11,0.14,0.25,0.11,0.25,0.21,0.14,0.35,0.21,0.35,Matches
Yuri Alberto,br BRA,FW,19.0,33,31,2687.0,29.9,12.0,3.0,15.0,12.0,0.0,0.0,7.0,0.0,14.2,14.2,4.7,18.9,47.0,40.0,217.0,0.4,0.1,0.5,0.4,0.5,0.48,0.16,0.63,0.48,0.63,Matches
Edenílson,br BRA,"MF,FW",31.0,33,30,2711.0,30.1,11.0,7.0,18.0,5.0,6.0,6.0,5.0,1.0,8.5,3.8,6.2,9.9,61.0,154.0,108.0,0.37,0.23,0.6,0.17,0.4,0.28,0.21,0.49,0.12,0.33,Matches
Rodrigo Dourado,br BRA,MF,26.0,29,28,2296.0,25.5,2.0,2.0,4.0,2.0,0.0,0.0,10.0,0.0,0.8,0.8,1.8,2.7,13.0,118.0,29.0,0.08,0.08,0.16,0.08,0.16,0.03,0.07,0.11,0.03,0.11,Matches
Bruno Méndez,uy URU,DF,21.0,25,25,2217.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.0,0.7,8.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Moisés,br BRA,DF,25.0,26,25,2086.0,23.2,0.0,2.0,2.0,0.0,0.0,0.0,10.0,1.0,0.8,0.8,2.8,3.5,73.0,83.0,132.0,0.0,0.09,0.09,0.0,0.09,0.03,0.12,0.15,0.03,0.15,Matches
Renzo Saravia,ar ARG,DF,27.0,27,25,1984.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,1.7,1.8,49.0,69.0,60.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08,0.01,0.08,Matches
Daniel,br BRA,GK,26.0,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Lindoso,br BRA,MF,31.0,26,22,1742.0,19.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,0.8,2.1,15.0,111.0,15.0,0.1,0.0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,Matches
Taison,br BRA,"MF,FW",33.0,22,22,1668.0,18.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.9,2.9,4.6,7.5,110.0,150.0,84.0,0.22,0.05,0.27,0.22,0.27,0.16,0.25,0.41,0.16,0.41,Matches
Mauricio,br BRA,"MF,FW",19.0,30,15,1420.0,15.8,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.6,3.6,2.2,5.8,37.0,60.0,95.0,0.06,0.19,0.25,0.06,0.25,0.23,0.14,0.37,0.23,0.37,Matches
Marcelo Lomba,br BRA,GK,34.0,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Johnny Cardoso,us USA,MF,19.0,27,11,1211.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,11.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,Matches
Heitor,br BRA,DF,20.0,24,11,1158.0,12.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.9,1.3,25.0,39.0,58.0,0.0,0.16,0.16,0.0,0.16,0.03,0.07,0.1,0.03,0.1,Matches
Caio Vidal,br BRA,"FW,MF",20.0,20,11,944.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.3,2.3,0.4,2.7,28.0,17.0,77.0,0.1,0.0,0.1,0.1,0.1,0.22,0.04,0.26,0.22,0.26,Matches
Gabriel Mercado,ar ARG,DF,33.0,12,9,841.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,0.4,0.9,3.0,22.0,19.0,0.11,0.0,0.11,0.11,0.11,0.06,0.04,0.1,0.06,0.1,Matches
Carlos Palacios,cl CHI,"MF,FW",20.0,20,8,893.0,9.9,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,1.7,1.7,2.8,4.4,32.0,40.0,53.0,0.0,0.3,0.3,0.0,0.3,0.17,0.28,0.45,0.17,0.45,Matches
Paulo Victor,br BRA,DF,19.0,19,8,858.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.6,0.6,19.0,25.0,38.0,0.0,0.1,0.1,0.0,0.1,0.0,0.06,0.06,0.0,0.06,Matches
Lucas Ribeiro,br BRA,DF,22.0,7,6,421.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Thiago Galhardo,br BRA,FW,31.0,9,5,460.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.4,2.5,6.0,9.0,22.0,0.2,0.0,0.2,0.2,0.2,0.21,0.27,0.48,0.21,0.48,Matches
Pedro Henrique,br BRA,DF,20.0,5,4,359.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.1,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Zé Gabriel,br BRA,"DF,MF",22.0,9,3,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Leonardo Borges,br BRA,"DF,FW",20.0,5,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Gabriel Boschilia,br BRA,MF,24.0,16,2,527.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,1.0,11.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.17,0.12,0.17,Matches
Kaique Rocha,br BRA,DF,19.0,3,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Juan Cuesta,co COL,"FW,MF",18.0,4,2,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches
Lucas Ramos,br BRA,"MF,FW",20.0,2,2,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.25,0.06,0.25,Matches
Paolo Guerrero,pe PER,"FW,MF",37.0,9,1,225.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.4,2.0,5.0,14.0,0.4,0.0,0.4,0.4,0.4,0.51,0.07,0.58,0.51,0.58,Matches
Matheus Cadorini,br BRA,"FW,MF",18.0,8,1,193.0,2.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.1,3.0,3.0,15.0,0.93,0.0,0.93,0.93,0.93,0.4,0.13,0.53,0.4,0.53,Matches
Bruno Praxedes,br BRA,MF,18.0,2,1,108.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,3.0,5.0,5.0,0.83,0.0,0.83,0.83,0.83,0.23,0.12,0.36,0.23,0.36,Matches
Nonato,br BRA,MF,22.0,3,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Gustavo Maia,br BRA,"FW,MF",20.0,8,0,155.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,1.0,4.0,14.0,0.58,0.0,0.58,0.58,0.58,0.35,0.0,0.35,0.35,0.35,Matches
Vinicius Mello,br BRA,FW,18.0,8,0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches
Thauan Lara,br BRA,DF,17.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Peglow,br BRA,"MF,DF",19.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches
Danilo Fernandes,br BRA,GK,32.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,Matches
Vitor Hugo,br BRA,GK,19.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,Matches
Anthoni,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Emerson Júnior,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Mazetti,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolas,br BRA,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vinicius Tobias,br BRA,DF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Vital,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.2,38,418,3420.0,38.0,43.0,33.0,76.0,37.0,6.0,6.0,105.0,11.0,50.6,45.9,39.0,84.9,672.0,1354.0,1337.0,1.13,0.87,2.0,0.97,1.84,1.33,1.03,2.36,1.21,2.24,
