Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Vitão,br BRA,DF,21.0,31.0,1056,1241,85.1,22251,7775,267,294,90.8,630,683,92.2,148,238,62.2,0,0.0,0.2,0.0,1,63,2,0,41,Matches
Fabricio Bustos,ar ARG,DF,25.0,29.7,1340,1708,78.5,21212,8393,705,793,88.9,512,630,81.3,92,197,46.7,3,2.5,2.8,0.5,27,107,30,6,142,Matches
Carlos de Pena,uy URU,"MF,FW",29.0,29.3,1272,1735,73.3,22762,7705,588,696,84.5,513,660,77.7,148,288,51.4,6,7.4,6.7,-1.4,62,187,33,9,210,Matches
Renê,br BRA,DF,29.0,27.5,1481,1795,82.5,25570,11499,681,764,89.1,617,726,85.0,154,223,69.1,1,1.5,2.2,-0.5,19,172,24,6,173,Matches
Edenílson,br BRA,MF,32.0,24.3,946,1131,83.6,15410,4727,484,532,91.0,354,405,87.4,79,127,62.2,3,3.1,2.5,-0.1,40,110,25,4,114,Matches
Gabriel,br BRA,MF,29.0,23.8,1267,1423,89.0,20907,5968,630,701,89.9,498,533,93.4,108,125,86.4,0,0.5,1.0,-0.5,9,122,12,3,131,Matches
Gabriel Mercado,ar ARG,DF,34.0,23.6,923,1029,89.7,17032,6086,342,364,94.0,483,522,92.5,83,114,72.8,0,0.2,0.1,-0.2,4,38,0,0,52,Matches
Daniel,br BRA,GK,27.0,23.0,385,566,68.0,10811,8666,97,98,99.0,140,144,97.2,132,307,43.0,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Alexandre Alemão,br BRA,FW,23.0,22.3,298,455,65.5,4212,924,175,230,76.1,89,131,67.9,17,25,68.0,5,2.4,1.9,2.6,21,24,19,3,46,Matches
Wanderson,br BRA,"FW,MF",27.0,17.8,436,555,78.6,6066,1413,263,293,89.8,145,182,79.7,14,35,40.0,3,3.1,3.3,-0.1,24,15,30,11,55,Matches
Alan Patrick,br BRA,"MF,FW",30.0,17.5,735,880,83.5,11649,2986,398,445,89.4,270,303,89.1,54,91,59.3,4,2.9,3.0,1.1,49,72,30,2,114,Matches
Mauricio,br BRA,"FW,MF",20.0,17.4,527,696,75.7,7492,1857,298,352,84.7,170,209,81.3,26,49,53.1,5,4.5,3.6,0.5,35,36,24,7,70,Matches
Johnny Cardoso,us USA,MF,20.0,15.7,650,762,85.3,10046,2793,344,373,92.2,242,280,86.4,38,53,71.7,2,2.0,1.4,0.0,20,61,8,1,75,Matches
Pedro Henrique,br BRA,"FW,MF",31.0,17.7,334,522,64.0,5191,926,190,254,74.8,101,161,62.7,28,69,40.6,3,3.6,3.4,-0.6,22,16,17,11,22,Matches
Keiller,br BRA,GK,25.0,15.0,238,359,66.3,6701,5071,44,44,100.0,98,100,98.0,79,198,39.9,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Rodrigo Moledo,br BRA,DF,34.0,13.5,456,522,87.4,8578,2656,147,162,90.7,267,293,91.1,35,51,68.6,0,0.3,0.1,-0.3,3,18,0,0,23,Matches
David,br BRA,FW,26.0,9.1,167,233,71.7,2419,550,96,116,82.8,58,80,72.5,6,10,60.0,2,1.3,1.8,0.7,5,10,11,0,26,Matches
Moisés,br BRA,DF,26.0,6.5,267,331,80.7,4169,1574,156,176,88.6,91,114,79.8,16,31,51.6,1,0.9,0.6,0.1,7,24,2,2,18,Matches
