Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Vitão,br BRA,DF,21.0,31,2787.0,90.0,81.5,31.0,31,90.0,29,0,,4,1.97,50.0,24.0,26.0,0.84,0.7,45.6,37.6,8.0,0.26,-0.14,Matches
Fabricio Bustos,ar ARG,DF,25.0,31,2673.0,86.0,78.2,29.7,31,86.0,25,0,,0,2.03,46.0,22.0,24.0,0.81,0.45,40.8,32.2,8.6,0.29,0.03,Matches
Carlos de Pena,uy URU,"MF,FW",29.0,34,2634.0,77.0,77.0,29.3,30,84.0,18,4,26.0,0,1.91,48.0,25.0,23.0,0.79,0.33,43.8,36.5,7.4,0.25,-0.14,Matches
Renê,br BRA,DF,29.0,28,2475.0,88.0,72.4,27.5,27,90.0,27,1,45.0,0,2.14,44.0,17.0,27.0,0.98,0.98,38.4,31.6,6.7,0.25,-0.14,Matches
Edenílson,br BRA,MF,32.0,31,2184.0,70.0,63.9,24.3,24,84.0,14,7,23.0,0,1.74,31.0,21.0,10.0,0.41,-0.83,34.1,32.1,2.0,0.08,-0.55,Matches
Gabriel,br BRA,MF,29.0,26,2144.0,82.0,62.7,23.8,24,88.0,23,2,15.0,3,1.96,38.0,18.0,20.0,0.84,0.35,37.5,27.1,10.4,0.44,0.41,Matches
Gabriel Mercado,ar ARG,DF,34.0,26,2128.0,82.0,62.2,23.6,23,87.0,19,3,44.0,5,1.96,41.0,19.0,22.0,0.93,0.58,37.0,26.2,10.8,0.46,0.46,Matches
Daniel,br BRA,GK,27.0,23,2070.0,90.0,60.5,23.0,23,90.0,23,0,,5,1.83,39.0,21.0,18.0,0.78,0.18,35.5,28.9,6.6,0.29,0.01,Matches
Alexandre Alemão,br BRA,FW,23.0,34,2005.0,59.0,58.6,22.3,22,75.0,2,12,30.0,1,1.91,38.0,16.0,22.0,0.99,0.67,34.6,25.1,9.5,0.43,0.35,Matches
Wanderson,br BRA,"FW,MF",27.0,26,1605.0,62.0,46.9,17.8,21,71.0,1,5,22.0,0,2.04,27.0,11.0,16.0,0.9,0.35,22.9,18.0,4.9,0.28,-0.01,Matches
Alan Patrick,br BRA,"MF,FW",30.0,26,1576.0,61.0,46.1,17.5,20,72.0,1,6,24.0,0,1.96,26.0,17.0,9.0,0.51,-0.36,25.9,20.6,5.3,0.3,0.04,Matches
Mauricio,br BRA,"FW,MF",20.0,32,1566.0,49.0,45.8,17.4,19,68.0,0,13,22.0,2,1.97,34.0,13.0,21.0,1.21,0.92,27.1,20.4,6.7,0.38,0.18,Matches
Johnny Cardoso,us USA,MF,20.0,24,1410.0,59.0,41.2,15.7,17,73.0,3,7,25.0,8,2.21,23.0,15.0,8.0,0.51,-0.34,23.4,15.9,7.5,0.48,0.33,Matches
Pedro Henrique,br BRA,"FW,MF",31.0,32,1592.0,50.0,46.5,17.7,16,76.0,2,16,23.0,0,1.88,28.0,17.0,11.0,0.62,-0.17,27.9,22.7,5.2,0.3,0.03,Matches
Keiller,br BRA,GK,25.0,15,1350.0,90.0,39.5,15.0,15,90.0,15,0,,21,1.88,20.0,13.0,7.0,0.47,-0.4,20.4,16.2,4.2,0.28,-0.01,Matches
Rodrigo Moledo,br BRA,DF,34.0,20,1218.0,61.0,35.6,13.5,14,83.0,12,6,9.0,5,2.2,22.0,10.0,12.0,0.89,0.27,21.9,13.4,8.5,0.63,0.54,Matches
David,br BRA,FW,26.0,21,819.0,39.0,23.9,9.1,10,64.0,0,11,16.0,11,1.57,10.0,10.0,0.0,0.0,-0.93,12.4,12.5,-0.2,-0.02,-0.4,Matches
Moisés,br BRA,DF,26.0,8,589.0,74.0,17.2,6.5,7,84.0,4,1,2.0,5,1.38,10.0,8.0,2.0,0.31,-0.49,12.2,7.8,4.4,0.67,0.47,Matches
Taison,br BRA,"MF,FW",34.0,20,726.0,36.0,21.2,8.1,5,76.0,1,15,23.0,5,2.05,13.0,8.0,5.0,0.62,-0.12,14.3,11.6,2.6,0.33,0.06,Matches
Liziero,br BRA,MF,23.0,14,505.0,36.0,14.8,5.6,5,72.0,2,9,16.0,11,2.0,5.0,4.0,1.0,0.18,-0.62,6.6,6.1,0.5,0.08,-0.23,Matches
Kaique Rocha,br BRA,DF,20.0,7,452.0,65.0,13.2,5.0,5,84.0,4,2,15.0,22,1.0,4.0,9.0,-5.0,-1.0,-1.97,5.1,8.2,-3.1,-0.61,-1.03,Matches
Rodrigo Dourado,br BRA,MF,27.0,8,450.0,56.0,13.2,5.0,5,81.0,3,3,14.0,3,2.0,7.0,5.0,2.0,0.4,-0.36,5.1,6.7,-1.6,-0.32,-0.7,Matches
Bruno Méndez,uy URU,DF,22.0,6,436.0,73.0,12.7,4.8,4,90.0,3,2,39.0,2,1.43,6.0,4.0,2.0,0.41,-0.34,4.9,7.4,-2.5,-0.52,-0.92,Matches
Heitor,br BRA,DF,21.0,5,395.0,79.0,11.5,4.4,4,84.0,2,1,60.0,13,1.8,6.0,4.0,2.0,0.46,-0.29,8.1,6.1,2.0,0.46,0.2,Matches
Thauan Lara,br BRA,"DF,FW",18.0,7,345.0,49.0,10.1,3.8,4,74.0,2,3,17.0,17,1.29,5.0,4.0,1.0,0.26,-0.5,5.3,4.5,0.8,0.22,-0.07,Matches
Wesley Moraes,br BRA,FW,25.0,8,301.0,38.0,8.8,3.3,4,56.0,0,4,20.0,4,1.63,4.0,3.0,1.0,0.3,-0.45,5.2,4.8,0.4,0.12,-0.18,Matches
Braian Romero,ar ARG,FW,30.0,17,346.0,20.0,10.1,3.8,2,59.0,0,15,15.0,2,2.18,6.0,3.0,3.0,0.78,0.08,5.8,4.3,1.5,0.39,0.12,Matches
Igor Gomes,br BRA,DF,20.0,3,113.0,38.0,3.3,1.3,2,56.0,0,1,2.0,7,2.33,0.0,1.0,-1.0,-0.8,-1.56,1.2,1.6,-0.3,-0.27,-0.57,Matches
Caio Vidal,br BRA,"FW,MF",21.0,7,156.0,22.0,4.6,1.7,1,90.0,1,6,11.0,4,1.71,3.0,3.0,0.0,0.0,-0.74,3.1,2.5,0.6,0.37,0.09,Matches
Matheus Dias,br BRA,MF,24.0,2,108.0,54.0,3.2,1.2,1,77.0,0,1,31.0,6,3.0,2.0,0.0,2.0,1.67,0.99,1.1,1.4,-0.4,-0.32,-0.62,Matches
Matheus Cadorini,br BRA,FW,19.0,3,87.0,29.0,2.5,1.0,1,45.0,0,2,21.0,7,0.67,1.0,1.0,0.0,0.0,-0.73,1.2,1.8,-0.6,-0.61,-0.92,Matches
Andrés D'Alessandro,ar ARG,FW,40.0,1,71.0,71.0,2.1,0.8,1,71.0,0,0,,0,3.0,1.0,1.0,0.0,0.0,-0.73,1.2,0.8,0.4,0.52,0.24,Matches
Estevão,br BRA,"FW,MF",19.0,8,108.0,14.0,3.2,1.2,0,,0,8,14.0,22,1.75,1.0,0.0,1.0,0.83,0.13,0.9,1.3,-0.4,-0.37,-0.67,Matches
Lucas Ramos,br BRA,"MF,FW",21.0,9,78.0,9.0,2.3,0.9,0,,0,9,9.0,17,1.67,1.0,0.0,1.0,1.15,0.45,1.4,1.2,0.2,0.23,-0.06,Matches
Gabriel Boschilia,br BRA,"MF,FW",25.0,4,56.0,14.0,1.6,0.6,0,,0,4,14.0,4,2.25,2.0,1.0,1.0,1.61,0.91,1.1,0.5,0.6,0.91,0.64,Matches
Weverton,br BRA,DF,22.0,1,45.0,45.0,1.3,0.5,0,,0,1,45.0,13,3.0,2.0,0.0,2.0,4.0,3.33,1.8,0.5,1.3,2.59,2.33,Matches
Gustavo Maia,br BRA,FW,21.0,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,7,3.0,0.0,0.0,0.0,0.0,-0.71,0.2,0.0,0.1,0.9,0.61,Matches
Anthoni,br BRA,GK,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Emerson Júnior,br BRA,GK,21.0,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Mikael,br BRA,FW,22.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Roberto Rosa,br BRA,DF,23.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Gustavo Silva,br BRA,MF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Paulo Victor,br BRA,DF,20.0,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Squad Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,81.0,236,181,20.0,267,1.92,58.0,31.0,27.0,0.71,,55.8,45.1,10.8,0.28,,
Opponent Total,,,27.3,38,3420.0,90.0,100.0,38.0,418,81.0,237,179,21.0,264,0.74,31.0,58.0,-27.0,-0.71,,45.1,55.8,-10.8,-0.28,,
