Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vitão,br BRA,DF,21.0,31,31,2787.0,31.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,41.0,1.0,0.06,0.0,0.06,0.06,0.06,0.03,0.0,0.03,0.03,0.03,Matches
Fabricio Bustos,ar ARG,DF,25.0,31,31,2673.0,29.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,2.5,4.0,45.0,142.0,138.0,0.07,0.1,0.17,0.07,0.17,0.05,0.08,0.14,0.05,0.14,Matches
Carlos de Pena,uy URU,"MF,FW",29.0,34,30,2634.0,29.3,5.0,6.0,11.0,3.0,2.0,3.0,6.0,0.0,5.1,2.7,7.4,10.1,56.0,210.0,123.0,0.17,0.21,0.38,0.1,0.31,0.17,0.25,0.43,0.09,0.35,Matches
Renê,br BRA,DF,29.0,28,27,2475.0,27.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.5,1.7,59.0,173.0,70.0,0.0,0.04,0.04,0.0,0.04,0.01,0.06,0.06,0.01,0.06,Matches
Edenílson,br BRA,MF,32.0,31,24,2184.0,24.3,6.0,3.0,9.0,3.0,3.0,3.0,3.0,0.0,6.3,4.0,3.1,7.0,54.0,114.0,81.0,0.25,0.12,0.37,0.12,0.25,0.26,0.13,0.39,0.16,0.29,Matches
Gabriel,br BRA,MF,29.0,26,24,2144.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,28.0,131.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Gabriel Mercado,ar ARG,DF,34.0,26,23,2128.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.4,0.4,0.2,0.6,13.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
Daniel,br BRA,GK,27.0,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandre Alemão,br BRA,FW,23.0,34,22,2005.0,22.3,8.0,5.0,13.0,8.0,0.0,0.0,3.0,0.0,6.5,6.5,2.4,8.9,38.0,46.0,164.0,0.36,0.22,0.58,0.36,0.58,0.29,0.11,0.4,0.29,0.4,Matches
