Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Gutieri Tomelin,it ITA,DF,23.0,32.3,10,0,0,,,,,,,,,1,Matches
Agenor Detofol,br BRA,GK,25.0,32.0,1,0,0,,,,,,,,,0,Matches
Anselmo de Moraes,br BRA,MF,25.0,27.0,9,0,0,,,,,,,,,0,Matches
Diego,br BRA,DF,19.0,23.1,5,2,1,,,,,,,,,0,Matches
Marcelinho Paraíba,br BRA,"FW,MF",39.0,20.0,5,0,0,,,,,,,,,0,Matches
Naldo,br BRA,MF,24.0,19.6,8,1,1,,,,,,,,,0,Matches
Kempes,br BRA,FW,32.0,22.3,8,0,0,,,,,,,,,0,Matches
Mario Sérgio,br BRA,DF,23.0,20.2,5,0,0,,,,,,,,,0,Matches
Kadu,br BRA,MF,18.0,15.2,9,1,1,,,,,,,,,0,Matches
Bruno Aguiar,br BRA,DF,28.0,18.0,4,0,0,,,,,,,,,0,Matches
Lucas Crispim,br BRA,"DF,MF",20.0,16.2,4,1,0,,,,,,,,,0,Matches
Willian Popp,br BRA,FW,20.0,15.0,2,0,0,,,,,,,,,0,Matches
Edson Ratinho,br BRA,"DF,MF",28.0,13.4,6,1,1,,,,,,,,,0,Matches
Edigar Junio,br BRA,FW,23.0,14.4,1,0,0,,,,,,,,,0,Matches
Rafael Donato,br BRA,DF,25.0,8.7,2,0,0,,,,,,,,,0,Matches
Rogério,br BRA,DF,30.0,8.1,2,1,0,,,,,,,,,0,Matches
Douglas da Silva,br BRA,DF,30.0,8.0,1,0,0,,,,,,,,,0,Matches
Marion,br BRA,FW,23.0,8.0,3,0,0,,,,,,,,,0,Matches
Marcelo Costa,br BRA,MF,34.0,7.7,2,0,0,,,,,,,,,0,Matches
Danrlei,br BRA,DF,20.0,7.1,2,0,0,,,,,,,,,0,Matches
Fabrício de Souza,br BRA,"DF,MF",32.0,6.9,4,0,0,,,,,,,,,0,Matches
Dankler,br BRA,DF,23.0,6.5,2,0,0,,,,,,,,,0,Matches
Oliveira,br BRA,GK,33.0,6.0,0,0,0,,,,,,,,,0,Matches
Augusto César Moreira,br BRA,MF,22.0,5.2,1,0,0,,,,,,,,,0,Matches
Fernando Viana,br BRA,FW,22.0,5.8,2,0,0,,,,,,,,,0,Matches
Domingues,br BRA,DF,26.0,5.1,1,0,0,,,,,,,,,0,Matches
Sueliton Pereira,br BRA,DF,28.0,3.9,0,0,0,,,,,,,,,0,Matches
Italo Melo,br BRA,"FW,MF",21.0,3.7,0,0,0,,,,,,,,,0,Matches
Silvio Junior,br BRA,"FW,MF",24.0,4.4,1,0,0,,,,,,,,,0,Matches
Arnaldo,br BRA,DF,22.0,3.4,1,0,0,,,,,,,,,0,Matches
Niltinho,br BRA,MF,21.0,3.2,0,0,0,,,,,,,,,0,Matches
Ricardo Bueno,br BRA,FW,27.0,3.0,0,0,0,,,,,,,,,0,Matches
Héracles,br BRA,DF,22.0,3.0,1,0,0,,,,,,,,,0,Matches
Rafael Costa,br BRA,FW,27.0,2.6,1,0,0,,,,,,,,,0,Matches
Tiago Luís,br BRA,"FW,MF",25.0,2.6,1,0,0,,,,,,,,,0,Matches
William Henrique,br BRA,FW,23.0,1.8,0,0,0,,,,,,,,,0,Matches
Alef Vieira Santos,br BRA,DF,21.0,2.4,0,1,0,,,,,,,,,0,Matches
Renato,br BRA,MF,23.0,2.0,0,0,0,,,,,,,,,0,Matches
Welinton Júnior,br BRA,"FW,MF",21.0,1.3,1,0,0,,,,,,,,,0,Matches
Jael Ferreira,br BRA,FW,26.0,1.4,0,0,0,,,,,,,,,0,Matches
Mariano Trípodi,ar ARG,FW,27.0,1.4,0,0,0,,,,,,,,,0,Matches
Wellington Saci,br BRA,DF,30.0,1.1,0,0,0,,,,,,,,,0,Matches
Juninho,br BRA,MF,19.0,0.9,1,0,0,,,,,,,,,0,Matches
Yuri Naves Roberto,br BRA,MF,25.0,1.1,0,0,0,,,,,,,,,0,Matches
Luiz Meneses,br BRA,MF,18.0,0.6,0,0,0,,,,,,,,,0,Matches
Matheus Albino,br BRA,GK,19.0,0.3,0,0,0,,,,,,,,,0,Matches
Squad Total,,,25.7,38.0,106,8,4,,,,,,,,,1,
Opponent Total,,,26.5,38.0,80,2,1,,,,,,,,,1,
