Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Vitor Mendes,br BRA,DF,21.0,34.0,26,14,22,3,1,15,29,51.7,14,41,33,8,39,65,159,1,Matches
Guilherme Carvalho,br BRA,MF,21.0,29.1,44,25,17,23,4,20,70,28.6,50,33,0,33,22,66,27,0,Matches
William Matheus,br BRA,DF,30.0,31.5,51,32,31,16,4,30,42,71.4,12,31,9,22,45,96,78,0,Matches
Michel,br BRA,DF,30.0,30.1,26,17,12,12,2,11,22,50.0,11,12,2,10,51,77,59,0,Matches
Rafael Forster,br BRA,DF,30.0,29.3,42,23,29,11,2,28,54,51.9,26,31,12,19,43,85,134,0,Matches
Marcos Vinicios Sorriso,br BRA,"FW,MF",19.0,25.4,40,24,14,23,3,11,45,24.4,34,23,3,20,14,54,34,0,Matches
Dawhan,br BRA,MF,24.0,20.7,23,15,10,11,2,9,29,31.0,20,19,9,10,33,56,40,0,Matches
Jadson,br BRA,MF,27.0,18.9,48,21,25,14,9,25,53,47.2,28,20,7,13,19,67,10,0,Matches
Marcelo Carné,br BRA,GK,30.0,21.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,12,1,Matches
Ricardo Bueno,br BRA,FW,33.0,17.5,18,9,2,11,5,8,18,44.4,10,8,2,6,1,19,14,0,Matches
Wescley,br BRA,"FW,MF",29.0,18.2,16,9,7,5,4,6,23,26.1,17,10,2,8,3,19,5,1,Matches
Capixaba,br BRA,"FW,MF",24.0,17.0,31,13,13,16,2,13,40,32.5,27,27,4,23,10,41,18,0,Matches
Douglas Friedrich,br BRA,GK,32.0,17.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,4,0,Matches
Paulinho Bóia,br BRA,"FW,MF",22.0,14.8,21,8,11,7,3,15,37,40.5,22,11,2,9,10,31,3,0,Matches
Matheus Jesus,br BRA,MF,23.0,10.2,19,11,9,9,1,7,22,31.8,15,19,3,16,16,35,13,0,Matches
Matheus Peixoto,br BRA,FW,25.0,10.5,5,3,0,3,2,1,8,12.5,7,8,1,7,3,8,16,0,Matches
Juan Quintero,co COL,DF,25.0,10.1,13,6,11,2,0,10,16,62.5,6,10,10,0,21,34,38,0,Matches
Chico,br BRA,"MF,FW",29.0,13.4,28,15,5,16,7,9,29,31.0,20,12,2,10,10,38,5,0,Matches
Elton,br BRA,MF,30.0,8.3,10,8,7,3,0,7,15,46.7,8,6,3,3,12,22,10,0,Matches
Paulo Henrique,br BRA,"DF,MF",24.0,8.6,26,16,12,12,2,12,22,54.5,10,16,2,14,12,38,16,1,Matches
Wágner,br BRA,"MF,FW",36.0,5.7,2,1,1,1,0,1,9,11.1,8,3,1,2,5,7,4,0,Matches
Alyson Neves,br BRA,DF,24.0,4.0,8,5,3,4,1,3,6,50.0,3,3,2,1,8,16,18,0,Matches
Vinicius José Ignácio,br BRA,DF,29.0,4.1,4,1,2,2,0,0,1,0.0,1,7,5,2,5,9,19,0,Matches
Roberson,br BRA,FW,31.0,3.5,4,3,1,2,1,1,5,20.0,4,1,0,1,0,4,4,0,Matches
Ricardinho,br BRA,MF,31.0,3.4,16,10,8,7,1,6,10,60.0,4,5,2,3,5,21,0,0,Matches
João Paulo,br BRA,MF,35.0,1.8,2,2,2,0,0,2,3,66.7,1,2,2,0,6,8,1,0,Matches
Cleberson,br BRA,DF,28.0,1.5,0,0,0,0,0,0,0,,0,2,1,1,2,2,5,0,Matches
Guilherme Santos,br BRA,DF,32.0,1.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Fernando Pacheco Rivas,pe PER,"MF,FW",21.0,2.6,3,1,1,2,0,1,3,33.3,2,0,0,0,1,4,1,0,Matches
Bruninho,br BRA,"MF,FW",20.0,2.3,8,4,2,3,3,4,10,40.0,6,1,0,1,1,9,1,0,Matches
Rafael Bilu,br BRA,"DF,FW",21.0,0.6,3,2,0,1,2,0,3,0.0,3,0,0,0,2,5,0,0,Matches
Nicolás Castillo,cl CHI,"FW,DF",27.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Matheus Cotulio Bossa,br BRA,MF,27.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Edwin Mosquera,co COL,MF,19.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Eltinho,br BRA,DF,33.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,38.0,539,298,259,219,61,256,627,40.8,371,362,119,243,401,940,748,4,
Opponent Total,,,26.8,38.0,566,332,253,244,69,244,615,39.7,371,306,99,207,359,925,555,8,
