Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Vitor Mendes,br BRA,DF,21.0,34.0,10,0,0,30,27,0,1,39,14,0,0,0,141,88,65,57.5,Matches
Guilherme Carvalho,br BRA,MF,21.0,29.1,8,2,1,32,66,3,132,22,25,2,1,0,139,23,43,34.8,Matches
William Matheus,br BRA,DF,30.0,31.5,9,0,0,48,28,2,33,45,32,0,0,1,124,51,32,61.4,Matches
Michel,br BRA,DF,30.0,30.1,2,0,0,32,25,4,95,51,17,1,0,0,147,37,22,62.7,Matches
Rafael Forster,br BRA,DF,30.0,29.3,5,1,0,42,33,5,1,43,23,0,0,0,141,74,51,59.2,Matches
Marcos Vinicios Sorriso,br BRA,"FW,MF",19.0,25.4,7,0,0,49,90,5,44,14,24,0,0,0,119,38,61,38.4,Matches
Dawhan,br BRA,MF,24.0,20.7,5,0,0,27,17,1,0,33,15,0,1,0,123,31,15,67.4,Matches
Jadson,br BRA,MF,27.0,18.9,5,0,0,34,44,0,18,19,21,0,0,0,139,2,12,14.3,Matches
Marcelo Carné,br BRA,GK,30.0,21.0,2,0,0,1,5,0,0,0,0,0,1,0,10,15,1,93.8,Matches
Ricardo Bueno,br BRA,FW,33.0,17.5,2,0,0,24,58,7,15,1,9,0,0,0,61,48,83,36.6,Matches
Wescley,br BRA,"FW,MF",29.0,18.2,2,0,0,35,31,1,27,3,9,0,0,0,71,1,13,7.1,Matches
Capixaba,br BRA,"FW,MF",24.0,17.0,5,0,0,33,53,2,74,10,13,0,0,0,69,9,20,31.0,Matches
Douglas Friedrich,br BRA,GK,32.0,17.0,1,0,0,0,2,0,0,1,0,0,0,0,9,6,1,85.7,Matches
Paulinho Bóia,br BRA,"FW,MF",22.0,14.8,4,0,0,31,28,4,19,10,8,1,1,0,68,14,10,58.3,Matches
Matheus Jesus,br BRA,MF,23.0,10.2,3,0,0,19,9,0,3,16,11,0,0,0,71,9,8,52.9,Matches
Matheus Peixoto,br BRA,FW,25.0,10.5,1,0,0,9,25,1,1,3,3,0,0,0,29,37,52,41.6,Matches
Juan Quintero,co COL,DF,25.0,10.1,2,0,0,12,4,0,0,21,6,0,0,1,39,19,11,63.3,Matches
Chico,br BRA,"MF,FW",29.0,13.4,3,0,0,20,48,2,76,10,15,0,0,0,61,6,22,21.4,Matches
Elton,br BRA,MF,30.0,8.3,3,0,0,25,7,0,3,12,8,0,0,0,57,5,12,29.4,Matches
Paulo Henrique,br BRA,"DF,MF",24.0,8.6,2,0,0,20,10,1,45,12,16,0,0,0,59,10,9,52.6,Matches
Wágner,br BRA,"MF,FW",36.0,5.7,2,0,0,9,6,1,14,5,1,0,0,0,27,1,3,25.0,Matches
Alyson Neves,br BRA,DF,24.0,4.0,1,0,0,8,3,0,10,8,5,0,0,0,19,11,4,73.3,Matches
Vinicius José Ignácio,br BRA,DF,29.0,4.1,0,0,0,2,2,0,0,5,1,0,1,0,23,6,2,75.0,Matches
Roberson,br BRA,FW,31.0,3.5,1,0,0,11,4,1,1,0,3,0,0,0,10,11,19,36.7,Matches
Ricardinho,br BRA,MF,31.0,3.4,1,0,0,4,5,0,0,5,10,0,0,0,17,2,1,66.7,Matches
João Paulo,br BRA,MF,35.0,1.8,0,0,0,3,0,0,0,6,2,0,0,0,12,0,2,0.0,Matches
Cleberson,br BRA,DF,28.0,1.5,0,0,0,0,1,0,0,2,0,0,0,0,3,5,4,55.6,Matches
Guilherme Santos,br BRA,DF,32.0,1.3,1,0,0,0,2,0,3,1,0,0,0,0,8,0,1,0.0,Matches
Fernando Pacheco Rivas,pe PER,"MF,FW",21.0,2.6,2,0,0,6,8,1,12,1,1,0,0,0,7,1,6,14.3,Matches
Bruninho,br BRA,"MF,FW",20.0,2.3,0,0,0,5,14,0,4,1,4,0,0,0,12,1,3,25.0,Matches
Rafael Bilu,br BRA,"DF,FW",21.0,0.6,0,0,0,1,1,0,4,2,2,0,0,0,3,0,1,0.0,Matches
Nicolás Castillo,cl CHI,"FW,DF",27.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Matheus Cotulio Bossa,br BRA,MF,27.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Edwin Mosquera,co COL,MF,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Eltinho,br BRA,DF,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.2,38.0,89,3,1,572,656,41,635,401,298,4,5,2,1820,561,589,48.8,
Opponent Total,,,26.8,38.0,86,3,2,685,534,37,818,359,332,3,6,2,1864,589,561,51.2,
