Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Vitor Mendes,br BRA,DF,21.0,34,3056.0,90.0,89.4,34.0,34,90.0,32.0,0,,0,1.26,33.0,37.0,-4.0,-0.12,0.87,35.6,35.4,0.2,0.01,1.27,Matches
Guilherme Carvalho,br BRA,MF,21.0,33,2622.0,79.0,76.7,29.1,32,81.0,15.0,1,23.0,0,1.27,28.0,35.0,-7.0,-0.24,-0.13,29.8,31.6,-1.8,-0.06,0.29,Matches
William Matheus,br BRA,DF,30.0,32,2834.0,89.0,82.9,31.5,31,89.0,29.0,1,76.0,0,1.28,29.0,34.0,-5.0,-0.16,0.3,30.2,34.1,-3.9,-0.12,0.03,Matches
Michel,br BRA,DF,30.0,31,2713.0,88.0,79.3,30.1,31,88.0,24.0,0,,3,1.16,27.0,34.0,-7.0,-0.23,-0.1,27.6,34.2,-6.6,-0.22,-0.43,Matches
Rafael Forster,br BRA,DF,30.0,32,2637.0,82.0,77.1,29.3,31,85.0,24.0,1,6.0,3,1.19,26.0,31.0,-5.0,-0.17,0.17,28.7,30.9,-2.2,-0.07,0.24,Matches
Marcos Vinicios Sorriso,br BRA,"FW,MF",19.0,36,2284.0,63.0,66.8,25.4,23,82.0,10.0,13,31.0,0,1.19,24.0,28.0,-4.0,-0.16,0.16,24.7,29.6,-4.9,-0.19,-0.2,Matches
Dawhan,br BRA,MF,24.0,23,1866.0,81.0,54.6,20.7,22,83.0,12.0,1,31.0,2,1.35,18.0,21.0,-3.0,-0.14,0.14,22.3,22.8,-0.5,-0.02,0.23,Matches
Jadson,br BRA,MF,27.0,25,1698.0,68.0,49.6,18.9,22,75.0,7.0,3,17.0,2,1.16,17.0,17.0,0.0,0.0,0.42,20.2,20.3,-0.1,0.0,0.25,Matches
Marcelo Carné,br BRA,GK,30.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,6,1.14,17.0,23.0,-6.0,-0.29,-0.17,16.9,20.6,-3.7,-0.18,-0.11,Matches
Ricardo Bueno,br BRA,FW,33.0,19,1573.0,83.0,46.0,17.5,19,83.0,11.0,0,,1,1.32,19.0,18.0,1.0,0.06,0.5,18.7,21.2,-2.4,-0.14,-0.02,Matches
Wescley,br BRA,"FW,MF",29.0,28,1640.0,59.0,48.0,18.2,18,75.0,2.0,10,29.0,2,1.36,17.0,17.0,0.0,0.0,0.4,16.3,16.3,0.0,0.0,0.25,Matches
Capixaba,br BRA,"FW,MF",24.0,34,1531.0,45.0,44.8,17.0,17,67.0,1.0,17,23.0,3,1.18,13.0,20.0,-7.0,-0.41,-0.36,16.3,19.3,-3.0,-0.18,-0.09,Matches
