Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vitor Mendes,br BRA,DF,21.0,34,34,3056.0,34.0,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.7,2.7,0.3,3.0,16.0,65.0,3.0,0.06,0.0,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,Matches
Guilherme Carvalho,br BRA,MF,21.0,33,32,2622.0,29.1,4.0,4.0,8.0,4.0,0.0,0.0,8.0,2.0,5.0,5.0,3.2,8.2,34.0,94.0,90.0,0.14,0.14,0.27,0.14,0.27,0.17,0.11,0.28,0.17,0.28,Matches
William Matheus,br BRA,DF,30.0,32,31,2834.0,31.5,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.7,0.7,0.6,1.3,29.0,137.0,39.0,0.03,0.03,0.06,0.03,0.06,0.02,0.02,0.04,0.02,0.04,Matches
Michel,br BRA,DF,30.0,31,31,2713.0,30.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.2,3.5,42.0,104.0,140.0,0.0,0.1,0.1,0.0,0.1,0.01,0.1,0.12,0.01,0.12,Matches
Rafael Forster,br BRA,DF,30.0,32,31,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.2,1.2,12.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Marcos Vinicios Sorriso,br BRA,"FW,MF",19.0,36,23,2284.0,25.4,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,5.0,5.0,2.4,7.5,66.0,41.0,179.0,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.29,0.2,0.29,Matches
Dawhan,br BRA,MF,24.0,23,22,1866.0,20.7,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.1,1.1,1.4,2.5,12.0,68.0,10.0,0.14,0.05,0.19,0.14,0.19,0.05,0.07,0.12,0.05,0.12,Matches
Jadson,br BRA,MF,27.0,25,22,1698.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.7,1.3,10.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches
Marcelo Carné,br BRA,GK,30.0,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Bueno,br BRA,FW,33.0,19,19,1573.0,17.5,7.0,0.0,7.0,6.0,1.0,2.0,2.0,0.0,6.1,4.5,0.6,5.1,18.0,40.0,100.0,0.4,0.0,0.4,0.34,0.34,0.35,0.04,0.38,0.26,0.29,Matches
Wescley,br BRA,"FW,MF",29.0,28,18,1640.0,18.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,1.5,3.3,25.0,85.0,96.0,0.05,0.0,0.05,0.05,0.05,0.1,0.08,0.18,0.1,0.18,Matches
Capixaba,br BRA,"FW,MF",24.0,34,17,1531.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,1.8,3.1,57.0,36.0,99.0,0.0,0.12,0.12,0.0,0.12,0.07,0.11,0.18,0.07,0.18,Matches
Douglas Friedrich,br BRA,GK,32.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulinho Bóia,br BRA,"FW,MF",22.0,20,17,1330.0,14.8,3.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,2.4,1.6,1.8,3.5,46.0,53.0,92.0,0.2,0.0,0.2,0.14,0.14,0.16,0.12,0.29,0.11,0.23,Matches
Matheus Jesus,br BRA,MF,23.0,14,12,917.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,7.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Matheus Peixoto,br BRA,FW,25.0,12,11,948.0,10.5,7.0,0.0,7.0,5.0,2.0,2.0,1.0,0.0,3.5,1.9,0.3,2.2,2.0,19.0,31.0,0.66,0.0,0.66,0.47,0.47,0.33,0.03,0.35,0.18,0.2,Matches
Juan Quintero,co COL,DF,25.0,11,11,912.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Chico,br BRA,"MF,FW",29.0,32,10,1204.0,13.4,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,1.9,1.1,1.9,2.9,24.0,65.0,72.0,0.07,0.15,0.22,0.0,0.15,0.14,0.14,0.28,0.08,0.22,Matches
Elton,br BRA,MF,30.0,10,9,745.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,7.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Paulo Henrique,br BRA,"DF,MF",24.0,17,7,773.0,8.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.7,2.0,36.0,33.0,62.0,0.0,0.23,0.23,0.0,0.23,0.04,0.2,0.24,0.04,0.24,Matches
Wágner,br BRA,"MF,FW",36.0,12,7,509.0,5.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.9,11.0,28.0,29.0,0.35,0.0,0.35,0.35,0.35,0.13,0.03,0.16,0.13,0.16,Matches
