Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Rodrigo Alves Soares,br BRA,DF,29.0,31.0,67,2.16,59,7,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
Jadson,br BRA,MF,28.0,29.1,80,2.75,69,4,0,4,2,1,4,0.14,4,0,0,0,0,0,Matches
Isidro Pitta,py PAR,FW,22.0,26.8,62,2.31,41,0,8,9,3,1,6,0.22,5,0,0,1,0,0,Matches
Chico,br BRA,"MF,FW",30.0,24.2,93,3.84,51,27,1,3,7,4,5,0.21,4,0,0,0,1,0,Matches
César Reis,br BRA,GK,26.0,24.3,6,0.25,5,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Thalisson Kelven,br BRA,DF,23.0,20.0,12,0.6,10,0,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches
Capixaba,br BRA,"FW,MF",25.0,18.4,34,1.85,22,3,4,2,3,0,1,0.05,1,0,0,0,0,0,Matches
Vitor Mendes,br BRA,DF,22.0,18.3,11,0.6,11,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Rafael Forster,br BRA,DF,31.0,18.1,16,0.88,11,2,2,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Yuri Oliveira Lima,br BRA,MF,27.0,16.8,38,2.26,36,1,0,1,0,0,4,0.24,4,0,0,0,0,0,Matches
Paulo Henrique,br BRA,"DF,MF",25.0,16.7,46,2.75,38,3,3,1,1,0,3,0.18,3,0,0,0,0,0,Matches
