Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Rodrigo Alves Soares,br BRA,DF,29.0,31.0,1360,1683,80.8,25757,9516,571,619,92.2,590,707,83.5,187,298,62.8,1,2.8,3.2,-1.8,30,121,30,22,154,Matches
Jadson,br BRA,MF,28.0,29.1,1115,1357,82.2,21334,6244,453,511,88.6,486,553,87.9,161,234,68.8,0,1.4,1.4,-1.4,32,147,25,6,177,Matches
Isidro Pitta,py PAR,FW,22.0,26.8,361,522,69.2,5304,952,199,265,75.1,125,169,74.0,20,35,57.1,2,1.1,1.9,0.9,17,19,5,0,42,Matches
Chico,br BRA,"MF,FW",30.0,24.2,724,1018,71.1,13865,4842,312,355,87.9,279,370,75.4,120,231,51.9,2,3.6,3.3,-1.6,46,100,18,6,126,Matches
César Reis,br BRA,GK,26.0,24.3,518,715,72.4,14072,9429,92,93,98.9,272,277,98.2,146,334,43.7,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Thalisson Kelven,br BRA,DF,23.0,20.0,661,756,87.4,13155,5320,192,204,94.1,390,417,93.5,74,121,61.2,0,0.1,0.1,-0.1,3,19,1,0,13,Matches
Capixaba,br BRA,"FW,MF",25.0,18.4,302,449,67.3,4849,1690,178,204,87.3,90,142,63.4,29,66,43.9,1,1.7,1.3,-0.7,16,21,12,9,41,Matches
Vitor Mendes,br BRA,DF,22.0,18.3,651,793,82.1,13262,4854,195,227,85.9,354,388,91.2,95,158,60.1,0,0.1,0.1,-0.1,2,25,1,0,27,Matches
Rafael Forster,br BRA,DF,31.0,18.1,738,939,78.6,16622,8313,188,217,86.6,417,469,88.9,130,231,56.3,0,0.1,0.5,-0.1,4,58,6,0,53,Matches
Yuri Oliveira Lima,br BRA,MF,27.0,16.8,744,877,84.8,13407,4287,317,357,88.8,343,395,86.8,74,100,74.0,0,0.5,1.0,-0.5,15,86,5,2,84,Matches
Paulo Henrique,br BRA,"DF,MF",25.0,16.7,416,621,67.0,7282,3162,196,235,83.4,170,248,68.5,45,93,48.4,1,1.5,1.9,-0.5,24,20,28,20,37,Matches
Paulo Miranda,br BRA,DF,33.0,16.4,653,768,85.0,13482,5068,185,199,93.0,370,414,89.4,93,141,66.0,0,0.3,0.1,-0.3,2,35,0,0,41,Matches
Moraes,br BRA,"DF,MF",24.0,15.2,494,701,70.5,8363,3175,253,280,90.4,195,271,72.0,43,109,39.4,1,0.6,1.1,0.4,11,35,14,7,59,Matches
