Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-04-11,20:00,Série A,Matchweek 1,Mon,Home,D,2,2,RB Bragantino,1.5,1.0,50,3300.0,Paulo Miranda,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2022-04-16,19:00,Série A,Matchweek 2,Sat,Away,L,1,4,América (MG),0.9,1.5,54,1559.0,Paulo Miranda,4-2-3-1,4-1-4-1,Ramon Abatti Abel,Match Report,
2022-04-24,18:00,Série A,Matchweek 3,Sun,Home,L,0,1,Cuiabá,1.8,1.5,58,3920.0,William Matheus,4-2-3-1,4-4-2,Paulo Roberto Alves Júnior,Match Report,
2022-05-01,11:00,Série A,Matchweek 4,Sun,Away,D,1,1,Botafogo (RJ),0.6,2.0,41,34734.0,William Matheus,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2022-05-08,19:00,Série A,Matchweek 5,Sun,Home,D,1,1,Internacional,0.8,0.7,57,7341.0,William Matheus,4-3-3,4-3-3,Bruno Arleu de Araujo,Match Report,
2022-05-15,18:00,Série A,Matchweek 6,Sun,Away,W,2,1,Avaí,0.4,0.8,36,9355.0,Chico,4-4-2,4-3-3,Douglas Marques das Flores,Match Report,
2022-05-21,19:00,Série A,Matchweek 7,Sat,Home,L,0,3,Palmeiras,0.9,1.7,46,5513.0,William Matheus,4-3-3,4-3-3,Marcelo de Lima Henrique,Match Report,
2022-05-28,20:30,Série A,Matchweek 8,Sat,Away,D,1,1,Fortaleza,1.1,0.8,38,22466.0,William Matheus,4-4-2,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2022-06-05,11:00,Série A,Matchweek 9,Sun,Home,W,1,0,Fluminense,1.1,0.3,48,2573.0,William Matheus,4-3-3,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,
2022-06-08,19:00,Série A,Matchweek 10,Wed,Home,L,1,3,Ath Paranaense,1.7,1.3,54,3590.0,Chico,4-4-2,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2022-06-11,16:30,Série A,Matchweek 11,Sat,Away,L,0,2,Corinthians,0.3,1.1,43,34617.0,William Matheus,4-4-2,4-2-3-1,Ramon Abatti Abel,Match Report,
2022-06-14,21:30,Série A,Matchweek 12,Tue,Home,L,1,2,Santos,0.6,1.1,35,3025.0,William Matheus,3-5-2,4-2-3-1,Rodolpho Toski Marques,Match Report,
2022-06-19,18:00,Série A,Matchweek 13,Sun,Away,L,1,3,Atl Goianiense,0.4,3.8,35,4524.0,William Matheus,4-3-3,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2022-06-26,18:00,Série A,Matchweek 14,Sun,Away,D,0,0,São Paulo,0.1,2.4,41,20466.0,Ricardo Bueno,4-2-3-1,3-1-4-2,André Luiz de Freitas Castro,Match Report,
2022-07-02,16:30,Série A,Matchweek 15,Sat,Home,L,1,2,Atlético Mineiro,0.9,2.0,56,6565.0,Jadson,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2022-07-10,11:00,Série A,Matchweek 16,Sun,Away,D,2,2,Coritiba,2.2,1.7,52,20295.0,Rafael Forster,4-4-2,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2022-07-17,11:00,Série A,Matchweek 17,Sun,Home,D,0,0,Goiás,2.7,0.7,61,4406.0,Rodrigo Alves Soares,4-1-4-1,4-4-2,Vinicius Gonçalves Dias Araujo,Match Report,
2022-07-20,20:30,Série A,Matchweek 18,Wed,Away,L,0,4,Flamengo,0.3,2.8,38,65392.0,Ricardo Bueno,4-1-4-1,4-3-1-2,Paulo Cesar Zanovelli da Silva,Match Report,
2022-07-24,16:00,Série A,Matchweek 19,Sun,Home,W,1,0,Ceará,0.7,1.3,44,4445.0,Elton,4-1-4-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2022-07-31,19:00,Série A,Matchweek 20,Sun,Away,L,0,1,RB Bragantino,0.5,1.6,48,3236.0,William Matheus,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2022-08-06,16:30,Série A,Matchweek 21,Sat,Home,L,0,1,América (MG),1.1,0.8,65,3524.0,Paulo Miranda,4-4-2,4-3-3,Edina Alves Batista,Match Report,
2022-08-13,19:30,Série A,Matchweek 22,Sat,Away,L,0,1,Cuiabá,0.2,1.8,55,6909.0,Rodrigo Alves Soares,5-3-2,3-4-3,Marielson Alves Silva,Match Report,
2022-08-21,11:00,Série A,Matchweek 23,Sun,Home,D,2,2,Botafogo (RJ),0.6,2.4,36,3095.0,Rodrigo Alves Soares,4-1-4-1,4-2-3-1,Raphael Claus,Match Report,
2022-08-29,20:00,Série A,Matchweek 24,Mon,Away,L,0,4,Internacional,0.2,3.2,46,16518.0,Rodrigo Alves Soares,4-1-4-1,4-4-1-1,Bruno Arleu de Araujo,Match Report,
2022-09-03,16:30,Série A,Matchweek 25,Sat,Home,D,1,1,Avaí,2.3,1.1,40,2708.0,Pegorari,3-4-3,4-2-3-1,Diego Pombo Lopez,Match Report,
