Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Gabriel,br BRA,GK,31.0,33.5,1114,800,312,88,0,0,0,0,0,0,0,0,862,2,0,Matches
Jadson,br BRA,MF,30.0,31.6,1380,1325,51,32,5,10,33,11,8,3,5,0,1154,4,25,Matches
Danilo Boza,br BRA,DF,25.0,31.4,1697,1611,82,75,2,6,8,7,0,0,0,0,1528,4,16,Matches
Lucas Barbosa,br BRA,FW,22.0,27.1,843,828,10,1,3,18,55,7,0,0,0,0,579,5,26,Matches
João Lucas,br BRA,DF,25.0,28.5,1422,1144,275,14,3,6,136,261,0,0,0,0,974,3,64,Matches
Erick,br BRA,FW,27.0,23.5,519,497,21,2,1,4,24,4,0,0,0,0,386,1,23,Matches
Alan Ruschel,br BRA,DF,34.0,24.9,1280,961,318,62,0,6,95,232,24,10,14,0,997,1,30,Matches
Zé Marcos,br BRA,DF,25.0,21.7,1013,956,56,50,0,17,2,6,0,0,0,0,836,1,14,Matches
Nenê,br BRA,"MF,FW",42.0,16.7,677,510,159,62,6,12,158,11,73,45,28,0,410,8,26,Matches
Caíque de Jesus Gonçalves,br BRA,MF,28.0,15.8,841,793,46,40,0,4,2,4,0,0,0,0,764,2,11,Matches
Lucas Freitas,br BRA,DF,23.0,14.0,673,618,54,21,0,5,3,17,0,0,0,0,578,1,3,Matches
Gilberto,br BRA,FW,34.0,12.3,208,185,22,0,0,5,14,1,0,0,0,0,123,1,11,Matches
Ronaldo,br BRA,MF,27.0,12.6,560,542,17,15,4,7,3,1,0,0,0,0,483,1,7,Matches
Jean Carlos Vicente,br BRA,"MF,FW",31.0,11.5,418,341,77,20,3,4,90,4,45,27,15,0,262,0,11,Matches
Ewerton,br BRA,"DF,FW",23.0,13.2,568,467,97,16,0,7,36,67,10,4,5,0,406,4,10,Matches
Luis Mandaca,br BRA,MF,22.0,12.2,321,311,6,3,2,0,9,1,0,0,0,0,236,4,10,Matches
Marcelinho,br BRA,"FW,MF",21.0,11.1,279,253,24,12,0,5,31,2,9,3,4,0,188,2,10,Matches
Edson Carioca,br BRA,FW,26.0,8.2,134,130,3,2,0,1,13,1,0,0,0,0,81,1,15,Matches
Ronie Carrillo,ec ECU,FW,27.0,7.5,142,134,8,1,1,1,7,0,0,0,0,0,88,0,8,Matches
Gabriel Taliari,br BRA,FW,26.0,10.2,157,130,26,0,2,2,5,1,0,0,0,0,108,1,8,Matches
Rodrigo Sam,br BRA,DF,28.0,8.9,418,406,12,12,0,1,0,0,0,0,0,0,364,0,7,Matches
Gabriel Inocêncio,br BRA,DF,29.0,9.8,464,384,79,7,0,1,19,72,0,0,0,0,377,1,7,Matches
Luis Oyama,br BRA,MF,27.0,7.6,321,309,8,8,3,9,4,0,0,0,0,0,266,4,8,Matches
Mateus Claus,br BRA,GK,29.0,4.5,153,93,60,19,0,0,0,0,0,0,0,0,103,0,0,Matches
Thiaguinho,br BRA,MF,26.0,3.4,120,113,7,5,0,1,3,0,1,0,1,0,93,0,2,Matches
Dudu Vieira,br BRA,MF,29.0,3.0,86,86,0,0,0,0,0,0,0,0,0,0,69,0,2,Matches
Yan Souto,br BRA,"DF,MF",22.0,2.6,124,114,10,1,0,2,1,9,0,0,0,0,95,0,1,Matches
Abner,br BRA,DF,19.0,1.2,28,26,2,1,0,2,0,1,0,0,0,0,19,0,0,Matches
Davi Goes,br BRA,MF,18.0,0.7,15,15,0,0,0,0,0,0,0,0,0,0,10,0,2,Matches
Diego Gonçalves,br BRA,"FW,MF",29.0,2.1,62,57,5,0,0,1,5,5,0,0,0,0,42,0,5,Matches
Rildo,br BRA,"FW,MF",24.0,1.3,31,31,0,0,0,0,1,0,0,0,0,0,19,0,3,Matches
Ruan,br BRA,"FW,MF",18.0,1.1,29,28,1,0,0,0,1,1,0,0,0,0,23,0,0,Matches
David,br BRA,"MF,FW",24.0,0.7,23,22,1,0,0,0,2,1,0,0,0,0,16,0,2,Matches
Werik Popó,br BRA,FW,22.0,0.5,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Kleiton,br BRA,FW,24.0,0.3,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Peixoto,br BRA,MF,26.0,0.2,17,16,1,1,0,0,1,0,0,0,0,0,14,0,0,Matches
Squad Total,,,28.1,38.0,16155,14254,1850,570,35,137,761,727,170,92,72,0,12567,51,367,
Opponent Total,,,27.7,38.0,18217,16281,1878,477,28,138,716,792,222,85,93,3,14780,58,318,
