Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gabriel,br BRA,GK,31.0,33.5,1224,1075,1214,10,0,0,1224,2,2,100.0,0,0.0,688,3227,1783,0,1,0,1,0,561,0,Matches
Jadson,br BRA,MF,30.0,31.6,1686,43,406,971,332,28,1686,38,20,52.6,15,39.5,882,3510,1664,21,13,5,36,30,1086,82,Matches
Danilo Boza,br BRA,DF,25.0,31.4,1999,319,1114,793,104,45,1999,18,8,44.4,8,44.4,1219,6308,3809,20,17,1,12,4,1405,10,Matches
Lucas Barbosa,br BRA,FW,22.0,27.1,1223,25,158,614,476,90,1223,51,18,35.3,31,60.8,692,4287,1846,61,47,12,63,31,850,165,Matches
João Lucas,br BRA,DF,25.0,28.5,1697,69,526,732,461,33,1697,45,28,62.2,12,26.7,827,4765,2704,72,60,10,27,13,947,140,Matches
Erick,br BRA,FW,27.0,23.5,709,31,124,330,262,48,709,42,26,61.9,12,28.6,389,2295,823,31,13,6,26,19,468,121,Matches
Alan Ruschel,br BRA,DF,34.0,24.9,1529,69,489,738,323,9,1529,24,10,41.7,14,58.3,744,3964,2117,44,22,1,24,19,828,86,Matches
Zé Marcos,br BRA,DF,25.0,21.7,1248,182,736,488,34,17,1248,3,2,66.7,1,33.3,689,3563,1951,5,6,0,7,6,792,1,Matches
Nenê,br BRA,"MF,FW",42.0,16.7,801,4,82,356,372,36,801,26,12,46.2,11,42.3,407,1844,822,23,19,5,35,16,514,92,Matches
Caíque de Jesus Gonçalves,br BRA,MF,28.0,15.8,985,76,360,581,54,1,985,16,12,75.0,4,25.0,559,3184,1360,13,19,0,6,7,637,7,Matches
Lucas Freitas,br BRA,DF,23.0,14.0,793,136,438,326,33,11,793,4,1,25.0,0,0.0,432,2100,1238,8,1,1,13,5,512,1,Matches
Gilberto,br BRA,FW,34.0,12.3,321,12,29,143,151,51,321,6,4,66.7,2,33.3,137,650,344,16,10,5,28,10,215,52,Matches
Ronaldo,br BRA,MF,27.0,12.6,688,46,213,407,73,11,688,13,5,38.5,6,46.2,336,1594,786,11,8,0,9,8,407,7,Matches
Jean Carlos Vicente,br BRA,"MF,FW",31.0,11.5,506,8,46,239,223,13,506,12,9,75.0,3,25.0,278,1795,752,26,13,2,25,8,325,38,Matches
Ewerton,br BRA,"DF,FW",23.0,13.2,713,60,281,278,161,21,713,11,6,54.5,3,27.3,315,1518,680,10,9,0,11,9,394,51,Matches
Luis Mandaca,br BRA,MF,22.0,12.2,502,19,85,229,195,56,502,44,14,31.8,24,54.5,244,1385,736,24,14,8,22,23,320,59,Matches
Marcelinho,br BRA,"FW,MF",21.0,11.1,415,7,74,175,174,28,415,32,12,37.5,17,53.1,240,1887,687,19,18,4,20,17,274,66,Matches
Edson Carioca,br BRA,FW,26.0,8.2,278,7,44,107,134,23,278,38,18,47.4,19,50.0,151,1183,474,19,17,8,21,22,167,59,Matches
Ronie Carrillo,ec ECU,FW,27.0,7.5,225,12,21,106,100,23,225,13,3,23.1,10,76.9,105,500,164,6,8,3,21,10,152,29,Matches
Gabriel Taliari,br BRA,FW,26.0,10.2,271,4,22,129,126,32,270,24,7,29.2,15,62.5,166,758,259,9,7,1,28,13,192,48,Matches
Rodrigo Sam,br BRA,DF,28.0,8.9,520,86,309,195,19,10,520,3,3,100.0,0,0.0,264,1431,798,2,2,0,5,2,310,1,Matches
Gabriel Inocêncio,br BRA,DF,29.0,9.8,601,25,211,285,116,2,601,40,18,45.0,16,40.0,298,1796,950,22,10,1,21,11,338,32,Matches
Luis Oyama,br BRA,MF,27.0,7.6,400,19,109,225,72,1,400,12,3,25.0,7,58.3,218,984,489,8,4,0,7,3,244,15,Matches
Mateus Claus,br BRA,GK,29.0,4.5,167,149,167,0,0,0,167,0,0,,0,,66,341,195,0,0,0,0,0,50,0,Matches
Thiaguinho,br BRA,MF,26.0,3.4,151,12,52,86,15,1,151,6,3,50.0,3,50.0,81,310,97,2,0,0,1,2,90,1,Matches
Dudu Vieira,br BRA,MF,29.0,3.0,113,6,30,73,11,2,113,3,2,66.7,1,33.3,46,199,85,1,1,1,2,4,44,1,Matches
Yan Souto,br BRA,"DF,MF",22.0,2.6,154,17,80,62,12,5,154,1,1,100.0,0,0.0,73,299,102,0,0,0,2,1,95,1,Matches
Abner,br BRA,DF,19.0,1.2,46,14,29,14,3,0,46,0,0,,0,,21,80,22,0,0,0,0,1,18,0,Matches
Davi Goes,br BRA,MF,18.0,0.7,23,2,8,12,3,0,23,0,0,,0,,12,32,14,0,0,0,1,1,14,0,Matches
Diego Gonçalves,br BRA,"FW,MF",29.0,2.1,99,5,17,41,43,9,99,4,3,75.0,1,25.0,49,278,98,2,1,1,9,7,56,17,Matches
Rildo,br BRA,"FW,MF",24.0,1.3,52,0,7,21,24,5,52,8,3,37.5,5,62.5,28,228,122,5,2,1,5,5,38,10,Matches
Ruan,br BRA,"FW,MF",18.0,1.1,49,1,5,20,25,3,49,9,3,33.3,5,55.6,30,181,50,1,3,1,7,1,37,11,Matches
David,br BRA,"MF,FW",24.0,0.7,31,1,5,15,11,0,31,1,1,100.0,0,0.0,20,109,38,2,2,0,5,0,25,6,Matches
Werik Popó,br BRA,FW,22.0,0.5,25,1,2,12,11,4,25,2,0,0.0,2,100.0,16,138,73,2,1,0,4,1,19,7,Matches
Kleiton,br BRA,FW,24.0,0.3,12,0,1,6,5,4,12,2,2,100.0,0,0.0,8,77,26,2,0,1,0,2,12,0,Matches
Peixoto,br BRA,MF,26.0,0.2,21,1,6,10,5,2,21,0,0,,0,,15,73,33,1,1,1,0,1,15,0,Matches
Squad Total,,,28.1,38.0,20277,2543,7500,8829,4163,624,20276,553,259,46.8,247,44.7,10745,56873,28191,488,349,79,504,312,12451,1216,
Opponent Total,,,27.7,38.0,22284,2174,6784,10099,5576,841,22273,690,331,48.0,318,46.1,12274,61980,30826,560,430,141,554,372,14660,1510,
