Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Fernando Prass,br BRA,GK,36.0,36.0,2,0,0,,,,,,,,,0,Matches
Vitor Hugo,br BRA,"DF,MF",23.0,28.7,3,0,0,,,,,,,,,0,Matches
Rafael Marques,br BRA,FW,31.0,26.4,0,0,0,,,,,,,,,0,Matches
Lucas Marques,br BRA,DF,26.0,26.4,10,0,0,,,,,,,,,0,Matches
Egídio Pereira Júnior,br BRA,DF,28.0,25.7,9,0,0,,,,,,,,,0,Matches
Dudu,br BRA,"FW,MF",23.0,24.8,6,0,0,,,,,,,,,0,Matches
Robinho,br BRA,MF,27.0,21.8,4,1,0,,,,,,,,,0,Matches
Zé Roberto,br BRA,"DF,MF",40.0,21.7,1,0,0,,,,,,,,,0,Matches
Arouca,br BRA,"DF,MF",28.0,19.3,3,0,0,,,,,,,,,0,Matches
Victor Ramos Ferreira,br BRA,DF,25.0,17.0,6,1,0,,,,,,,,,1,Matches
Jackson de Souza,br BRA,DF,24.0,16.0,5,1,0,,,,,,,,,0,Matches
Gabriel,br BRA,MF,22.0,14.5,2,0,0,,,,,,,,,0,Matches
Gabriel Jesus,br BRA,"FW,MF",17.0,14.5,5,0,0,,,,,,,,,0,Matches
Leandro Almeida Silva,br BRA,DF,27.0,12.0,5,1,1,,,,,,,,,0,Matches
Thiago dos Santos,br BRA,"DF,MF",25.0,11.9,5,0,0,,,,,,,,,0,Matches
Alecsandro,br BRA,FW,33.0,11.1,2,0,0,,,,,,,,,0,Matches
Leandro Pereira,br BRA,FW,23.0,8.3,3,0,0,,,,,,,,,0,Matches
Amaral,br BRA,MF,28.0,9.3,1,0,0,,,,,,,,,1,Matches
João Pedro,br BRA,DF,18.0,8.8,1,0,0,,,,,,,,,0,Matches
Lucas Barrios,py PAR,FW,30.0,7.2,0,0,0,,,,,,,,,0,Matches
Andrei Girotto,br BRA,"DF,MF",22.0,6.1,3,0,0,,,,,,,,,0,Matches
Kelvin,br BRA,"FW,MF",21.0,9.1,4,0,0,,,,,,,,,0,Matches
Jonatan Cristaldo,ar ARG,FW,25.0,8.8,0,1,0,,,,,,,,,0,Matches
Agustín Allione,ar ARG,MF,20.0,5.0,2,0,0,,,,,,,,,0,Matches
João Paulo,br BRA,DF,28.0,4.5,1,0,0,,,,,,,,,0,Matches
Matheus Sales,br BRA,MF,19.0,3.2,1,0,0,,,,,,,,,0,Matches
Pablo Mouche,ar ARG,"FW,MF",27.0,3.0,1,0,0,,,,,,,,,0,Matches
Jorge Valdivia,cl CHI,MF,31.0,3.2,2,0,0,,,,,,,,,0,Matches
Nathan Cardoso,br BRA,DF,19.0,2.5,1,0,0,,,,,,,,,0,Matches
Cleiton Xavier,br BRA,MF,31.0,3.4,0,0,0,,,,,,,,,0,Matches
Fábio Szymonek,br BRA,GK,24.0,2.0,0,0,0,,,,,,,,,0,Matches
Lucas Taylor,br BRA,"DF,MF",19.0,1.8,1,0,0,,,,,,,,,0,Matches
Ayrton Ganino,br BRA,DF,29.0,1.3,1,0,0,,,,,,,,,0,Matches
Juninho,br BRA,MF,19.0,0.6,1,0,0,,,,,,,,,0,Matches
Fernando Tobio,ar ARG,DF,25.0,0.5,0,0,0,,,,,,,,,0,Matches
Alan Patrick,br BRA,MF,23.0,0.4,0,0,0,,,,,,,,,0,Matches
Fellype Gabriel,br BRA,"FW,MF",29.0,0.2,0,0,0,,,,,,,,,0,Matches
Jobson,br BRA,MF,19.0,0.2,0,0,0,,,,,,,,,0,Matches
Leandro,br BRA,"FW,MF",21.0,0.2,1,0,0,,,,,,,,,0,Matches
Squad Total,,,27.6,38.0,92,5,1,,,,,,,,,2,
Opponent Total,,,26.5,38.0,115,5,3,,,,,,,,,1,
