Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Dudu,br BRA,"FW,MF",26.0,31,2466.0,80.0,72.1,27.4,28,85.0,16.0,3,30.0,1,2.16,49.0,19.0,30.0,1.09,0.34,Matches
Bruno Henrique,br BRA,MF,28.0,33,2406.0,73.0,70.4,26.7,27,84.0,20.0,6,23.0,0,2.15,49.0,20.0,29.0,1.08,0.29,Matches
Felipe Melo,br BRA,"DF,MF",34.0,29,2214.0,76.0,64.7,24.6,26,84.0,17.0,3,13.0,1,2.24,43.0,18.0,25.0,1.02,0.05,Matches
Lucas Lima,br BRA,"FW,MF",27.0,34,2167.0,64.0,63.4,24.1,26,74.0,7.0,8,29.0,2,2.06,40.0,14.0,26.0,1.08,0.22,Matches
Wéverton,br BRA,GK,30.0,23,2025.0,88.0,59.2,22.5,23,88.0,22.0,0,,11,2.17,37.0,14.0,23.0,1.02,0.05,Matches
Willian,br BRA,"FW,MF",31.0,32,1967.0,61.0,57.5,21.9,21,83.0,12.0,11,20.0,0,2.09,41.0,14.0,27.0,1.24,0.55,Matches
Antonio Carlos,br BRA,DF,24.0,22,1945.0,88.0,56.9,21.6,21,90.0,21.0,1,54.0,10,1.82,36.0,20.0,16.0,0.74,-0.6,Matches
Victor Luis,br BRA,DF,24.0,22,1837.0,84.0,53.7,20.4,21,86.0,19.0,1,36.0,15,2.23,37.0,13.0,24.0,1.18,0.38,Matches
Edu Dracena,br BRA,DF,36.0,20,1799.0,90.0,52.6,20.0,20,90.0,19.0,0,,8,1.8,34.0,22.0,12.0,0.6,-0.84,Matches
Marcos Rocha,br BRA,DF,29.0,20,1656.0,83.0,48.4,18.4,20,83.0,16.0,0,,9,1.7,27.0,15.0,12.0,0.65,-0.67,Matches
Diogo Barbosa,br BRA,DF,25.0,20,1601.0,80.0,46.8,17.8,17,88.0,16.0,3,36.0,8,2.1,29.0,14.0,15.0,0.84,-0.29,Matches
Moisés Magalhães,br BRA,MF,29.0,28,1509.0,54.0,44.1,16.8,16,80.0,11.0,12,20.0,3,2.14,23.0,10.0,13.0,0.78,-0.4,Matches
Thiago dos Santos,br BRA,"DF,MF",28.0,23,1445.0,63.0,42.3,16.1,16,83.0,11.0,7,18.0,14,2.22,25.0,10.0,15.0,0.93,-0.11,Matches
Luan Garcia,br BRA,DF,24.0,16,1374.0,86.0,40.2,15.3,16,86.0,14.0,0,,17,2.41,27.0,4.0,23.0,1.51,0.85,Matches
Hyoran,br BRA,MF,24.0,24,1431.0,60.0,41.8,15.9,15,79.0,5.0,9,27.0,8,2.17,29.0,13.0,16.0,1.01,0.01,Matches
Miguel Borja,co COL,FW,25.0,16,1103.0,69.0,32.3,12.3,15,72.0,4.0,1,21.0,7,2.19,15.0,6.0,9.0,0.73,-0.39,Matches
Mayke,br BRA,"DF,MF",25.0,20,1444.0,72.0,42.2,16.0,14,89.0,13.0,6,33.0,13,2.55,30.0,8.0,22.0,1.37,0.64,Matches
Gustavo Gómez,py PAR,DF,24.0,14,1181.0,84.0,34.5,13.1,13,90.0,13.0,1,10.0,6,2.57,24.0,4.0,20.0,1.52,0.8,Matches
Jailson,br BRA,GK,36.0,13,1124.0,86.0,32.9,12.5,12,90.0,11.0,1,45.0,19,1.93,22.0,11.0,11.0,0.88,-0.18,Matches
Deyverson,br BRA,FW,26.0,26,1225.0,47.0,35.8,13.6,11,84.0,8.0,15,20.0,9,2.12,29.0,6.0,23.0,1.69,1.07,Matches
Jean,br BRA,"DF,MF",31.0,18,824.0,46.0,24.1,9.2,9,82.0,6.0,9,9.0,12,2.33,15.0,7.0,8.0,0.87,-0.17,Matches
Keno,br BRA,"FW,MF",28.0,9,753.0,84.0,22.0,8.4,9,84.0,6.0,0,,0,1.56,10.0,7.0,3.0,0.36,-0.82,Matches
Gustavo Scarpa,br BRA,"DF,FW",24.0,12,653.0,54.0,19.1,7.3,8,72.0,3.0,4,20.0,3,2.08,14.0,7.0,7.0,0.96,-0.04,Matches
Thiago Martins,br BRA,DF,22.0,7,630.0,90.0,18.4,7.0,7,90.0,7.0,0,,10,1.57,9.0,4.0,5.0,0.71,-0.35,Matches
Alejandro Guerra,ve VEN,MF,32.0,9,353.0,39.0,10.3,3.9,3,64.0,0.0,6,27.0,7,1.67,5.0,3.0,2.0,0.51,-0.55,Matches
Fernando Prass,br BRA,GK,39.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,32,3.0,7.0,1.0,6.0,2.0,1.09,Matches
Artur,,"FW,MF",19.0,5,115.0,23.0,3.4,1.3,1,72.0,0.0,4,11.0,14,1.8,2.0,1.0,1.0,0.78,-0.22,Matches
Tyra Håkansson,se SWE,MF,,2,33.0,17.0,1.0,0.4,0,,0.0,2,16.0,13,0.5,1.0,2.0,-1.0,-2.73,-3.76,Matches
Tchê Tchê,br BRA,"DF,MF",25.0,1,21.0,21.0,0.6,0.2,0,,0.0,1,20.0,4,0.0,0.0,0.0,0.0,0.0,-1.01,Matches
Anderson,br BRA,GK,19.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Michel Bastos,br BRA,"DF,MF",34.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Luan Cândido,br BRA,DF,16.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Fernando,br BRA,FW,18.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Nicolás Freire,ar ARG,DF,23.0,0,,,,,0,,0.0,0,,15,,,,,,,Matches
Gabriel Furtado,br BRA,DF,18.0,0,,,,,0,,0.0,0,,11,,,,,,,Matches
Daniel Fuzato,br BRA,GK,20.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Yan Matheus,br BRA,"FW,MF",19.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Léo Passos,br BRA,FW,18.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Pedrão,br BRA,DF,20.0,0,,,,,0,,0.0,0,,8,,,,,,,Matches
Emerson Santos,br BRA,"DF,MF",22.0,0,,,,,0,,0.0,0,,6,,,,,,,Matches
Matheus Teixeira,br BRA,GK,18.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Vitinho,br BRA,MF,19.0,0,,,,,0,,0.0,0,,13,,,,,,,Matches
Squad Total,,,28.4,38,3420.0,90.0,100.0,38.0,418,84.0,,114,22.0,329,2.11,64.0,26.0,38.0,1.0,,
Opponent Total,,,26.9,38,3420.0,90.0,100.0,38.0,418,84.0,,113,22.0,302,0.61,26.0,64.0,-38.0,-1.0,,
