Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-03-01,19:30,Libertadores,Group stage,Thu,Away,W,3,0,co Junior,52,,Dudu,4-2-3-1,4-4-1-1,Enrique Cáceres,Match Report,
2018-04-03,21:30,Libertadores,Group stage,Tue,Home,W,2,0,pe Alianza Lima,62,,Dudu,4-2-3-1,4-1-4-1,José Argote,Match Report,
2018-04-11,21:45,Libertadores,Group stage,Wed,Home,D,1,1,ar Boca Juniors,52,37192.0,Dudu,4-2-3-1,4-3-3,Andrés Cunha,Match Report,
2018-04-16,20:00,Série A,Matchweek 1,Mon,Away,D,1,1,Botafogo (RJ),54,8033.0,Dudu,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2018-04-22,16:00,Série A,Matchweek 2,Sun,Home,W,1,0,Internacional,45,25504.0,Edu Dracena,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2018-04-25,21:45,Libertadores,Group stage,Wed,Away,W,2,0,ar Boca Juniors,43,,Dudu,4-2-3-1,4-1-2-1-2,Roberto Tobar,Match Report,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Home,D,0,0,Chapecoense,71,30871.0,Dudu,4-2-3-1,4-1-4-1,Igor Junior Benevenuto,Match Report,
2018-05-03,19:30,Libertadores,Group stage,Thu,Away,W,3,1,pe Alianza Lima,62,,Moisés Magalhães,4-2-3-1,4-1-4-1,Gery Vargas,Match Report,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Away,W,3,1,Ath Paranaense,38,19077.0,Dudu,4-2-3-1,3-4-3,Claudio Francisco Lima e Silva,Match Report,
2018-05-13,16:00,Série A,Matchweek 5,Sun,Away,L,0,1,Corinthians,47,34967.0,Dudu,4-2-3-1,4-2-4-0,Anderson Daronco,Match Report,
2018-05-16,21:45,Libertadores,Group stage,Wed,Home,W,3,1,co Junior,50,,Fernando Prass,4-2-3-1,4-2-3-1,Enrique Cáceres,Match Report,
2018-05-19,21:00,Série A,Matchweek 6,Sat,Home,W,3,0,Bahia,53,26351.0,Felipe Melo,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,
2018-05-26,19:00,Série A,Matchweek 7,Sat,Home,L,2,3,Sport Recife,61,25947.0,Bruno Henrique,4-2-3-1,4-1-4-1,Dewson Fernando Freitas da Silva,Match Report,
2018-05-30,21:45,Série A,Matchweek 8,Wed,Away,L,0,1,Cruzeiro,49,19679.0,Marcos Rocha,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2018-06-02,21:00,Série A,Matchweek 9,Sat,Home,W,3,1,São Paulo,49,32841.0,Moisés Magalhães,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
